"trait","beta","a","d","aa","ad","dd"
"a",21.535,23.93342653,NA,NA,NA,NA
"a",2.55,2.628307099,NA,NA,NA,NA
"a / a",NA,-11.20809797,NA,4.004770129,4.953509658,NA
"a / a",NA,0.013167012,NA,-0.001183876,-0.004245662,NA
"a * a",NA,490.2553897,NA,NA,NA,NA
"a + a",NA,26.54977591,NA,NA,NA,NA
"a - a",NA,21.30992114,NA,NA,NA,NA
"a - a",NA,-21.30992114,NA,NA,NA,NA
"a",31.5,29.65572495,NA,NA,NA,NA
"a",4.585,4.544122023,NA,NA,NA,NA
"a / a",NA,-10.48670869,NA,5.153000516,3.408939258,NA
"a / a",NA,0.019749958,NA,NA,NA,NA
"a * a",NA,952.9902694,NA,75.89237369,NA,NA
"a + a",NA,34.22955042,NA,NA,NA,NA
"a - a",NA,25.07753507,NA,NA,NA,NA
"a - a",NA,-25.07753507,NA,NA,NA,NA
"a",1.15,1.132495944,NA,NA,NA,NA
"a",18.6,19.28422013,NA,NA,NA,NA
"a / a",NA,-0.445208078,NA,0.200150844,0.205821618,NA
"a / a",NA,0.395808998,NA,NA,NA,NA
"a * a",NA,958.9714513,NA,NA,NA,NA
"a + a",NA,20.55949791,NA,-1.49817245,NA,NA
"a - a",NA,-17.99803555,NA,NA,NA,NA
"a - a",NA,17.99803555,NA,NA,NA,NA
"a",531.7,557.3428343,NA,23.80895342,NA,NA
"a",30.39286,30.79397206,NA,NA,NA,NA
"a / a",NA,0.657993356,NA,NA,NA,NA
"a / a",NA,-0.003559919,NA,NA,NA,NA
"a * a",NA,75636.73624,NA,20765.85682,NA,NA
"a + a",NA,588.3489872,NA,24.73079174,NA,NA
"a - a",NA,526.3178306,NA,22.84764463,NA,NA
"a - a",NA,-526.3178306,NA,-22.84764463,NA,NA
"a",311.5,313.532487,NA,NA,NA,NA
"a",0.85,0.977382406,NA,-0.415128508,NA,NA
"a / a",NA,26.13754511,7.875148956,NA,NA,NA
"a / a",NA,-0.056261677,-0.097210368,0.011914262,0.068664305,0.062274577
"a * a",NA,3737.557516,NA,NA,NA,NA
"a + a",NA,314.4962969,NA,NA,NA,NA
"a - a",NA,312.5679511,NA,NA,NA,NA
"a - a",NA,-312.5679511,NA,NA,NA,NA
"a",1.19,1.258177384,NA,NA,NA,NA
"a",0.335,0.30483417,NA,NA,NA,NA
"a / a",NA,0.214208675,NA,NA,NA,NA
"a / a",NA,-0.090226414,NA,NA,NA,NA
"a * a",NA,6.397116837,NA,NA,NA,NA
"a + a",NA,1.566515317,NA,NA,NA,NA
"a - a",NA,0.953737368,NA,NA,NA,NA
"a - a",NA,-0.953737368,NA,NA,NA,NA
"a",0.551,0.608438343,NA,NA,NA,NA
"a",0.851686683,0.849763867,NA,NA,NA,NA
"a / a",NA,19.43138945,656.6820139,188.5332282,-260.2852138,-436.8316321
"a / a",NA,0.081010431,NA,-0.004650336,NA,NA
"a * a",NA,9.004982249,NA,0.664803163,NA,NA
"a + a",NA,1.45789025,NA,NA,NA,NA
"a - a",NA,NA,NA,NA,NA,NA
"a - a",NA,NA,NA,NA,NA,NA
"a",0.1005,0.120985285,-0.135756777,NA,NA,0.153244614
"a",29.715,30.13347081,NA,NA,NA,NA
"a / a",NA,-0.008558915,NA,0.004428322,NA,NA
"a / a",NA,15.80291245,NA,NA,NA,-6.825893316
"a * a",NA,55.23394148,NA,4.800199827,NA,NA
"a + a",NA,30.24859561,NA,NA,NA,NA
"a - a",NA,-30.01801764,NA,NA,NA,NA
