(sire x dam),M,Aa,Ad,Xa,Ca,Mea,Med,AaAa,AaAd,AdAd,XaAa,XaAd,CaAa,CaXa,CaXd
P1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0
BC1,1,0.5,0.5,-0.5,1,1,0,0.25,0.25,0.25,-0.25,-0.25,0.5,-0.5,0.5
rBC1,1,0.5,0.5,0.5,0,0,1,0.25,0.25,0.25,0.25,0.25,0,0,0
F1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1
rF1,1,0,1,0,-1,-1,0,0,0,1,0,0,0,0,-1
F2a,1,0,0.5,0.5,1,0,1,0,0,0.25,0,0.25,0,0.5,0.5
F2c,1,0,0.5,-0.5,-1,0,1,0,0,0.25,0,-0.25,0,0.5,-0.5
rBC2,1,-0.5,0.5,-0.5,0,0,1,0.25,-0.25,0.25,0.25,-0.25,0,0,0
BC2,1,-0.5,0.5,0.5,-1,-1,0,0.25,-0.25,0.25,-0.25,0.25,0.5,-0.5,-0.5
P2,1,-1,0,-1,-1,-1,0,1,0,0,1,0,1,1,0
