,M,Aa,Ad,Xa,Xd,Ya,Ca,Mea,Med,AaAa,AaAd,AdAd,XaAa,XaAd,XdAa,XdAd,YaAa,YaAd,YaXa,CaAa,CaAd,CaXa,CaXd,CaYa
P1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
P2,1,-1,0,-1,0,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
F1 (P1xP2),1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
F1r (P2xP1),1,0,1,0,1,0,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,-1,0
BC1 (P1xF1p),1,0.5,0.5,0.5,0.5,0,0,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0
BC1r (F1pxP1),1,0.5,0.5,-0.5,0.5,0,1,1,0,0.25,0.25,0.25,-0.25,-0.25,0.25,0.25,0,0,0,0.5,0.5,-0.5,0.5,0
BC2  (P2xF1p),1,-0.5,0.5,-0.5,0.5,0,0,0,1,0.25,-0.25,0.25,0.25,-0.25,-0.25,0.25,0,0,0,0,0,0,0,0
BC2r (F1pxP2),1,-0.5,0.5,0.5,0.5,0,-1,-1,0,0.25,-0.25,0.25,-0.25,0.25,-0.25,0.25,0,0,0,0.5,-0.5,-0.5,-0.5,0
