(sire x dam),M,Aa,Ad,Xa,Xd,Ya,Ca,Mea,Med,AaAa,AaAd,AdAd,XaAa,XaAd,XdAa,XdAd,YaAa,YaAd,YaXa,CaAa,CaAd,CaXa,CaXd,CaYa
P1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1
BC1,1,0.5,0.5,1,0,0,1,1,0,0.25,0.25,0.25,0.5,0.5,0,0,0,0,0,0.5,0.5,1,0,0
rBC1,1,0.5,0.5,0,0,1,0,0,1,0.25,0.25,0.25,0,0,0,0,0.5,0.5,0,0,0,0,0,0
F1,1,0,1,1,0,-1,1,1,0,0,0,1,0,1,0,0,0,-1,-1,0,1,1,0,-1
rF1,1,0,1,-1,0,1,-1,-1,0,0,0,1,0,-1,0,0,0,1,-1,0,-1,1,0,-1
F2a,1,0,0.5,0,0,-1,1,0,1,0,0,0.25,0,0,0,0,0,-0.5,0,0,0.5,0,0,-1
F2c,1,0,0.5,0,0,1,-1,0,1,0,0,0.25,0,0,0,0,0,0.5,0,0,-0.5,0,0,-1
rBC2,1,-0.5,0.5,0,0,-1,0,0,1,0.25,-0.25,0.25,0,0,0,0,0.5,-0.5,0,0,0,0,0,0
BC2,1,-0.5,0.5,-1,0,0,-1,-1,0,0.25,-0.25,0.25,0.5,-0.5,0,0,0,0,0,0.5,-0.5,1,0,0
P2,1,-1,0,-1,0,-1,-1,-1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1
