"X","trait","beta","Aa","Ad","AaAa","AaAd","AdAd","Observed_Sum","PercentError"
55,"Aa - Aa",-0.3006866825,0,0,0,0,-0.225571364880505,-0.225571364880505,24.981258562888
56,"Aa - Aa",0.3006866825,0,0,0,0,0.225571364880505,0.225571364880505,24.981258562888
57,"Aa",0.1005,0.117129553889894,0,0,0,0,0.117129553889894,16.5468197909393
58,"Aa",29.715,29.6138344103472,0,0,0,-1.81404005067193,27.7997943596753,6.44524866338459
59,"Aa / Aa",0,-0.0076551472734391,0,0,0,0,-0.0076551472734391,Inf
60,"Aa / Aa",0,15.5440672141629,0,0,0,0,15.5440672141629,Inf
61,"Aa * Aa",54.5272495278845,54.9352352530138,0,3.88367032311062,0,0,58.8189055761244,7.87066299033702
62,"Aa + Aa",29.8155,29.7392539762936,0,0,0,-1.79828204031775,27.9409719359758,6.28709249894904
63,"Aa - Aa",-29.6145,-29.488411934702,0,0,0,1.82974394134899,-27.658667993353,6.60430534585082
64,"Aa - Aa",29.6145,29.488411934702,0,0,0,-1.82974394134899,27.658667993353,6.60430534585082
65,"Aa",5.65,6.53918321383011,0,0,0,0,6.53918321383011,15.7377559969931
66,"Aa",0.825,0.823790643769257,0,0,0,0,0.823790643769257,0.146588634029445
67,"Aa / Aa",0,136.416216475259,211.757415960559,0,0,0,348.173632435818,Inf
68,"Aa / Aa",0,0.00998656371092802,0,-0.000536784460514632,-0.000561992592457132,0,0.00888778665795626,Inf
69,"Aa * Aa",69.327279596228,69.0450317183886,-5.81295109297996,0,0,0,63.2320806254086,8.7919200152071
70,"Aa + Aa",6.475,7.36658542099203,0,0,0,0,7.36658542099203,13.7696590114599
71,"Aa - Aa",4.825,5.71165545405466,0,0,0,0,5.71165545405466,18.3762788405111
72,"Aa - Aa",-4.825,-5.71165545405466,0,0,0,0,-5.71165545405466,18.3762788405111
73,"Aa",6.52,6.4586607906194,0,0,0,0,6.4586607906194,0.940785419947843
74,"Aa",9.45,9.69892882903409,0.55506889335772,0,0,0,10.2539977223918,8.50791240626255
75,"Aa / Aa",0,-0.764043978341316,0,0,0,-0.192823988606399,-0.956867966947715,Inf
76,"Aa / Aa",0,0.129211355481026,0,0,0,0.0318188008137589,0.161030156294785,Inf
77,"Aa * Aa",670.066821791635,671.202772980612,0,0,0,0,671.202772980612,0.169528045865595
78,"Aa + Aa",15.97,16.2307757006244,0,0,0,0,16.2307757006244,1.63290983484282
79,"Aa - Aa",-2.93,-2.8404818445826,0,0,0,0,-2.8404818445826,3.05522714735154
80,"Aa - Aa",2.93,2.8404818445826,0,0,0,0,2.8404818445826,3.05522714735154
81,"Aa",0.0714999999999999,0.0564835540541227,0,-0.088498448736924,0,0,-0.0320148946828013,144.776076479442
82,"Aa",1.65,1.50026665885611,0,0,0,0,1.50026665885611,9.07474794811454
83,"Aa / Aa",0,-0.0145624934100806,0,-0.0172507856057417,0,-0.016959117490685,-0.0487723965065073,Inf
84,"Aa / Aa",0,0.60041206807253,0,0,0,0,0.60041206807253,Inf
85,"Aa * Aa",3.61957168116363,3.53789937387342,0,0,0,1.20484171462487,4.74274108849829,31.0304507348113
86,"Aa + Aa",1.7215,1.54897030698765,0,0,0,0,1.54897030698765,10.022055940305
87,"Aa - Aa",-1.5785,-1.45583979893094,0,0,0,0,-1.45583979893094,7.77068109401711
88,"Aa - Aa",1.5785,1.45583979893094,0,0,0,0,1.45583979893094,7.77068109401711
89,"Aa",1.85,1.73429267265553,0,0,0,0,1.73429267265553,6.25445012672811
90,"Aa",1.7,1.68658030917466,0,0,0,0,1.68658030917466,0.78939357796117
91,"Aa / Aa",0,-4.5787406164004,0,0,0,0,-4.5787406164004,Inf
92,"Aa / Aa",0,0.0688035979485194,0,0,0,0,0.0688035979485194,Inf
93,"Aa * Aa",41.2110725071396,40.9332891523235,0,0,0,0,40.9332891523235,0.674050292595442
94,"Aa + Aa",3.55,3.38683474110747,0,0,0,0,3.38683474110747,4.59620447584591
95,"Aa - Aa",0.15,0,0,-0.433427018323381,1.30121221531514,0,0.867785196991759,478.523464661173
96,"Aa - Aa",-0.15,0,0,0.433427018323381,-1.30121221531514,0,-0.867785196991759,478.523464661173
97,"Aa",0.8778066665,0.875594747431323,0,0,0,0,0.875594747431323,0.251982486929201
98,"Aa",0.125,0,0,0.669249050451185,0,0,0.669249050451185,435.399240360948
99,"Aa / Aa",0,0.0712330009829775,0,0,0,0,0.0712330009829775,Inf
100,"Aa / Aa",0,11.5468359639477,0,0,0,0,11.5468359639477,Inf
101,"Aa * Aa",10.9827608766272,10.8702520221107,0,0,0,0,10.8702520221107,1.02441322159653
102,"Aa + Aa",1.0028066665,0.95413938862711,0,0,0,0,0.95413938862711,4.8531067351944
103,"Aa - Aa",0.7528066665,0.798643332998659,0,0,0,0,0.798643332998659,6.08877000409227
104,"Aa - Aa",-0.7528066665,-0.798643332998659,0,0,0,0,-0.798643332998659,6.08877000409227
105,"Aa",0.819,0.925484251029909,0,0,0,0,0.925484251029909,13.001740052492
106,"Aa",6015,6015.39599246633,0,0,0,0,6015.39599246633,0.00658341589909271
107,"Aa / Aa",0,-2.31609176610139e-05,0,0,0,0,-2.31609176610139e-05,Inf
108,"Aa / Aa",0,471.640726601009,0,0,0,0,471.640726601009,Inf
109,"Aa * Aa",34450.3060927956,32561.607137547,0,0,0,0,32561.607137547,5.48238657201243
110,"Aa + Aa",6015.819,6016.35488015907,0,0,0,0,6016.35488015907,0.00890785043680944
111,"Aa - Aa",-6014.181,-6014.43712634424,0,0,0,0,-6014.43712634424,0.00425870695012885
112,"Aa - Aa",6014.181,6014.43712634424,0,0,0,0,6014.43712634424,0.00425870695012885
113,"Aa",16.465,15.0568235550769,0,0,0,0,15.0568235550769,8.55254445747404
114,"Aa",10.685,11.7762771435626,0,0,0,0,11.7762771435626,10.2131693361029
115,"Aa / Aa",0,-0.128464762729817,0,0,0,0,-0.128464762729817,Inf
116,"Aa / Aa",0,0.0368603778242036,0,0,0,0,0.0368603778242036,Inf
117,"Aa * Aa",1515.82222936232,1415.78812675092,0,0,0,0,1415.78812675092,6.59932943808871
118,"Aa + Aa",27.15,26.5194604076234,0,0,0,0,26.5194604076234,2.3224294378512
119,"Aa - Aa",5.78,3.5562418912286,0,0,0,0,3.5562418912286,38.4733236811661
120,"Aa - Aa",-5.78,-3.5562418912286,0,0,0,0,-3.5562418912286,38.4733236811661
121,"Aa",1.315,1.29685386075213,0,0,0,0,1.29685386075213,1.37993454356425
122,"Aa",2.435,2.70866724799266,0,0,-0.901322102848144,0,1.80734514514452,25.7763800762006
123,"Aa / Aa",0,0.0713893597221264,0,0,0,0,0.0713893597221264,Inf
124,"Aa / Aa",0,-7.04299635428616,0,0,0,0,-7.04299635428616,Inf
125,"Aa * Aa",23.7188455693537,22.9178235518164,0,0,0,0,22.9178235518164,3.37715431889431
126,"Aa + Aa",3.75,4.04510778227727,0,0,-1.22060654342304,0,2.82450123885423,24.6799669638872
127,"Aa - Aa",-1.12,-1.35485612263722,0,0,0,0,-1.35485612263722,20.9692966640375
128,"Aa - Aa",1.12,1.35485612263722,0,0,0,0,1.35485612263722,20.9692966640375
129,"Aa",2.45,2.06336879900139,0,0,0,0,2.06336879900139,15.780865346882
130,"Aa",10.685,10.697445304431,0,0,0,0,10.697445304431,0.116474538427694
131,"Aa / Aa",0,-0.273491502256708,0,0.224097896684431,0,0,-0.049393605572277,Inf
132,"Aa / Aa",0,0.184056941909047,0,-0.104251093487432,0,0,0.079805848421615,Inf
133,"Aa * Aa",592.22829290297,592.482575080839,0,225.425518911732,0,227.942712398602,1045.85080639117,76.5958869112192
134,"Aa + Aa",13.135,13.5942726145424,0,0,0,0,13.5942726145424,3.49655587774952
135,"Aa - Aa",-8.235,-8.25338880224831,0,5.38354494523036,0,0,-2.86984385701795,65.1506514023321
136,"Aa - Aa",8.235,8.25338880224831,0,-5.38354494523036,0,0,2.86984385701795,65.1506514023321
137,"Aa",27.75,27.6422900406175,0,0,0,0,27.6422900406175,0.388143997774776
138,"Aa",1.2557302385,1.25864910532994,0,0,0,0,1.25864910532994,0.232443779758516
139,"Aa / Aa",0,0,0,0,0,0,0,NA
140,"Aa / Aa",0,0.0129277049232114,0,-0.00329985412009164,-0.00195232561727887,0,0.00767552518584089,Inf
141,"Aa * Aa",128.509001611274,127.891668735791,0,31.1690706193388,0,0,159.06073935513,23.7740059924141
142,"Aa + Aa",29.0057302385,28.8961867276346,0,0,0,0,28.8961867276346,0.377661620530417
143,"Aa - Aa",26.4942697615,26.3829491367133,0,0,0,0,26.3829491367133,0.420168684733726
144,"Aa - Aa",-26.4942697615,-26.3829491367133,0,0,0,0,-26.3829491367133,0.420168684733726
145,"Aa",1.85,2.04472189823961,0,0,0,0,2.04472189823961,10.5255080129519
146,"Aa",32.5,33.412723045427,0,0,0,0,33.412723045427,2.80837860131385
147,"Aa / Aa",0,-0.0441770111088495,-0.0271482601586755,0,0.0494471801446252,0,-0.0218780911228998,Inf
148,"Aa / Aa",0,0.782487523672047,0,0,0,0,0.782487523672047,Inf
149,"Aa * Aa",1170.76513128887,1178.23070728944,0,0,200.68776362808,0,1378.91847091752,17.779256835186
150,"Aa + Aa",34.35,35.6734625451707,0,0,0,2.92827607270133,38.601738617872,12.3776961218982
151,"Aa - Aa",-30.65,-30.8455072686422,0,0,0,0,-30.8455072686422,0.637870370773908
152,"Aa - Aa",30.65,30.8455072686422,0,0,0,0,30.8455072686422,0.637870370773908
153,"Aa",136.9,128.761081145643,0,0,0,14.1306579920896,142.891739137733,4.37672690849715
154,"Aa",0.64,0.658540455226592,0,0,0,0,0.658540455226592,2.896946129155
155,"Aa / Aa",0,16.7848408842588,0,0,0,0,16.7848408842588,Inf
156,"Aa / Aa",0,-0.00136218763044464,0,0,0,0,-0.00136218763044464,Inf
157,"Aa * Aa",680.42385537657,677.903077612965,0,0,112.306139510707,0,790.209217123672,16.1348490179468
158,"Aa + Aa",137.54,129.394927092572,0,0,0,14.3782611061917,143.773188198764,4.53190940727331
159,"Aa - Aa",136.26,128.128689204965,0,0,0,13.8634383484134,141.992127553378,4.20675734139031
160,"Aa - Aa",-136.26,-128.128689204965,0,0,0,-13.8634383484134,-141.992127553378,4.20675734139031
161,"Aa",0.2905,0,0,0,1.29384561468499,0,1.29384561468499,345.385753764196
162,"Aa",12.465,11.8305974349515,0,0,0,0,11.8305974349515,5.08947103929804
163,"Aa / Aa",0,-0.0384198846070779,0,0,0,0,-0.0384198846070779,Inf
164,"Aa / Aa",0,0.564401661436898,0,0,0,0,0.564401661436898,Inf
165,"Aa * Aa",270.637059023442,269.903607534371,-91.7142530288891,0,0,0,178.189354505482,34.1592924677594
166,"Aa + Aa",12.7555,12.2490496975728,0,0,0,0,12.2490496975728,3.97044649309865
167,"Aa - Aa",-12.1745,-11.6004620064244,0,0,0,0,-11.6004620064244,4.7150847556417
168,"Aa - Aa",12.1745,11.6004620064244,0,0,0,0,11.6004620064244,4.7150847556417
169,"Aa",3.6875,3.63134873026704,0,0.329443359754459,0,0,3.9607920900215,7.41131091583727
170,"Aa",59.15,58.4454160922523,0,0,0,0,58.4454160922523,1.19118158537227
171,"Aa / Aa",0,0.0802798606620463,0.0989361849839344,0,0,0,0.179216045645981,Inf
172,"Aa / Aa",0,7.05777223749658,0,0,0,0,7.05777223749658,Inf
173,"Aa * Aa",449.033765750591,442.957888710272,0,219.879920963033,0,0,662.837809673305,47.6142464621398
174,"Aa + Aa",62.8375,62.1057828995913,0,0,0,0,62.1057828995913,1.16445928053901
175,"Aa - Aa",-55.4625,-54.7512532605838,0,0,0,0,-54.7512532605838,1.28239213777994
176,"Aa - Aa",55.4625,54.7512532605838,0,0,0,0,54.7512532605838,1.28239213777994
177,"Aa",7.05,7.81865076319841,0,0,0,0,7.81865076319841,10.902847704942
178,"Aa",0.89285714,0.888058329455531,0,0,0,0,0.888058329455531,0.537466782700429
179,"Aa / Aa",0,-0.95181071750071,0,0,0,0,-0.95181071750071,Inf
180,"Aa / Aa",0,0.00648439443240961,0,0,0,0,0.00648439443240961,Inf
181,"Aa * Aa",50.1060637080825,49.7986566812816,0,0,0,0,49.7986566812816,0.613512625122287
182,"Aa + Aa",7.94285714,8.70676508706557,0,0,0,0,8.70676508706557,9.61754609960881
183,"Aa - Aa",6.15714286,6.92874806662848,0,0,0,0,6.92874806662848,12.5318710995197
184,"Aa - Aa",-6.15714286,-6.92874806662848,0,0,0,0,-6.92874806662848,12.5318710995197
185,"Aa",12.5,10.5911709738656,0,2.48662789390664,0,0,13.0777988677722,4.62239094217792
186,"Aa",0.17,0.165789888567695,0,0,0,0,0.165789888567695,2.47653613665001
187,"Aa / Aa",0,-52.329504307662,0,25.4456040699495,0,0,-26.8839002377125,Inf
188,"Aa / Aa",0,0.000926315949434729,0,-0.000327780059190647,0,0,0.000598535890244082,Inf
189,"Aa * Aa",27.2873170217783,26.7723063124075,0,0,0,0,26.7723063124075,1.88736294213082
190,"Aa + Aa",12.67,10.7556238299979,0,2.44836902539384,0,0,13.2039928553917,4.21462395731444
191,"Aa - Aa",12.33,10.426716851008,0,2.52451599342501,0,0,12.951232844433,5.0383847885889
192,"Aa - Aa",-12.33,-10.426716851008,0,-2.52451599342501,0,0,-12.951232844433,5.0383847885889
193,"Aa",29.8,29.9261446998805,0,0,0,0,29.9261446998805,0.423304362015096
194,"Aa",20.36,19.8303157451043,0,0,0,0,19.8303157451043,2.60159260754273
195,"Aa / Aa",0,0.0656260294873008,0,-0.0309681809241204,0,0,0.0346578485631804,Inf
196,"Aa / Aa",0,-0.0582252659833659,0,0.0340630075645386,0,0,-0.0241622584188273,Inf
197,"Aa * Aa",2791.49834204645,2793.3268402939,-583.507607369306,0,0,0,2209.81923292459,20.8375230019097
198,"Aa + Aa",50.16,49.8176803234776,0,0,0,0,49.8176803234776,0.682455495459317
199,"Aa - Aa",9.44,10.1948868188057,0,0,0,0,10.1948868188057,7.99668240260275
200,"Aa - Aa",-9.44,-10.1948868188057,0,0,0,0,-10.1948868188057,7.99668240260275
201,"Aa",4.95,5.12230488818007,0,0,0,0,5.12230488818007,3.4809068319206
202,"Aa",1.625,1.61280442073784,0,0,0,0,1.61280442073784,0.750497185363691
203,"Aa / Aa",0,-1.19316776997866,-0.684762767542035,0,0,0,-1.8779305375207,Inf
204,"Aa / Aa",0,0.0379624802871346,0.0248586151294074,0,-0.0104365447578285,0,0.0523845506587135,Inf
205,"Aa * Aa",51.945545223969,49.9200752867934,0,0,0,0,49.9200752867934,3.89921778362815
206,"Aa + Aa",6.575,6.76830881978299,0,0,0,0,6.76830881978299,2.94005809555878
207,"Aa - Aa",3.325,3.47486932268355,0,0,0,0,3.47486932268355,4.50734805063308
208,"Aa - Aa",-3.325,-3.47486932268355,0,0,0,0,-3.47486932268355,4.50734805063308
209,"Aa",1.65,1.42462541008505,0,0,0,0,1.42462541008505,13.6590660554515
210,"Aa",8.65,8.48311451532408,0,0,0,0,8.48311451532408,1.92931196157132
211,"Aa / Aa",0,0,0,0,0,0,0,NA
212,"Aa / Aa",0,0.378129775158239,0,0,0,0,0.378129775158239,Inf
213,"Aa * Aa",191.863734298623,191.932843893601,0,9.56285417687376,0,6.87161494782772,208.367313018302,8.6017187041678
214,"Aa + Aa",10.3,9.87953889700469,0,0,0,0,9.87953889700469,4.08214663102244
215,"Aa - Aa",-7,-7.02580563767214,0,0,0,0,-7.02580563767214,0.368651966744858
216,"Aa - Aa",7,7.02580563767214,0,0,0,0,7.02580563767214,0.368651966744858
217,"Aa",2.6,2.60487510402688,0,0,0,0,2.60487510402688,0.187504001033836
218,"Aa",34.13,34.6932559903962,0,0,0,-7.04868831812875,27.6445676722675,19.0021457009451
219,"Aa / Aa",0,0,0,0,0,0,0,NA
220,"Aa / Aa",0,0,0,0,0,0,0,NA
221,"Aa * Aa",613.83933718201,607.300200569222,0,83.8606853247116,0,0,691.160885893934,12.5963821521912
222,"Aa + Aa",36.73,37.2970041610645,0,0,0,-6.9233841396735,30.373620021391,17.3056901132834
223,"Aa - Aa",-31.53,-32.0938879749165,0,0,0,7.0694687985698,-25.0244191763467,20.6329870715297
224,"Aa - Aa",31.53,32.0938879749165,0,0,0,-7.0694687985698,25.0244191763467,20.6329870715297
225,"Aa",76.5,76.7508167189862,0,0,0,0,76.7508167189862,0.327864992138824
226,"Aa",0.255568333494831,0.257991253257016,0,-0.00417074990419757,0,0,0.253820503352818,0.683899338431897
227,"Aa / Aa",0,22.5992654208051,0,0,0,0,22.5992654208051,Inf
228,"Aa / Aa",0,-0.000295713866157465,0,0,0,0,-0.000295713866157465,Inf
229,"Aa * Aa",19.2301911228475,15.724765658944,0,19.701320364254,0.394664304046185,0,35.8207503272442,86.2735013833812
230,"Aa + Aa",76.7555683334948,77.0091065111949,0,0,0,0,77.0091065111949,0.330318937381209
231,"Aa - Aa",76.2444316665052,76.4925246668105,0,0,0,0,76.4925246668105,0.325391631733125
232,"Aa - Aa",-76.2444316665052,-76.4925246668105,0,0,0,0,-76.4925246668105,0.325391631733125
233,"Aa",0.036,0,0,0,0,0,0,100
234,"Aa",1.545,1.24363111938885,0,0,0,0,1.24363111938885,19.5060764149612
235,"Aa / Aa",0,-0.0430024825199166,0,0,0,0,-0.0430024825199166,Inf
236,"Aa / Aa",0,0.621578676998692,0,0,0,0,0.621578676998692,Inf
237,"Aa * Aa",2.90897222731172,2.68799163972334,0,0,0,0,2.68799163972334,7.59651761242822
238,"Aa + Aa",1.581,1.2498027779738,0,0,0,0,1.2498027779738,20.9485908934978
239,"Aa - Aa",-1.509,-1.25568537796567,0,0,0,0,-1.25568537796567,16.7869199492598
240,"Aa - Aa",1.509,1.25568537796567,0,0,0,0,1.25568537796567,16.7869199492598
241,"Aa",0.0446238478374901,0.0446312581936007,0.000869424015070549,0,0,0,0.0455006822086712,1.9649456819017
242,"Aa",17.857145,17.663193303492,0,0,-1.7668829463255,0.545782196118308,16.4420925532848,7.92429275068994
243,"Aa / Aa",0,0.000753778824964319,0,0,0,0,0.000753778824964319,Inf
244,"Aa / Aa",0,0,0,0,0,0,0,NA
245,"Aa * Aa",1.79374648249916,1.79240294899871,0,0.680615254019194,0,0,2.4730182030179,37.8688809787847
246,"Aa + Aa",17.9017688478375,17.70769675227,0,0,-1.7655139691677,0.547244697522297,16.4894274806246,7.88939561904527
247,"Aa - Aa",-17.8125211521625,-17.6186900405204,0,0,1.76825168317706,-0.544319691018063,-16.3947580483614,7.95936235915136
248,"Aa - Aa",17.8125211521625,17.6186900405204,0,0,-1.76825168317706,0.544319691018063,16.3947580483614,7.95936235915136
249,"Aa",76.5,77.7808816243002,0,0,0,0,77.7808816243002,1.67435506444472
250,"Aa",2.15,2.19649897586135,0,0.0251542165081908,-0.0569651841716791,0,2.16468800819786,0.68316317199358
251,"Aa / Aa",0,0,0,0,0,0,0,NA
252,"Aa / Aa",0,0.0129834172343785,0,0,0,0.0226564638828495,0.035639881117228,Inf
253,"Aa * Aa",229.169472000742,220.521842889833,0,171.325076547704,-3.79749544710488,0,388.049423990432,69.3285849125558
254,"Aa + Aa",78.65,79.9786094849548,0,0,0,0,79.9786094849548,1.68926825804806
255,"Aa - Aa",74.35,75.5845272489326,0,0,0,0,75.5845272489326,1.66042669661413
256,"Aa - Aa",-74.35,-75.5845272489326,0,0,0,0,-75.5845272489326,1.66042669661413
257,"Aa",44.81,47.1567608792564,0,0,0,0,47.1567608792564,5.23713653036465
258,"Aa",35.515,34.6293256871888,0,8.35016518833888,0,8.42643950420729,51.405930379735,44.7442781352526
259,"Aa / Aa",0,0.0980591545352035,0,0,0,0,0.0980591545352035,Inf
260,"Aa / Aa",0,-0.198754974779902,0,0.130116656680358,0,0.101038224573451,0.032399906473907,Inf
261,"Aa * Aa",13921.8965854969,13902.704530138,0,0,0,0,13902.704530138,0.137855178287218
262,"Aa + Aa",80.325,81.8034765459108,0,0,0,0,81.8034765459108,1.84061817106853
263,"Aa - Aa",9.295,11.3181903177848,0,0,0,0,11.3181903177848,21.7664369853125
264,"Aa - Aa",-9.295,-11.3181903177848,0,0,0,0,-11.3181903177848,21.7664369853125
265,"Aa",20.36,19.6647563203268,0,0,0,0,19.6647563203268,3.41475284711788
266,"Aa",26.5,26.2108690459205,0,0,0,0,26.2108690459205,1.09106020407358
267,"Aa / Aa",0,0,0,0,0,0,0,NA
268,"Aa / Aa",0,0,0,0,0,0,0,NA
269,"Aa * Aa",2617.6509871236,2577.92866878725,0,542.539582597724,0,0,3120.46825138497,19.2087205947151
270,"Aa + Aa",46.86,45.8144140271627,0,0,0,0,45.8144140271627,2.23129742389522
271,"Aa - Aa",-6.14,-6.56439943223728,0,0,0,0,-6.56439943223728,6.91204287031401
272,"Aa - Aa",6.14,6.56439943223728,0,0,0,0,6.56439943223728,6.91204287031401
273,"Aa",4095.5,4152.88221603913,0,0,0,0,4152.88221603913,1.40110404197607
274,"Aa",4.585,4.7126876162025,0,0,0,0,4.7126876162025,2.7848989357143
275,"Aa / Aa",0,-470.028730111009,0,0,0,0,-470.028730111009,Inf
276,"Aa / Aa",0,0.000169465426498713,6.46484951884443e-05,0,0,0,0.000234113921687157,Inf
277,"Aa * Aa",102411.965170928,101472.70186081,0,12090.1697334777,0,0,113562.871594288,10.8882847865956
278,"Aa + Aa",4100.085,4157.61483591584,0,0,0,0,4157.61483591584,1.40313764021574
279,"Aa - Aa",4090.915,4148.14962555687,0,0,0,0,4148.14962555687,1.39906660384951
280,"Aa - Aa",-4090.915,-4148.14962555687,0,0,0,0,-4148.14962555687,1.39906660384951
281,"Aa",8.825,0,0,0,0,0,0,100
282,"Aa",14.1,14.1392430129261,0,0,0,0,14.1392430129261,0.278319240610639
283,"Aa / Aa",0,18.2472118863859,23.6097061095064,0,0,0,41.8569179958923,Inf
284,"Aa / Aa",0,0.0602565964179886,0,0,0,0.000812319460737955,0.0610689158787266,Inf
285,"Aa * Aa",3300.22151859653,3330.37570174449,0,0,0,0,3330.37570174449,0.913701791774978
286,"Aa + Aa",22.925,18.5318208209969,0,0,0,0,18.5318208209969,19.163267956393
287,"Aa - Aa",-5.275,-8.90323612369344,0,0,0,0,-8.90323612369344,68.7817274633827
288,"Aa - Aa",5.275,8.90323612369344,0,0,0,0,8.90323612369344,68.7817274633827
289,"Aa",30.415,30.3120412473136,0,0,0,0,30.3120412473136,0.338513078041748
290,"Aa",166.9,175.531940182052,0,0,0,50.2644429002809,225.796383082333,35.2884260529256
291,"Aa / Aa",0,0.0137184567419794,0,0,0,0,0.0137184567419794,Inf
