"X","trait","beta","Aa","Ad","AaAa","AaAd","AdAd","Observed_Sum","PercentError"
1,"Aa",21.535,21.9315183680933,0,0,0,0,21.9315183680933,1.84127405662085
2,"Aa",2.55,2.62904763462177,0,0,0,0,2.62904763462177,3.09990724006943
3,"Aa / Aa",0,-10.0341936759303,0,0,0,0,-10.0341936759303,Inf
4,"Aa / Aa",0,0.0131254149423478,0,0,0,0,0.0131254149423478,Inf
5,"Aa * Aa",490.23374509962,469.933092666594,0,0,0,0,469.933092666594,4.14101490073898
6,"Aa + Aa",24.085,24.5164533939907,0,0,0,0,24.5164533939907,1.79137801117169
7,"Aa - Aa",18.985,19.3466881254588,0,0,0,0,19.3466881254588,1.90512575959337
8,"Aa - Aa",-18.985,-19.3466881254588,0,0,0,0,-19.3466881254588,1.90512575959337
9,"Aa",31.5,30.4107180017731,0,0,0,2.99382886980102,33.4045468715741,6.04618054467974
10,"Aa",4.585,4.54552387518869,0,0,0,0,4.54552387518869,0.860984183452786
11,"Aa / Aa",0,-9.93638485465596,-3.78762603349394,0,0,0,-13.7240108881499,Inf
12,"Aa / Aa",0,0.0197283036954337,0,0,0,0.00113259684930185,0.0208609005447355,Inf
13,"Aa * Aa",976.49480048872,968.967328880738,0,144.700992308172,0,0,1113.66832118891,14.0475423557337
14,"Aa + Aa",36.085,34.9930479500221,0,0,0,3.50263801124986,38.495685961272,6.68057630946919
15,"Aa - Aa",26.915,25.8025014452275,3.77773649837649,0,0,0,29.580237943604,9.9024259468846
16,"Aa - Aa",-26.915,-25.8025014452275,-3.77773649837649,0,0,0,-29.580237943604,9.9024259468846
17,"Aa",1.15,1.0989263378545,0.503369167482173,0,0,0,1.60229550533667,39.3300439423194
18,"Aa",18.6,20.0657467231621,0,0,0,0,20.0657467231621,7.88035872667795
19,"Aa / Aa",0,-0.411258370612797,0,0.165050975026111,0,0,-0.246207395586686,Inf
20,"Aa / Aa",0,0.411005435012706,0,0,0,0,0.411005435012706,Inf
21,"Aa * Aa",948.162394341475,973.465189004865,0,0,0,0,973.465189004865,2.66861402797603
22,"Aa + Aa",19.75,21.0033406021787,0,0,0,0,21.0033406021787,6.34602836546177
23,"Aa - Aa",-17.45,-18.6356626415242,0,0,0,0,-18.6356626415242,6.79462831819026
24,"Aa - Aa",17.45,18.6356626415242,0,0,0,0,18.6356626415242,6.79462831819026
25,"Aa",531.7,564.326852902075,0,44.5771711883958,0,0,608.904024090471,14.5202226989789
26,"Aa",30.39286,30.9149605795183,0,0,0,0,30.9149605795183,1.71783958310703
27,"Aa / Aa",0,0.88814898190416,0,0,0,0,0.88814898190416,Inf
28,"Aa / Aa",0,-0.00538526757454553,-0.00211536542250996,0,0,0,-0.00750063299705549,Inf
29,"Aa * Aa",76774.654577879,76119.3667719308,0,21701.7758476393,0,0,97821.1426195701,27.4133282102128
30,"Aa + Aa",562.09286,595.245651066213,0,46.1812528602176,0,0,641.426903926431,14.1140458404739
31,"Aa - Aa",501.30714,533.215531738465,0,42.2688890602334,0,0,575.484420798698,14.7967732513641
32,"Aa - Aa",-501.30714,-533.215531738465,0,-42.2688890602334,0,0,-575.484420798698,14.7967732513641
33,"Aa",311.5,312.774315266529,0,24.6620239837054,0,26.479322423335,363.915661673569,16.8268576801186
34,"Aa",0.85,0.855849730538597,0,0,0,0,0.855849730538597,0.688203592776124
35,"Aa / Aa",0,26.8363205231625,0,0,0,0,26.8363205231625,Inf
36,"Aa / Aa",0,-0.0156921322371909,0,0,0,0,-0.0156921322371909,Inf
37,"Aa * Aa",3769.31728352606,3648.94802650063,0,0,0,0,3648.94802650063,3.19339678703908
38,"Aa + Aa",312.35,313.722890332096,0,30.5469587178826,0,32.6752177924962,376.945066842475,20.6803479566111
39,"Aa - Aa",310.65,311.681588966398,0,0,0,0,311.681588966398,0.332074349395794
40,"Aa - Aa",-310.65,-311.681588966398,0,0,0,0,-311.681588966398,0.332074349395794
41,"Aa",1.19,1.22307740072433,0,0,0,0,1.22307740072433,2.77961350624622
42,"Aa",0.335,0.310484834983581,0,0,0,0,0.310484834983581,7.31795970639374
43,"Aa / Aa",0,0.199080968357951,0,0,0,0,0.199080968357951,Inf
44,"Aa / Aa",0,-0.0814544556757167,0,0,0,0,-0.0814544556757167,Inf
45,"Aa * Aa",6.7092109587387,6.21231201990592,0,0,0,0,6.21231201990592,7.40622022304384
46,"Aa + Aa",1.525,1.57869086051541,0,0,-0.408681070385072,-0.117781001122253,1.05222878900809,31.0013908847157
47,"Aa - Aa",0.855,0.900283786809561,0,0,0,0,0.900283786809561,5.29634933445158
48,"Aa - Aa",-0.855,-0.900283786809561,0,0,0,0,-0.900283786809561,5.29634933445158
49,"Aa",0.551,0.725039409339784,0,0,0,0,0.725039409339784,31.5860996986904
50,"Aa",0.8516866825,0.849888786926538,0,0,0,0,0.849888786926538,0.211098237227866
51,"Aa / Aa",0,18.7047519647916,27.3353490681084,0,0,0,46.0401010329,Inf
52,"Aa / Aa",0,0.0791553102895895,0.00702699084835778,0,0,0,0.0861823011379473,Inf
53,"Aa * Aa",9.20841523144055,9.19098380215895,-0.737682790296393,0,0,0,8.45330101186256,8.20026248381791
54,"Aa + Aa",1.4026866825,1.57561420051623,0,0,0,0,1.57561420051623,12.3283068253006
