"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.0517241379310345,0.362068965517241,0.5,0.836206896551724,0.0603448275862069,0.0344827586206897
"2. / 1.",0.0517241379310345,0.172413793103448,0.456896551724138,0.827586206896552,0.181034482758621,0.0862068965517241
"1. * 2.",0.0862068965517241,0.120689655172414,0.75,0.887931034482759,0.0431034482758621,0.0258620689655172
"1. + 2.",0.0689655172413793,0.0603448275862069,0.672413793103448,0.724137931034483,0.0517241379310345,0.0344827586206897
"1. - 2.",0.0517241379310345,0.0431034482758621,0.663793103448276,0.71551724137931,0.0172413793103448,0.0344827586206897
"2. - 1.",0.0517241379310345,0.0431034482758621,0.663793103448276,0.71551724137931,0.0172413793103448,0.0344827586206897
