"","a","d","aa","ad","dd","NA"
"1. / 2.",0.11,0.31,0.47,0.09,0.09,0.13
"2. / 1.",0.1,0.32,0.52,0.12,0.13,0.08
"1. * 2.",0.04,0.01,0.99,0.01,0,0.01
"1. + 2.",0.1,0.03,0.96,0.1,0.01,0
"1. - 2.",0.12,0.07,0.82,0.07,0.01,0.1
"2. - 1.",0.12,0.07,0.82,0.07,0.01,0.1
