trait,beta,a,d,aa,ad,dd
a * a,NA,2661.797775,NA,678.8318789,NA,NA
a + a,NA,47.03077708,NA,NA,NA,NA
a - a,NA,-5.371924204,NA,NA,NA,NA
a - a,NA,5.371924204,NA,NA,NA,NA
a,4095.5,4219.074972,NA,NA,NA,NA
a,4.585,4.713110892,NA,NA,NA,NA
a / a,NA,-572.5445523,NA,251.1341281,NA,NA
a / a,NA,0.000160086,NA,NA,NA,NA
a * a,NA,99945.82013,NA,18871.73389,NA,NA
a + a,NA,4223.679599,NA,NA,NA,NA
a - a,NA,4214.470376,NA,NA,NA,NA
a - a,NA,-4214.470376,NA,NA,NA,NA
a,8.825,4.58818647,NA,NA,32.04156172,NA
a,14.1,14.05532228,NA,NA,NA,NA
a / a,NA,21.89634612,NA,NA,NA,16.22979356
a / a,NA,0.059091431,NA,NA,NA,NA
a * a,NA,3354.174955,NA,NA,NA,NA
a + a,NA,19.51666529,NA,NA,30.39392424,NA
a - a,NA,-8.452520816,NA,NA,29.92951827,NA
a - a,NA,8.452520816,NA,NA,-29.92951827,NA
a,30.415,29.75360079,NA,NA,NA,NA
a,166.9,160.758162,NA,NA,NA,NA
a / a,NA,0.01308106,NA,NA,NA,NA
a / a,NA,-8.294215265,-2.094815447,NA,NA,NA
a * a,NA,62862.36473,NA,NA,NA,NA
a + a,NA,189.8729565,NA,NA,NA,NA
a - a,NA,-131.7010705,NA,NA,NA,NA
a - a,NA,131.7010705,NA,NA,NA,NA
a,0.0425,0.0311435,NA,NA,NA,NA
a,9.95,9.850417461,NA,NA,NA,NA
a / a,NA,-0.012672529,NA,0.004163358,0.004645214,NA
a / a,NA,13.18734188,NA,NA,NA,NA
a * a,NA,7.244365322,NA,NA,NA,NA
a + a,NA,9.883638216,NA,NA,NA,NA
a - a,NA,-9.817173633,NA,NA,NA,NA
a - a,NA,9.817173633,NA,NA,NA,NA
a,0.6855,0.407097367,NA,NA,0.272408221,NA
a,87.5,85.56349889,NA,NA,NA,NA
a / a,NA,-0.083201654,NA,NA,NA,NA
a / a,NA,8.453917022,NA,NA,NA,NA
a * a,NA,874.1089528,NA,NA,NA,-38.4464278
a + a,NA,86.07994146,NA,NA,NA,NA
a - a,NA,-85.04926028,NA,NA,NA,NA
a - a,NA,85.04926028,NA,NA,NA,NA
a,5.6,4.223286763,NA,NA,NA,NA
a,0.365142715,0.360580709,NA,NA,NA,NA
a / a,NA,-51.55163284,NA,23.71699288,NA,NA
a / a,NA,0.005525293,NA,-0.000567041,NA,NA
a * a,NA,23.39544749,-1.345250071,NA,NA,NA
a + a,NA,4.582726198,NA,NA,NA,NA
a - a,NA,3.863781354,NA,NA,NA,NA
a - a,NA,-3.863781354,NA,NA,NA,NA
a,213.005,220.0326879,NA,NA,NA,NA
a,6.01,5.818763048,NA,NA,NA,NA
a / a,NA,4.900053216,NA,-0.840750798,NA,NA
a / a,NA,-0.014310902,NA,0.006908935,0.00676833,NA
a * a,NA,6801.254551,NA,1168.772615,NA,NA
a + a,NA,225.8546583,NA,NA,NA,NA
a - a,NA,214.2068912,NA,NA,NA,NA
a - a,NA,-214.2068912,NA,NA,NA,NA
a,3.08335,3.158868398,NA,NA,NA,NA
a,0.092,0.091815356,NA,NA,NA,NA
a / a,NA,3.152742492,0.241385178,NA,-0.493451091,NA
a / a,NA,-0.418533613,NA,0.377288413,0.620577082,0.258563312
a * a,NA,3.187454037,NA,0.466960318,NA,NA
a + a,NA,3.251966572,NA,NA,NA,NA
a - a,NA,3.067647448,NA,NA,NA,NA
a - a,NA,-3.067647448,NA,NA,NA,NA
a,133.875,140.84789,NA,NA,NA,71.56128261
a,0.3335,0.339320649,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,1092.63642,NA,NA,NA,NA
a + a,NA,141.1964291,NA,NA,NA,71.50413587
a - a,NA,140.4992834,NA,NA,NA,71.61869719
a - a,NA,-140.4992834,NA,NA,NA,-71.61869719
a,1.885,NA,NA,NA,NA,NA
a,10.05,10.26499503,NA,NA,NA,NA
a / a,NA,-0.15967108,NA,NA,NA,NA
a / a,NA,0.207560061,NA,NA,NA,NA
a * a,NA,497.0979569,NA,NA,NA,NA
a + a,NA,11.3781571,NA,NA,NA,NA
a - a,NA,-9.103662641,NA,NA,NA,NA
a - a,NA,9.103662641,NA,NA,NA,NA
a,16.465,15.65391322,NA,NA,NA,NA
a,0.019,NA,NA,NA,NA,NA
a / a,NA,7.571479209,NA,NA,3.190665241,NA
a / a,NA,-0.005442019,NA,NA,-0.003105786,NA
a * a,NA,28.93097087,NA,NA,NA,NA
a + a,NA,15.65667154,NA,NA,NA,NA
a - a,NA,15.65042486,NA,NA,NA,NA
a - a,NA,-15.65042486,NA,NA,NA,NA
a,4.8,5.215201202,NA,NA,NA,NA
a,5.46,5.333020897,NA,NA,NA,3.611829918
a / a,NA,-0.098838186,NA,NA,NA,-0.089466357
a / a,NA,0.018284904,NA,NA,NA,0.024262691
a * a,NA,1138.386773,NA,NA,NA,NA
