trait,beta,a,d,aa,ad,dd
a,2.95,2.288889664,NA,NA,NA,NA
a,1.065,0.955242826,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,59.73059144,NA,NA,NA,NA
a + a,NA,3.207144492,NA,NA,NA,NA
a - a,NA,0.995318553,NA,NA,NA,NA
a - a,NA,-0.995318553,NA,NA,NA,NA
a,1.4645,1.661172151,NA,NA,NA,NA
a,12.78,12.65701505,NA,NA,NA,NA
a / a,NA,-0.951843135,NA,0.554438465,0.715695877,NA
a / a,NA,0.66109329,NA,NA,NA,NA
a * a,NA,239.2579042,NA,NA,NA,NA
a + a,NA,14.2789295,NA,NA,NA,NA
a - a,NA,-11.03903736,NA,NA,NA,NA
a - a,NA,11.03903736,NA,NA,NA,NA
a,35.08,30.03778528,NA,NA,NA,-25.14596582
a,1.7,1.701458418,NA,NA,NA,NA
a / a,NA,-218.1778072,NA,111.5867947,NA,NA
a / a,NA,0.003099137,NA,NA,NA,NA
a * a,NA,926.6230501,NA,NA,37.39287263,-140.4817099
a + a,NA,31.73466801,NA,NA,NA,-25.25236269
a - a,NA,28.49122082,NA,NA,NA,-24.16164416
a - a,NA,-28.49122082,NA,NA,NA,24.16164416
a,5.35,5.482475296,NA,NA,NA,NA
a,5.656,5.361470584,NA,NA,NA,NA
a / a,NA,0.180446626,NA,-0.052008894,NA,NA
a / a,NA,-2.067732565,NA,1.31787612,1.337664231,NA
a * a,NA,150.089663,NA,17.01214894,NA,NA
a + a,NA,10.84603039,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,0.74,NA,NA,NA,NA,NA
a,0.105,0.099728326,NA,NA,NA,NA
a / a,NA,-13.04173608,NA,NA,NA,NA
a / a,NA,0.000941981,NA,NA,NA,NA
a * a,NA,10.23226609,NA,NA,NA,NA
a + a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,0.52,0.496569745,NA,NA,NA,NA
a,2.82,2.896328246,NA,NA,NA,NA
a / a,NA,0.00975204,NA,NA,NA,NA
a / a,NA,-6.181127228,NA,2.706302308,NA,NA
a * a,NA,24.49450465,NA,NA,NA,NA
a + a,NA,3.406406947,NA,NA,NA,NA
a - a,NA,-2.386538232,NA,NA,NA,NA
a - a,NA,2.386538232,NA,NA,NA,NA
a,2.25,2.162592667,NA,NA,NA,NA
a,2.97,4.145805847,NA,-0.992877274,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,359.3236086,NA,NA,NA,NA
a + a,NA,6.574253999,NA,NA,NA,NA
a - a,NA,-2.038938345,NA,NA,NA,NA
a - a,NA,2.038938345,NA,NA,NA,NA
a,1.085,1.109052511,NA,NA,NA,NA
a,1.085,0.441114575,NA,NA,-2.757962664,NA
a / a,NA,0.029186502,NA,NA,NA,NA
a / a,NA,-0.361818912,NA,NA,NA,NA
a * a,NA,40.82589681,NA,NA,NA,NA
a + a,NA,1.730997732,NA,NA,-3.273049115,NA
a - a,NA,NA,NA,NA,4.159749862,NA
a - a,NA,NA,NA,NA,-4.159749862,NA
a,44,40.84362659,NA,NA,NA,NA
a,1.35,1.440752231,NA,NA,NA,NA
a / a,NA,0.940086608,NA,NA,NA,NA
a / a,NA,-0.001680682,NA,NA,NA,NA
a * a,NA,421.6981435,NA,NA,NA,NA
a + a,NA,42.2479543,NA,NA,NA,NA
a - a,NA,39.44323581,NA,NA,NA,NA
a - a,NA,-39.44323581,NA,NA,NA,NA
a,3.495,4.528273511,NA,NA,NA,NA
a,4.13,4.453212402,NA,NA,-2.065343335,NA
a / a,NA,-0.225397252,NA,NA,NA,NA
a / a,NA,0.019721024,NA,NA,NA,NA
a * a,NA,700.0413494,NA,NA,NA,NA
a + a,NA,8.563615671,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,0.085,0.136361188,NA,NA,NA,NA
a,0.215,0.182358216,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,0.560913451,NA,NA,NA,NA
a + a,NA,0.318183866,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,5.7,5.617948279,NA,NA,NA,NA
a,5.5425,5.593796757,NA,NA,NA,NA
a / a,NA,-0.354414785,NA,0.122764097,NA,NA
a / a,NA,0.270623763,NA,-0.162527028,-0.157818719,NA
a * a,NA,79.10974647,NA,30.53147064,NA,NA
a + a,NA,11.21387108,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,3.7,2.942137292,NA,NA,NA,NA
a,1.65,0.43789527,NA,NA,2.623190168,NA
a / a,NA,0.048132088,NA,NA,NA,NA
a / a,NA,-0.010401704,NA,NA,NA,NA
a * a,NA,86.1197653,NA,NA,135.8404335,NA
a + a,NA,3.454466093,NA,NA,3.681558998,NA
a - a,NA,2.117288306,NA,NA,NA,NA
a - a,NA,-2.117288306,NA,NA,NA,NA
a,1.65,1.310685587,NA,NA,NA,NA
a,11.15,11.27541612,NA,NA,NA,NA
a / a,NA,-0.042666904,NA,NA,NA,NA
a / a,NA,0.54081509,NA,NA,NA,NA
a * a,NA,189.1567622,NA,NA,NA,NA
a + a,NA,12.59886879,NA,NA,NA,NA
a - a,NA,-9.924709936,NA,NA,NA,NA
a - a,NA,9.924709936,NA,NA,NA,NA
a,2.05,2.315366597,NA,NA,NA,NA
a,1.845,1.78410948,NA,NA,NA,NA
a / a,NA,-0.187121648,NA,NA,NA,NA
a / a,NA,0.040773992,NA,NA,NA,NA
a * a,NA,45.63703339,NA,NA,NA,NA
a + a,NA,4.065259119,NA,NA,NA,NA
a - a,NA,0.402862311,NA,NA,NA,NA
a - a,NA,-0.402862311,NA,NA,NA,NA
a,8.65,8.706459486,NA,NA,NA,NA
a,0.365142715,0.355157799,NA,NA,NA,0.044527993
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,-0.001797748,NA,NA,NA,NA
a * a,NA,11.14272111,NA,2.638410469,NA,1.821671365
a + a,NA,9.068691092,NA,NA,NA,NA
a - a,NA,8.344416106,NA,NA,NA,NA
a - a,NA,-8.344416106,NA,NA,NA,NA
a,495,471.0280496,NA,NA,NA,NA
a,4.065,3.91272594,NA,NA,NA,NA
a / a,NA,9.778952259,NA,NA,NA,NA
a / a,NA,-0.005815304,NA,NA,NA,NA
a * a,NA,20463.72345,NA,NA,NA,NA
a + a,NA,474.8301577,NA,NA,NA,NA
a - a,NA,467.2345546,NA,NA,NA,NA
a - a,NA,-467.2345546,NA,NA,NA,NA
a,0.213,0.202184552,NA,NA,NA,NA
a,0.825,0.834904969,NA,NA,NA,NA
a / a,NA,0.863260258,NA,NA,NA,NA
a / a,NA,1.333533239,NA,-0.44781848,-0.225175897,NA
a * a,NA,0.574946896,NA,0.135141208,NA,NA
a + a,NA,1.036728519,NA,NA,NA,NA
a - a,NA,-0.634076482,NA,NA,NA,NA
a - a,NA,0.634076482,NA,NA,NA,NA
a,7.225,7.573071645,NA,0.935057642,NA,1.009191128
a,7.07,7.405938042,NA,NA,NA,NA
a / a,NA,0.089539816,NA,NA,NA,NA
a / a,NA,-1.298608372,-0.503795416,NA,NA,NA
a * a,NA,598.1459022,NA,85.22911049,NA,81.19297138
a + a,NA,15.05155543,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,0.956,0.955451596,NA,NA,NA,NA
a,1.255730239,1.255989155,NA,NA,NA,NA
a / a,NA,1.025483539,NA,4.394602076,-8.699560183,3.894053355
a / a,NA,-0.933737471,NA,-24.36328383,-5.600495248,-34.03831232
a * a,NA,-0.770982791,NA,1.201906921,NA,NA
a + a,NA,2.211473713,NA,NA,NA,NA
a - a,NA,-0.300498015,NA,NA,NA,NA
a - a,NA,0.300498015,NA,NA,NA,NA
a,1.35,1.322403641,NA,NA,NA,NA
a,5.585,5.095711608,NA,NA,NA,NA
a / a,NA,0.039934463,0.009426773,NA,NA,NA
a / a,NA,-9.536865056,NA,6.606586707,7.801910274,NA
a * a,NA,40.48402084,NA,2.53164317,NA,NA
a + a,NA,6.396565234,NA,NA,NA,NA
a - a,NA,-3.795448891,NA,NA,NA,NA
a - a,NA,3.795448891,NA,NA,NA,NA
a,8.3505,8.562224774,NA,NA,NA,NA
a,26.44,26.36167228,NA,NA,NA,NA
a / a,NA,0.019307282,NA,NA,NA,NA
a / a,NA,-0.347152623,NA,NA,NA,NA
a * a,NA,1214.642203,NA,NA,NA,NA
a + a,NA,34.96208494,NA,NA,NA,NA
a - a,NA,-17.83039201,NA,NA,NA,NA
a - a,NA,17.83039201,NA,NA,NA,NA
a,131.375,132.3455389,NA,NA,NA,NA
a,8.65,8.67889659,NA,NA,NA,NA
a / a,NA,14.4391472,NA,-80.71629605,-164.3749062,-73.14293485
a / a,NA,0.102133466,NA,-0.092879767,-0.140225964,NA
a * a,NA,2102.623317,NA,1110.853689,NA,NA
a + a,NA,140.9724499,NA,NA,NA,NA
a - a,NA,123.7133707,NA,NA,NA,NA
a - a,NA,-123.7133707,NA,NA,NA,NA
a,47,45.58712036,NA,NA,NA,NA
a,3.35,3.057998255,NA,-4.535029726,NA,-4.351847603
a / a,NA,0.742990903,NA,NA,NA,NA
a / a,NA,-0.028596808,NA,NA,NA,NA
a * a,NA,2469.838778,NA,NA,NA,NA
a + a,NA,48.6958552,NA,NA,NA,NA
a - a,NA,42.45906252,NA,NA,NA,NA
a - a,NA,-42.45906252,NA,NA,NA,NA
a,0.1005,0.083989043,NA,NA,0.147818018,NA
a,8.275,8.696124933,NA,-0.92240368,NA,NA
a / a,NA,-0.007342947,NA,NA,NA,NA
a / a,NA,4.327402105,NA,NA,-2.458435517,NA
a * a,NA,17.16958986,NA,NA,NA,NA
a + a,NA,8.773900562,NA,-0.822566204,NA,NA
a - a,NA,-8.628657406,NA,1.02895541,NA,NA
a - a,NA,8.628657406,NA,-1.02895541,NA,NA
a,6.45,6.582264894,NA,NA,NA,NA
a,9.95,9.427521405,NA,NA,NA,NA
a / a,NA,-0.05114276,NA,NA,NA,NA
a / a,NA,0.073602034,NA,NA,NA,NA
a * a,NA,350.6189012,NA,59.42257008,40.94015891,NA
a + a,NA,15.65705748,NA,NA,2.628387844,NA
a - a,NA,-2.825846491,NA,NA,NA,NA
a - a,NA,2.825846491,NA,NA,NA,NA
a,0.26,0.25654467,NA,NA,NA,NA
a,27.0505,27.04548225,NA,NA,NA,NA
a / a,NA,0.017720751,NA,NA,NA,NA
a / a,NA,55.3148469,NA,-29.40357529,-23.96922405,NA
a * a,NA,16.67528104,NA,6.68920422,NA,NA
a + a,NA,27.29819683,NA,NA,NA,NA
a - a,NA,-26.7925618,NA,NA,NA,NA
a - a,NA,26.7925618,NA,NA,NA,NA
a,13.555,13.89250805,NA,NA,NA,NA
a,0.097,0.098712862,NA,NA,NA,NA
a / a,NA,13.28953949,NA,NA,NA,NA
a / a,NA,-0.001542418,NA,NA,NA,NA
a * a,NA,6.701288366,-1.127976343,NA,NA,NA
a + a,NA,13.99085813,NA,NA,NA,NA
a - a,NA,13.79409356,NA,NA,NA,NA
a - a,NA,-13.79409356,NA,NA,NA,NA
a,0.104134169,0.098791938,NA,NA,NA,NA
a,2.48,1.611174759,NA,NA,NA,NA
a / a,NA,0.001880658,NA,NA,NA,NA
a / a,NA,-47.4937558,-8.800029316,NA,NA,NA
a * a,NA,4.96350796,NA,NA,NA,NA
a + a,NA,1.709065129,NA,NA,NA,NA
a - a,NA,-1.51453344,NA,NA,NA,NA
a - a,NA,1.51453344,NA,NA,NA,NA
a,0.77,0.746882205,NA,NA,NA,NA
a,0.0545,0.10779594,NA,NA,NA,NA
a / a,NA,0.339070279,NA,NA,NA,NA
a / a,NA,-0.186434113,NA,NA,NA,NA
a * a,NA,1.624369423,NA,NA,NA,NA
a + a,NA,0.852005054,NA,NA,NA,NA
a - a,NA,0.650659519,NA,NA,NA,NA
a - a,NA,-0.650659519,NA,NA,NA,NA
a,5.25,5.186753304,NA,0.14428927,1.367166188,0.196436924
a,7.7,7.535514807,NA,NA,NA,NA
a / a,NA,-0.446346353,NA,0.306668682,0.493466107,0.20702473
a / a,NA,0.247145581,NA,-0.115289943,-0.17139437,NA
a * a,NA,143.7863616,NA,37.38475597,20.26211049,NA
a + a,NA,12.69854061,NA,NA,1.787266602,NA
a - a,NA,-2.331007394,NA,NA,1.099493551,NA
a - a,NA,2.331007394,NA,NA,-1.099493551,NA
a,0.1725,0.173784073,NA,NA,NA,NA
a,0.465,0.46046385,NA,NA,NA,NA
a / a,NA,0.024275115,NA,NA,NA,NA
a / a,NA,-46.2723411,NA,NA,50.95611892,NA
a * a,NA,1.266622963,NA,NA,NA,NA
a + a,NA,0.635524544,NA,NA,NA,NA
a - a,NA,-0.241491846,NA,NA,NA,NA
a - a,NA,0.241491846,NA,NA,NA,NA
a,6207.5,6067.316304,NA,NA,NA,NA
a,327.4,331.9200669,NA,NA,NA,NA
a / a,NA,-19.25396542,NA,12.73694306,15.21658431,NA
a / a,NA,0.011850677,NA,-0.003244945,-0.005122182,NA
a * a,NA,7384858.099,NA,1802853.796,NA,NA
a + a,NA,6399.784923,NA,NA,NA,NA
a - a,NA,5735.077721,NA,NA,NA,NA
a - a,NA,-5735.077721,NA,NA,NA,NA
a,11.35,11.14138203,NA,NA,NA,NA
a,48.765,49.07640742,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,0.107743868,NA,NA,NA,NA
a * a,NA,4869.799339,NA,870.1176045,NA,NA
a + a,NA,60.029105,NA,NA,NA,NA
a - a,NA,-38.2957939,NA,NA,NA,NA
a - a,NA,38.2957939,NA,NA,NA,NA
a,0.845,0.867192674,NA,NA,NA,NA
a,17.285715,17.67474005,NA,NA,NA,NA
a / a,NA,-0.145610553,NA,0.071238556,NA,NA
a / a,NA,1.533640758,NA,-0.385058534,NA,-0.370133669
a * a,NA,198.9780785,NA,NA,NA,NA
a + a,NA,18.4932102,NA,NA,NA,NA
a - a,NA,-16.86548405,NA,1.764533763,NA,1.872468304
a - a,NA,16.86548405,NA,-1.764533763,NA,-1.872468304
a,0.765,0.800420419,NA,NA,NA,NA
a,0.2,0.21456825,NA,NA,NA,NA
a / a,NA,0.151399528,NA,-0.08354847,NA,NA
a / a,NA,-0.272939136,NA,0.144312929,NA,NA
a * a,NA,3.945133354,NA,NA,NA,NA
a + a,NA,1.031952536,NA,NA,NA,NA
a - a,NA,0.562123297,NA,NA,NA,NA
a - a,NA,-0.562123297,NA,NA,NA,NA
a,6,5.872882177,NA,NA,NA,NA
a,19.16666666,19.48285921,NA,NA,NA,NA
a / a,NA,-1.911436018,NA,NA,NA,NA
a / a,NA,0.440357042,0.050233261,NA,NA,NA
a * a,NA,855.4320375,NA,92.24810064,NA,NA
a + a,NA,25.40069528,NA,NA,NA,NA
a - a,NA,-13.55860759,NA,NA,NA,NA
a - a,NA,13.55860759,NA,NA,NA,NA
a,4.7,4.342953077,NA,NA,NA,NA
a,1.353770477,1.361409514,NA,-0.008161043,-0.019440077,NA
a / a,NA,21.01519473,NA,-124.0650788,144.227929,-163.8056837
a / a,NA,0.053181844,NA,-0.008303783,NA,NA
a * a,NA,35.33781748,NA,5.377858977,NA,NA
a + a,NA,5.704579717,NA,NA,NA,NA
a - a,NA,2.981331706,NA,NA,NA,NA
a - a,NA,-2.981331706,NA,NA,NA,NA
a,1.14,0.776364302,NA,-0.879435393,1.009523745,-0.872902934
a,7.05,7.433047227,NA,NA,NA,NA
a / a,NA,-0.327428525,NA,NA,0.174155356,-0.052794652
a / a,NA,0.238034951,NA,NA,NA,NA
a * a,NA,228.4171965,NA,NA,NA,NA
a + a,NA,8.246640971,NA,NA,NA,NA
a - a,NA,-6.671331495,NA,NA,NA,NA
a - a,NA,6.671331495,NA,NA,NA,NA
a,5.95,5.511311603,NA,NA,NA,NA
a,101.07,102.6558407,NA,NA,NA,NA
a / a,NA,-0.109786726,NA,0.051511966,0.044034139,NA
a / a,NA,3.008458757,0.378145646,NA,NA,NA
a * a,NA,3206.340502,-458.9287443,NA,NA,NA
a + a,NA,108.0838201,NA,NA,NA,NA
a - a,NA,-97.30181189,NA,NA,NA,NA
a - a,NA,97.30181189,NA,NA,NA,NA
a,33.915,36.61092284,NA,NA,NA,NA
a,0.110375804,0.10807568,NA,NA,NA,NA
a / a,NA,-748.0419746,NA,NA,NA,NA
a / a,NA,0.000504818,NA,NA,NA,NA
a * a,NA,21.50173721,NA,4.001510659,NA,NA
a + a,NA,36.717771,NA,NA,NA,NA
a - a,NA,36.5040742,NA,NA,NA,NA
a - a,NA,-36.5040742,NA,NA,NA,NA
a,20.24,20.67141129,0.628969454,NA,1.715177086,NA
a,3.09,2.87450406,NA,NA,NA,NA
a / a,NA,0.375844617,0.019927309,NA,NA,NA
a / a,NA,-1.822269528,NA,NA,NA,NA
a * a,NA,1169.926587,NA,NA,NA,NA
a + a,NA,23.59811111,NA,NA,NA,NA
a - a,NA,18.1848871,NA,NA,NA,NA
a - a,NA,-18.1848871,NA,NA,NA,NA
a,6.1,6.083244501,NA,NA,NA,NA
a,30.5,31.89763922,NA,NA,NA,NA
a / a,NA,0.034099197,NA,-0.008886608,NA,NA
a / a,NA,-8.494609656,NA,NA,NA,NA
a * a,NA,1053.313824,NA,181.6178949,NA,NA
a + a,NA,38.03186855,NA,NA,NA,NA
a - a,NA,-25.77630985,NA,NA,NA,NA
a - a,NA,25.77630985,NA,NA,NA,NA
a,54.29,51.88948502,NA,-6.191086722,NA,NA
a,14.1,14.20027191,NA,0.233312175,NA,NA
a / a,NA,12.9485087,NA,NA,NA,NA
a / a,NA,0.08246342,NA,-0.024366464,-0.016634376,NA
a * a,NA,2722.55332,NA,697.0234166,NA,NA
a + a,NA,66.11798689,NA,-5.857339847,NA,NA
a - a,NA,37.66397885,NA,-6.565581079,NA,NA
a - a,NA,-37.66397885,NA,6.565581079,NA,NA
a,12.375,14.08154509,NA,NA,NA,NA
a,6.45,6.114665032,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,613.1182407,NA,101.3086486,NA,NA
a + a,NA,20.11047193,NA,NA,NA,NA
a - a,NA,8.006977602,NA,NA,NA,NA
a - a,NA,-8.006977602,NA,NA,NA,NA
a,2.125,2.314264193,NA,NA,NA,1.123950847
a,15.93,15.9511056,NA,NA,NA,NA
a / a,NA,-0.813317363,NA,0.220524208,NA,NA
a / a,NA,0.619453765,NA,NA,NA,NA
a * a,NA,411.690535,NA,44.17359779,NA,39.91887868
a + a,NA,18.25260229,NA,NA,NA,1.396582787
a - a,NA,-13.56348952,NA,NA,NA,NA
a - a,NA,13.56348952,NA,NA,NA,NA
a,0.156,0.13302219,NA,NA,NA,NA
a,0.3451287,0.336560707,NA,NA,NA,NA
a / a,NA,-11.06279602,NA,8.882402654,12.47344459,NA
a / a,NA,0.126502625,NA,NA,NA,NA
a * a,NA,0.889405361,NA,NA,NA,NA
a + a,NA,0.469965638,NA,NA,NA,NA
a - a,NA,-0.198815576,NA,NA,NA,NA
a - a,NA,0.198815576,NA,NA,NA,NA
a,1.255730239,1.248369317,NA,NA,NA,NA
a,0.41,0.343932837,NA,NA,NA,NA
a / a,NA,0.357251439,NA,-0.02155004,NA,NA
a / a,NA,6.072026687,NA,24.53084349,-48.34377049,21.56371005
a * a,NA,4.333968387,NA,0.378516219,NA,NA
a + a,NA,1.586081268,NA,NA,NA,NA
a - a,NA,0.896373507,NA,NA,NA,NA
a - a,NA,-0.896373507,NA,NA,NA,NA
a,0.6,0.641816939,NA,NA,NA,0.073412986
a,1.48,1.525183587,NA,NA,NA,NA
a / a,NA,-0.121436553,NA,NA,NA,NA
a / a,NA,0.178318272,NA,NA,NA,NA
a * a,NA,9.553247488,NA,NA,NA,NA
a + a,NA,2.144288714,NA,NA,NA,NA
a - a,NA,-0.8969705,NA,NA,NA,0.198203468
a - a,NA,0.8969705,NA,NA,NA,-0.198203468
a,1.27,1.410109249,-0.330539086,NA,NA,NA
a,0.015,NA,NA,NA,NA,NA
a / a,NA,2.941761735,NA,NA,NA,NA
a / a,NA,-0.018904754,NA,NA,NA,NA
a * a,NA,0.677141226,NA,NA,NA,NA
a + a,NA,1.417778788,-0.327218527,NA,NA,NA
a - a,NA,1.402805956,-0.311904803,NA,NA,NA
a - a,NA,-1.402805956,0.311904803,NA,NA,NA
a,14.65,14.58076408,NA,NA,NA,NA
a,0.044,0.046506532,NA,NA,NA,NA
a / a,NA,20.08012304,NA,NA,NA,NA
a / a,NA,-0.05140038,NA,NA,NA,NA
a * a,NA,10.63990889,NA,NA,NA,NA
a + a,NA,14.62935528,NA,NA,NA,NA
a - a,NA,14.53266892,NA,NA,NA,NA
a - a,NA,-14.53266892,NA,NA,NA,NA
a,4.825,4.539530822,NA,NA,NA,NA
a,30,30.91093081,NA,NA,-7.315470594,NA
a / a,NA,-0.079936735,NA,0.031668225,0.059633796,NA
a / a,NA,0.814755373,NA,NA,-0.423594207,NA
a * a,NA,863.0198078,NA,82.26694356,NA,NA
a + a,NA,35.44137201,NA,NA,-7.415485902,NA
a - a,NA,-26.32490518,NA,NA,7.073731477,NA
a - a,NA,26.32490518,NA,NA,-7.073731477,NA
a,5.21,5.40055461,NA,NA,NA,NA
a,33.5,31.39448557,NA,NA,14.27468526,NA
a / a,NA,-0.13518506,NA,NA,NA,NA
a / a,NA,0.260100864,NA,NA,0.133402476,NA
a * a,NA,3883.821356,NA,NA,NA,NA
a + a,NA,37.70303841,NA,NA,7.599458738,NA
a - a,NA,-26.18039967,NA,NA,-15.90362937,NA
a - a,NA,26.18039967,NA,NA,15.90362937,NA
a,0.104134169,0.102318113,NA,NA,NA,NA
a,6.755,6.833315477,NA,NA,NA,NA
a / a,NA,-0.021075806,NA,0.007962252,NA,NA
a / a,NA,14.23990466,NA,-4.944194273,NA,NA
a * a,NA,2.925574713,NA,0.631119257,NA,NA
a + a,NA,6.935997337,NA,NA,NA,NA
a - a,NA,-6.73074249,NA,NA,NA,NA
a - a,NA,6.73074249,NA,NA,NA,NA
a,9.703,9.87596858,NA,NA,NA,NA
a,35.515,37.31631119,NA,NA,NA,NA
a / a,NA,0.030827546,NA,NA,NA,NA
a / a,NA,-2.379886852,NA,NA,NA,NA
a * a,NA,2592.864573,NA,NA,NA,NA
a + a,NA,47.05650526,NA,NA,NA,NA
a - a,NA,-27.58408474,NA,NA,NA,NA
a - a,NA,27.58408474,NA,NA,NA,NA
a,4095.5,4026.021599,219.2947155,NA,NA,NA
a,9.505,7.4423227,NA,NA,NA,NA
a / a,NA,22.81408265,NA,NA,NA,NA
a / a,NA,-0.002776712,NA,0.000703937,NA,NA
a * a,NA,691827.1139,NA,NA,NA,NA
a + a,NA,4033.865999,231.6598203,NA,NA,NA
a - a,NA,4017.674259,209.8177365,NA,NA,NA
a - a,NA,-4017.674259,-209.8177365,NA,NA,NA
a,0.644,0.82936969,NA,NA,NA,NA
a,0.193146914,0.193168799,NA,NA,NA,NA
a / a,NA,69.78147467,NA,NA,NA,NA
a / a,NA,0.018757706,NA,-0.001394397,NA,NA
a * a,NA,2.008878528,NA,0.16955631,NA,NA
a + a,NA,1.022529944,NA,NA,NA,NA
a - a,NA,0.636214629,NA,NA,NA,NA
a - a,NA,-0.636214629,NA,NA,NA,NA
a,11.12,10.54517363,NA,5.410539818,NA,4.427782886
a,0.205,0.217550793,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,38.34447314,NA,NA,NA,NA
a + a,NA,10.76243977,NA,5.345889229,NA,4.344781187
a - a,NA,10.32489323,NA,5.520983067,NA,4.617113446
a - a,NA,-10.32489323,NA,-5.520983067,NA,-4.617113446
a,0.08,0.064821146,NA,NA,NA,NA
a,25.085,24.51709239,NA,NA,NA,NA
a / a,NA,-0.002808198,NA,NA,NA,NA
a / a,NA,8.661809567,NA,NA,NA,NA
a * a,NA,67.75366935,NA,NA,NA,NA
a + a,NA,24.60646056,NA,NA,NA,NA
a - a,NA,-24.42772108,NA,NA,NA,NA
a - a,NA,24.42772108,NA,NA,NA,NA
a,4.65,4.306670435,NA,NA,NA,NA
a,101.07,102.9430467,NA,NA,14.5198988,NA
a / a,NA,-0.134938145,NA,0.085191782,0.078733647,NA
a / a,NA,3.402371648,NA,-0.545871484,NA,NA
a * a,NA,3002.093547,NA,460.7483148,NA,NA
a + a,NA,107.0907673,NA,NA,15.52809503,NA
a - a,NA,-98.81057911,NA,NA,-13.34544089,NA
a - a,NA,98.81057911,NA,NA,13.34544089,NA
a,0.0485,0.04656823,NA,NA,NA,NA
a,0.185641585,0.177916059,NA,NA,NA,NA
a / a,NA,-0.235400717,NA,0.054830243,NA,NA
a / a,NA,0.398395662,NA,NA,NA,NA
a * a,NA,0.069588041,NA,0.003948521,NA,NA
a + a,NA,0.225145439,NA,NA,NA,NA
a - a,NA,-0.132497338,NA,NA,NA,NA
a - a,NA,0.132497338,NA,NA,NA,NA
a,3.5,3.020512171,NA,NA,NA,NA
a,2.6,3.143085399,NA,NA,NA,NA
a / a,NA,-0.10706942,NA,NA,NA,NA
a / a,NA,0.045122718,NA,NA,NA,NA
a * a,NA,126.4478633,NA,NA,NA,NA
a + a,NA,6.024575978,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,1.788,1.808457624,NA,NA,NA,NA
a,4.51,4.819061916,NA,NA,NA,NA
a / a,NA,0.013284481,NA,NA,NA,NA
a / a,NA,-0.150910512,NA,NA,NA,NA
a * a,NA,72.13504972,NA,17.38659428,NA,NA
a + a,NA,6.644026404,NA,NA,NA,NA
a - a,NA,-2.999844409,NA,NA,NA,NA
a - a,NA,2.999844409,NA,NA,NA,NA
a,1.15,1.133095829,NA,NA,NA,NA
a,13.65,13.62493902,NA,0.857716805,NA,0.712016426
a / a,NA,-1.277989806,NA,0.648815176,0.610010235,NA
a / a,NA,0.620125888,NA,NA,NA,NA
a * a,NA,301.7271867,NA,26.05133129,NA,NA
a + a,NA,14.71484735,NA,0.407212478,NA,NA
a - a,NA,-12.54035997,NA,NA,NA,NA
a - a,NA,12.54035997,NA,NA,NA,NA
a,0.045,0.046133282,NA,NA,NA,NA
a,2.11,1.809273644,NA,NA,NA,NA
a / a,NA,0.005059934,NA,NA,NA,NA
a / a,NA,-2.462187141,NA,NA,NA,NA
a * a,NA,-0.937056774,NA,-1.177804183,NA,-1.194253379
a + a,NA,1.856265707,NA,NA,NA,NA
a - a,NA,-1.761985412,NA,NA,NA,NA
a - a,NA,1.761985412,NA,NA,NA,NA
a,0.365142715,0.368864701,NA,NA,NA,NA
a,23.4,21.25273336,NA,NA,NA,NA
a / a,NA,0.001930335,NA,NA,NA,NA
a / a,NA,-91.10979029,NA,NA,NA,NA
a * a,NA,65.2761861,NA,NA,NA,NA
a + a,NA,21.61720221,NA,NA,NA,NA
a - a,NA,-20.88835749,NA,NA,NA,NA
a - a,NA,20.88835749,NA,NA,NA,NA
a,0.0425,0.034813084,NA,NA,NA,NA
a,1.3,1.734869671,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a / a,NA,NA,NA,NA,-6.864768666,NA
a * a,NA,3.033491997,NA,NA,NA,NA
a + a,NA,1.781018242,NA,NA,NA,NA
a - a,NA,-1.688160606,NA,NA,NA,NA
