"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.105,0.4,0.481,0.099,0.09,0.103
"2. / 1.",0.103,0.398,0.464,0.11,0.084,0.107
"1. * 2.",0.074,0.954,0.027,0.07,0.291,0.006
"1. + 2.",0.109,0.897,0.067,0.099,0.067,0.023
"1. - 2.",0.117,0.717,0.11,0.116,0.101,0.093
"2. - 1.",0.117,0.717,0.11,0.116,0.101,0.093
