"first element","second element","addition","subtraction","multiplication","division"
"a","a","0.99","0.92","1",0.865
"a","d","0.36","0.37","0.53",0.315
"d","d","0.9","0.72","0.95",0.4
"a","e","0.373333333333333","0.403333333333333","0.553333333333333",0.385
"d","e","0.146666666666667","0.15","0.29",0.121666666666667
"e","e","0.525555555555556","0.441111111111111","0.703333333333333",0.373333333333334
