"","trait","beta","Aa","Ad","AaAa","AaAd","AdAd"
"51","Aa / Aa",0.646951527271298,18.7047519647916,27.3353490681084,NA,NA,NA
"52","Aa / Aa",1.54571085753176,0.0791553102895895,0.00702699084835778,NA,NA,NA
"53","Aa * Aa",0.4692793620575,9.19098380215895,-0.737682790296393,NA,NA,NA
"54","Aa + Aa",1.4026866825,1.57561420051623,NA,NA,NA,NA
"55","Aa - Aa",-0.3006866825,NA,NA,NA,NA,-0.225571364880505
"56","Aa - Aa",0.3006866825,NA,NA,NA,NA,0.225571364880505
"57","Aa",0.1005,0.117129553889894,NA,NA,NA,NA
"58","Aa",29.715,29.6138344103472,NA,NA,NA,-1.81404005067193
"59","Aa / Aa",0.00338213023725391,-0.0076551472734391,NA,NA,NA,NA
"60","Aa / Aa",295.671641791045,15.5440672141629,NA,NA,NA,NA
"61","Aa * Aa",2.9863575,54.9352352530138,NA,3.88367032311062,NA,NA
"62","Aa + Aa",29.8155,29.7392539762936,NA,NA,NA,-1.79828204031775
"63","Aa - Aa",-29.6145,-29.488411934702,NA,NA,NA,1.82974394134899
"64","Aa - Aa",29.6145,29.488411934702,NA,NA,NA,-1.82974394134899
"65","Aa",5.65,6.53918321383011,NA,NA,NA,NA
"66","Aa",0.825,0.823790643769257,NA,NA,NA,NA
"67","Aa / Aa",6.84848484848485,136.416216475259,211.757415960559,NA,NA,NA
"68","Aa / Aa",0.146017699115044,0.00998656371092802,NA,-0.000536784460514632,-0.000561992592457132,NA
"69","Aa * Aa",4.66125,69.0450317183886,-5.81295109297996,NA,NA,NA
"70","Aa + Aa",6.475,7.36658542099203,NA,NA,NA,NA
"71","Aa - Aa",4.825,5.71165545405466,NA,NA,NA,NA
"72","Aa - Aa",-4.825,-5.71165545405466,NA,NA,NA,NA
"73","Aa",6.52,6.4586607906194,NA,NA,NA,NA
"74","Aa",9.45,9.69892882903409,0.55506889335772,NA,NA,NA
"75","Aa / Aa",0.68994708994709,-0.764043978341316,NA,NA,NA,-0.192823988606399
"76","Aa / Aa",1.44938650306748,0.129211355481026,NA,NA,NA,0.0318188008137589
"77","Aa * Aa",61.614,671.202772980612,NA,NA,NA,NA
"78","Aa + Aa",15.97,16.2307757006244,NA,NA,NA,NA
"79","Aa - Aa",-2.93,-2.8404818445826,NA,NA,NA,NA
"80","Aa - Aa",2.93,2.8404818445826,NA,NA,NA,NA
"81","Aa",0.0714999999999999,0.0564835540541227,NA,-0.088498448736924,NA,NA
"82","Aa",1.65,1.50026665885611,NA,NA,NA,NA
"83","Aa / Aa",0.0433333333333333,-0.0145624934100806,NA,-0.0172507856057417,NA,-0.016959117490685
"84","Aa / Aa",23.0769230769231,0.60041206807253,NA,NA,NA,NA
"85","Aa * Aa",0.117975,3.53789937387342,NA,NA,NA,1.20484171462487
"86","Aa + Aa",1.7215,1.54897030698765,NA,NA,NA,NA
"87","Aa - Aa",-1.5785,-1.45583979893094,NA,NA,NA,NA
"88","Aa - Aa",1.5785,1.45583979893094,NA,NA,NA,NA
"89","Aa",1.85,1.73429267265553,NA,NA,NA,NA
"90","Aa",1.7,1.68658030917466,NA,NA,NA,NA
"91","Aa / Aa",1.08823529411765,-4.5787406164004,NA,NA,NA,NA
"92","Aa / Aa",0.918918918918919,0.0688035979485194,NA,NA,NA,NA
"93","Aa * Aa",3.145,40.9332891523235,NA,NA,NA,NA
"94","Aa + Aa",3.55,3.38683474110747,NA,NA,NA,NA
"95","Aa - Aa",0.15,NA,NA,-0.433427018323381,1.30121221531514,NA
"96","Aa - Aa",-0.15,NA,NA,0.433427018323381,-1.30121221531514,NA
"97","Aa",0.8778066665,0.875594747431323,NA,NA,NA,NA
"98","Aa",0.125,NA,NA,0.669249050451185,NA,NA
"99","Aa / Aa",7.022453332,0.0712330009829775,NA,NA,NA,NA
"100","Aa / Aa",0.1424003767235,11.5468359639477,NA,NA,NA,NA
"101","Aa * Aa",0.1097258333125,10.8702520221107,NA,NA,NA,NA
"102","Aa + Aa",1.0028066665,0.95413938862711,NA,NA,NA,NA
"103","Aa - Aa",0.7528066665,0.798643332998659,NA,NA,NA,NA
"104","Aa - Aa",-0.7528066665,-0.798643332998659,NA,NA,NA,NA
"105","Aa",0.819,0.925484251029909,NA,NA,NA,NA
"106","Aa",6015,6015.39599246633,NA,NA,NA,NA
"107","Aa / Aa",0.000136159600997506,-2.31609176610139e-05,NA,NA,NA,NA
"108","Aa / Aa",7344.32234432235,471.640726601009,NA,NA,NA,NA
"109","Aa * Aa",4926.285,32561.607137547,NA,NA,NA,NA
"110","Aa + Aa",6015.819,6016.35488015907,NA,NA,NA,NA
"111","Aa - Aa",-6014.181,-6014.43712634424,NA,NA,NA,NA
"112","Aa - Aa",6014.181,6014.43712634424,NA,NA,NA,NA
"113","Aa",16.465,15.0568235550769,NA,NA,NA,NA
"114","Aa",10.685,11.7762771435626,NA,NA,NA,NA
"115","Aa / Aa",1.54094525035096,-0.128464762729817,NA,NA,NA,NA
"116","Aa / Aa",0.648952323109626,0.0368603778242036,NA,NA,NA,NA
"117","Aa * Aa",175.928525,1415.78812675092,NA,NA,NA,NA
"118","Aa + Aa",27.15,26.5194604076234,NA,NA,NA,NA
"119","Aa - Aa",5.78,3.5562418912286,NA,NA,NA,NA
"120","Aa - Aa",-5.78,-3.5562418912286,NA,NA,NA,NA
"121","Aa",1.315,1.29685386075213,NA,NA,NA,NA
"122","Aa",2.435,2.70866724799266,NA,NA,-0.901322102848144,NA
"123","Aa / Aa",0.540041067761807,0.0713893597221264,NA,NA,NA,NA
"124","Aa / Aa",1.85171102661597,-7.04299635428616,NA,NA,NA,NA
"125","Aa * Aa",3.202025,22.9178235518164,NA,NA,NA,NA
"126","Aa + Aa",3.75,4.04510778227727,NA,NA,-1.22060654342304,NA
"127","Aa - Aa",-1.12,-1.35485612263722,NA,NA,NA,NA
"128","Aa - Aa",1.12,1.35485612263722,NA,NA,NA,NA
"129","Aa",2.45,2.06336879900139,NA,NA,NA,NA
"130","Aa",10.685,10.697445304431,NA,NA,NA,NA
"131","Aa / Aa",0.229293401965372,-0.273491502256708,NA,0.224097896684431,NA,NA
"132","Aa / Aa",4.36122448979592,0.184056941909047,NA,-0.104251093487432,NA,NA
"133","Aa * Aa",26.17825,592.482575080839,NA,225.425518911732,NA,227.942712398602
"134","Aa + Aa",13.135,13.5942726145424,NA,NA,NA,NA
"135","Aa - Aa",-8.235,-8.25338880224831,NA,5.38354494523036,NA,NA
"136","Aa - Aa",8.235,8.25338880224831,NA,-5.38354494523036,NA,NA
"137","Aa",27.75,27.6422900406175,NA,NA,NA,NA
"138","Aa",1.2557302385,1.25864910532994,NA,NA,NA,NA
"139","Aa / Aa",22.0986953640203,NA,NA,NA,NA,NA
"140","Aa / Aa",0.0452515401261261,0.0129277049232114,NA,-0.00329985412009164,-0.00195232561727887,NA
"141","Aa * Aa",34.846514118375,127.891668735791,NA,31.1690706193388,NA,NA
"142","Aa + Aa",29.0057302385,28.8961867276346,NA,NA,NA,NA
"143","Aa - Aa",26.4942697615,26.3829491367133,NA,NA,NA,NA
"144","Aa - Aa",-26.4942697615,-26.3829491367133,NA,NA,NA,NA
"145","Aa",1.85,2.04472189823961,NA,NA,NA,NA
"146","Aa",32.5,33.412723045427,NA,NA,NA,NA
"147","Aa / Aa",0.0569230769230769,-0.0441770111088495,-0.0271482601586755,NA,0.0494471801446252,NA
"148","Aa / Aa",17.5675675675676,0.782487523672047,NA,NA,NA,NA
"149","Aa * Aa",60.125,1178.23070728944,NA,NA,200.68776362808,NA
"150","Aa + Aa",34.35,35.6734625451707,NA,NA,NA,2.92827607270133
"151","Aa - Aa",-30.65,-30.8455072686422,NA,NA,NA,NA
"152","Aa - Aa",30.65,30.8455072686422,NA,NA,NA,NA
"153","Aa",136.9,128.761081145643,NA,NA,NA,14.1306579920896
"154","Aa",0.64,0.658540455226592,NA,NA,NA,NA
"155","Aa / Aa",213.90625,16.7848408842588,NA,NA,NA,NA
"156","Aa / Aa",0.00467494521548576,-0.00136218763044464,NA,NA,NA,NA
"157","Aa * Aa",87.616,677.903077612965,NA,NA,112.306139510707,NA
"158","Aa + Aa",137.54,129.394927092572,NA,NA,NA,14.3782611061917
"159","Aa - Aa",136.26,128.128689204965,NA,NA,NA,13.8634383484134
"160","Aa - Aa",-136.26,-128.128689204965,NA,NA,NA,-13.8634383484134
"161","Aa",0.2905,NA,NA,NA,1.29384561468499,NA
"162","Aa",12.465,11.8305974349515,NA,NA,NA,NA
"163","Aa / Aa",0.023305254713197,-0.0384198846070779,NA,NA,NA,NA
"164","Aa / Aa",42.9087779690189,0.564401661436898,NA,NA,NA,NA
"165","Aa * Aa",3.6210825,269.903607534371,-91.7142530288891,NA,NA,NA
"166","Aa + Aa",12.7555,12.2490496975728,NA,NA,NA,NA
"167","Aa - Aa",-12.1745,-11.6004620064244,NA,NA,NA,NA
"168","Aa - Aa",12.1745,11.6004620064244,NA,NA,NA,NA
"169","Aa",3.6875,3.63134873026704,NA,0.329443359754459,NA,NA
"170","Aa",59.15,58.4454160922523,NA,NA,NA,NA
"171","Aa / Aa",0.062341504649197,0.0802798606620463,0.0989361849839344,NA,NA,NA
"172","Aa / Aa",16.0406779661017,7.05777223749658,NA,NA,NA,NA
"173","Aa * Aa",218.115625,442.957888710272,NA,219.879920963033,NA,NA
"174","Aa + Aa",62.8375,62.1057828995913,NA,NA,NA,NA
"175","Aa - Aa",-55.4625,-54.7512532605838,NA,NA,NA,NA
"176","Aa - Aa",55.4625,54.7512532605838,NA,NA,NA,NA
"177","Aa",7.05,7.81865076319841,NA,NA,NA,NA
"178","Aa",0.89285714,0.888058329455531,NA,NA,NA,NA
"179","Aa / Aa",7.8960000252672,-0.95181071750071,NA,NA,NA,NA
"180","Aa / Aa",0.126646402836879,0.00648439443240961,NA,NA,NA,NA
"181","Aa * Aa",6.294642837,49.7986566812816,NA,NA,NA,NA
"182","Aa + Aa",7.94285714,8.70676508706557,NA,NA,NA,NA
"183","Aa - Aa",6.15714286,6.92874806662848,NA,NA,NA,NA
"184","Aa - Aa",-6.15714286,-6.92874806662848,NA,NA,NA,NA
"185","Aa",12.5,10.5911709738656,NA,2.48662789390664,NA,NA
"186","Aa",0.17,0.165789888567695,NA,NA,NA,NA
"187","Aa / Aa",73.5294117647059,-52.329504307662,NA,25.4456040699495,NA,NA
"188","Aa / Aa",0.0136,0.000926315949434729,NA,-0.000327780059190647,NA,NA
"189","Aa * Aa",2.125,26.7723063124075,NA,NA,NA,NA
"190","Aa + Aa",12.67,10.7556238299979,NA,2.44836902539384,NA,NA
"191","Aa - Aa",12.33,10.426716851008,NA,2.52451599342501,NA,NA
"192","Aa - Aa",-12.33,-10.426716851008,NA,-2.52451599342501,NA,NA
"193","Aa",29.8,29.9261446998805,NA,NA,NA,NA
"194","Aa",20.36,19.8303157451043,NA,NA,NA,NA
"195","Aa / Aa",1.46365422396857,0.0656260294873008,NA,-0.0309681809241204,NA,NA
"196","Aa / Aa",0.683221476510067,-0.0582252659833659,NA,0.0340630075645386,NA,NA
"197","Aa * Aa",606.728,2793.3268402939,-583.507607369306,NA,NA,NA
"198","Aa + Aa",50.16,49.8176803234776,NA,NA,NA,NA
"199","Aa - Aa",9.44,10.1948868188057,NA,NA,NA,NA
"200","Aa - Aa",-9.44,-10.1948868188057,NA,NA,NA,NA
"201","Aa",4.95,5.12230488818007,NA,NA,NA,NA
"202","Aa",1.625,1.61280442073784,NA,NA,NA,NA
"203","Aa / Aa",3.04615384615385,-1.19316776997866,-0.684762767542035,NA,NA,NA
"204","Aa / Aa",0.328282828282828,0.0379624802871346,0.0248586151294074,NA,-0.0104365447578285,NA
"205","Aa * Aa",8.04375,49.9200752867934,NA,NA,NA,NA
"206","Aa + Aa",6.575,6.76830881978299,NA,NA,NA,NA
"207","Aa - Aa",3.325,3.47486932268355,NA,NA,NA,NA
"208","Aa - Aa",-3.325,-3.47486932268355,NA,NA,NA,NA
"209","Aa",1.65,1.42462541008505,NA,NA,NA,NA
"210","Aa",8.65,8.48311451532408,NA,NA,NA,NA
"211","Aa / Aa",0.190751445086705,NA,NA,NA,NA,NA
"212","Aa / Aa",5.24242424242424,0.378129775158239,NA,NA,NA,NA
"213","Aa * Aa",14.2725,191.932843893601,NA,9.56285417687376,NA,6.87161494782772
"214","Aa + Aa",10.3,9.87953889700469,NA,NA,NA,NA
"215","Aa - Aa",-7,-7.02580563767214,NA,NA,NA,NA
"216","Aa - Aa",7,7.02580563767214,NA,NA,NA,NA
"217","Aa",2.6,2.60487510402688,NA,NA,NA,NA
"218","Aa",34.13,34.6932559903962,NA,NA,NA,-7.04868831812875
"219","Aa / Aa",0.0761793143861705,NA,NA,NA,NA,NA
"220","Aa / Aa",13.1269230769231,NA,NA,NA,NA,NA
"221","Aa * Aa",88.738,607.300200569222,NA,83.8606853247116,NA,NA
"222","Aa + Aa",36.73,37.2970041610645,NA,NA,NA,-6.9233841396735
"223","Aa - Aa",-31.53,-32.0938879749165,NA,NA,NA,7.0694687985698
"224","Aa - Aa",31.53,32.0938879749165,NA,NA,NA,-7.0694687985698
"225","Aa",76.5,76.7508167189862,NA,NA,NA,NA
"226","Aa",0.255568333494831,0.257991253257016,NA,-0.00417074990419757,NA,NA
"227","Aa / Aa",299.332859254831,22.5992654208051,NA,NA,NA,NA
"228","Aa / Aa",0.0033407625293442,-0.000295713866157465,NA,NA,NA,NA
