trait,beta,Aa,Ad,AaAa,AaAd,AdAd
Aa,18.6,18.37648049,0.721187661,NA,-4.172644193,NA
AaAa,64,NA,NA,66.84943472,NA,NA
Aa / AaAa,NA,0.092538827,NA,-0.098335941,NA,NA
AaAa / Aa,NA,NA,NA,NA,NA,NA
Aa * AaAa,NA,3722.513869,NA,3096.019592,-2166.036514,NA
Aa + AaAa,NA,18.05415036,NA,65.82450356,NA,NA
Aa - AaAa,NA,18.37946234,NA,-67.88702395,NA,NA
AaAa - Aa,NA,-18.37946234,NA,67.88702395,NA,NA
Aa,0.335,0.356145406,NA,NA,NA,NA
AaAa,6.8,NA,NA,6.714583856,NA,NA
Aa / AaAa,NA,0.009244996,NA,-0.024267919,NA,NA
AaAa / Aa,NA,-0.807975362,NA,2.052002697,NA,NA
Aa * AaAa,NA,12.6814326,NA,19.51847461,NA,NA
Aa + AaAa,NA,NA,NA,6.576189444,NA,NA
Aa - AaAa,NA,NA,NA,-6.855809889,NA,NA
AaAa - Aa,NA,NA,NA,6.855809889,NA,NA
Aa,0.825,0.835119126,NA,NA,-0.047024037,NA
AdAd,97.7,NA,NA,NA,NA,100.790099
Aa / AdAd,NA,0.003602317,NA,NA,NA,NA
AdAd / Aa,NA,NA,NA,NA,NA,NA
Aa * AdAd,NA,185.3536244,NA,NA,NA,45.47854261
Aa + AdAd,NA,NA,NA,NA,NA,99.1635576
Aa - AdAd,NA,NA,NA,NA,NA,-100.8136803
AdAd - Aa,NA,NA,NA,NA,NA,100.8136803
Aa,1.7,1.7074938,NA,NA,NA,NA
AaAd,67.8165,NA,NA,NA,71.63026235,-2.131412701
Aa / AaAd,NA,0.045618527,NA,NA,-0.117606364,NA
AaAd / Aa,NA,NA,NA,NA,NA,NA
Aa * AaAd,NA,72.35803446,NA,NA,105.0810819,NA
Aa + AaAd,NA,1.781515703,NA,NA,71.56243611,-2.145509903
Aa - AaAd,NA,NA,NA,NA,-69.05158829,NA
AaAd - Aa,NA,NA,NA,NA,69.05158829,NA
Aa,10.685,11.59854115,NA,NA,NA,NA
AaAa,381.6,23.38559796,NA,418.779234,NA,NA
Aa / AaAa,NA,0.006391516,NA,-0.005115812,NA,NA
AaAa / Aa,NA,-12.09613383,NA,13.52616673,3.443194327,NA
Aa * AaAa,NA,20873.83338,NA,16968.48648,NA,NA
Aa + AaAa,NA,34.86051863,NA,418.4001179,NA,NA
