"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"Aa1 / Aa2",862,99,174,83,65,106
"Aa2 / Aa1",868,90,187,89,69,104
"Aa1 * Aa2",997,84,319,73,70,1
"Aa1 + Aa2",989,38,74,97,81,9
"Aa1 - Aa2",916,41,77,116,83,57
"Aa2 - Aa1",916,41,77,116,83,57
