"","a","d","aa","ad","dd","NA"
"1. / 2.",0.879310344827586,0.00862068965517241,0.324712643678161,0.899425287356322,0.341954022988506,0.00862068965517241
"2. / 1.",0.89367816091954,0.0201149425287356,0.387931034482759,0.870689655172414,0.258620689655172,0.0028735632183908
"1. * 2.",0.916666666666667,0.00862068965517241,0.218390804597701,0.885057471264368,0.238505747126437,0.0028735632183908
"1. + 2.",0.692528735632184,0.0172413793103448,0.0574712643678161,0.807471264367816,0.0804597701149425,0.0114942528735632
"1. - 2.",0.721264367816092,0.014367816091954,0.0488505747126437,0.78735632183908,0.0862068965517241,0.028735632183908
"2. - 1.",0.721264367816092,0.014367816091954,0.0488505747126437,0.78735632183908,0.0862068965517241,0.028735632183908
