"","a","d","aa","ad","dd","NA"
"1. / 2.",0.092436974789916,0.210084033613445,0.277310924369748,0.941176470588235,0.680672268907563,0.0168067226890756
"2. / 1.",0.0840336134453782,0.445378151260504,0.092436974789916,0.949579831932773,0.621848739495798,0.00840336134453781
"1. * 2.",0.0840336134453782,0.0336134453781513,0.0336134453781513,0.949579831932773,0.890756302521008,0.00840336134453781
"1. + 2.",0.0588235294117647,0.0588235294117647,0.0336134453781513,0.781512605042017,0.739495798319328,0.0168067226890756
"1. - 2.",0.0756302521008403,0.0504201680672269,0.0252100840336134,0.773109243697479,0.764705882352941,0.0252100840336134
"2. - 1.",0.0756302521008403,0.0504201680672269,0.0252100840336134,0.773109243697479,0.764705882352941,0.0252100840336134
