"trait","beta","Aa","Ad","AaAa","AaAd","AdAd"
"Aa",21.535,22.2913342380963,NA,NA,NA,NA
"Aa",2.55,2.64670500232816,NA,NA,NA,-0.0494270361598849
"Aa / Aa",NA,-11.125320313509,NA,3.16299640513544,NA,NA
"Aa / Aa",NA,0.013197943882678,NA,NA,NA,NA
"Aa * Aa",NA,491.554161933848,-36.5787871805613,NA,NA,NA
"Aa + Aa",NA,24.9343585778899,NA,NA,NA,NA
"Aa - Aa",NA,19.6494692716082,NA,NA,NA,NA
"Aa - Aa",NA,-19.6494692716082,NA,NA,NA,NA
"Aa",31.5,30.6553786382718,NA,NA,NA,NA
"Aa",4.585,4.57009386328941,NA,NA,NA,NA
"Aa / Aa",NA,-10.0403218838928,NA,4.44903825957509,2.8159159662775,NA
"Aa / Aa",NA,0.0195093408487255,NA,NA,NA,NA
"Aa * Aa",NA,983.872965122409,NA,156.990774240456,NA,NA
"Aa + Aa",NA,35.2427417744472,NA,NA,NA,NA
"Aa - Aa",NA,26.0695891121316,NA,NA,NA,NA
"Aa - Aa",NA,-26.0695891121316,NA,NA,NA,NA
"Aa",1.15,NA,NA,NA,NA,NA
"Aa",18.6,19.7760798522406,NA,NA,NA,NA
"Aa / Aa",NA,-0.426661871640574,-0.160556535281603,NA,NA,NA
"Aa / Aa",NA,0.410839410675672,NA,NA,NA,NA
"Aa * Aa",NA,946.927940194728,NA,-80.1563707415173,NA,NA
"Aa + Aa",NA,20.4379263361441,NA,-2.35964942578093,NA,NA
"Aa - Aa",NA,-18.8581948636491,NA,NA,NA,NA
"Aa - Aa",NA,18.8581948636491,NA,NA,NA,NA
"Aa",531.7,557.59236697182,NA,NA,NA,NA
"Aa",30.39286,31.1004058595968,NA,1.45205975470553,-2.6030239411822,NA
"Aa / Aa",NA,0.794453591319503,NA,NA,NA,NA
"Aa / Aa",NA,-0.00441150604995612,NA,NA,NA,NA
"Aa * Aa",NA,76282.0339251348,NA,21462.7351802112,-7867.8427777696,NA
"Aa + Aa",NA,588.488567493098,NA,NA,NA,NA
"Aa - Aa",NA,526.714639911197,NA,NA,NA,NA
"Aa - Aa",NA,-526.714639911197,NA,NA,NA,NA
"Aa",311.5,308.387639820951,NA,NA,NA,NA
"Aa",0.85,0.926477792923912,NA,NA,NA,NA
"Aa / Aa",NA,25.6530441238546,NA,NA,NA,NA
"Aa / Aa",NA,-0.025214328496564,-0.00799568615342991,NA,NA,NA
"Aa * Aa",NA,3708.80338100814,NA,NA,NA,-264.309629337
"Aa + Aa",NA,309.46527468724,NA,NA,NA,NA
"Aa - Aa",NA,307.321703068642,NA,NA,NA,NA
"Aa - Aa",NA,-307.321703068642,NA,NA,NA,NA
"Aa",1.19,1.26665131803608,NA,NA,NA,NA
"Aa",0.335,0.361788701319097,NA,NA,NA,NA
"Aa / Aa",NA,0.193779334496933,NA,NA,NA,NA
"Aa / Aa",NA,-0.0797404978494928,NA,NA,NA,NA
"Aa * Aa",NA,6.84837830167331,NA,NA,NA,NA
"Aa + Aa",NA,1.64010945990585,NA,NA,NA,NA
"Aa - Aa",NA,0.895327520820768,NA,NA,NA,NA
"Aa - Aa",NA,-0.895327520820768,NA,NA,NA,NA
"Aa",0.551,0.704964185160851,NA,NA,NA,NA
"Aa",0.8516866825,0.847241197523341,NA,NA,NA,NA
"Aa / Aa",NA,19.431389453925,NA,-125.475197481109,-252.064882155807,-115.036146294085
"Aa / Aa",NA,0.0801603257916027,NA,NA,NA,NA
"Aa * Aa",NA,8.82414752905852,NA,NA,NA,NA
"Aa + Aa",NA,1.54457001790923,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa",0.1005,0.109279853127064,NA,NA,NA,NA
"Aa",29.715,29.710663270292,NA,NA,NA,NA
"Aa / Aa",NA,-0.00802724148265139,NA,0.00203203805564743,NA,NA
"Aa / Aa",NA,15.8351100473833,NA,NA,NA,NA
"Aa * Aa",NA,54.2971619704531,NA,NA,NA,NA
"Aa + Aa",NA,29.8287490092878,NA,NA,NA,NA
"Aa - Aa",NA,-29.5923600902373,NA,NA,NA,NA
"Aa - Aa",NA,29.5923600902373,NA,NA,NA,NA
"Aa",5.65,4.61144468858193,NA,NA,NA,NA
"Aa",0.825,0.828474813985874,NA,NA,NA,NA
"Aa / Aa",NA,153.225836624629,NA,NA,NA,NA
"Aa / Aa",NA,0.0101553730754056,NA,NA,NA,NA
"Aa * Aa",NA,68.8893440241474,NA,5.23861616072795,NA,NA
"Aa + Aa",NA,5.54818914992419,NA,NA,NA,NA
"Aa - Aa",NA,3.50881026040466,NA,NA,NA,NA
"Aa - Aa",NA,-3.50881026040466,NA,NA,NA,NA
"Aa",6.52,6.72825470082241,NA,NA,NA,NA
"Aa",9.45,9.59363157201748,NA,NA,-1.41257751519286,NA
"Aa / Aa",NA,-0.711619771245536,NA,NA,NA,NA
"Aa / Aa",NA,0.125024829262643,NA,NA,-0.0403837560015985,0.015085616567859
"Aa * Aa",NA,666.050552832006,NA,NA,NA,NA
"Aa + Aa",NA,16.2710523675414,NA,NA,NA,NA
"Aa - Aa",NA,-2.73051765101995,NA,NA,NA,NA
"Aa - Aa",NA,2.73051765101995,NA,NA,NA,NA
"Aa",0.0714999999999999,NA,NA,-0.130723164602144,NA,NA
"Aa",1.65,1.56966300514262,NA,NA,NA,NA
"Aa / Aa",NA,-0.0164553363004762,NA,NA,NA,NA
"Aa / Aa",NA,0.669153566603386,NA,NA,NA,NA
"Aa * Aa",NA,3.58503271099948,NA,NA,NA,NA
"Aa + Aa",NA,1.60480359755234,NA,NA,NA,NA
"Aa - Aa",NA,-1.53094307767539,NA,NA,NA,NA
"Aa - Aa",NA,1.53094307767539,NA,NA,NA,NA
"Aa",1.85,1.6625493664123,NA,NA,NA,NA
"Aa",1.7,1.6817516674857,NA,NA,NA,NA
"Aa / Aa",NA,-8.1759690806004,NA,3.45992142645299,NA,NA
"Aa / Aa",NA,0.0688261599468567,NA,NA,NA,NA
"Aa * Aa",NA,41.1136130802083,NA,1.54386199884726,NA,NA
"Aa + Aa",NA,3.34210296306481,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa",0.8778066665,0.876639825131687,NA,NA,NA,NA
"Aa",0.125,NA,NA,NA,NA,NA
"Aa / Aa",NA,0.0708454682218746,NA,NA,NA,NA
"Aa / Aa",NA,14.4973075947587,NA,114.236524258762,89.9836090929501,156.123779371626
"Aa * Aa",NA,10.9628162808383,NA,NA,NA,NA
"Aa + Aa",NA,1.04431181648352,NA,NA,NA,NA
"Aa - Aa",NA,0.691168149914176,NA,NA,NA,NA
"Aa - Aa",NA,-0.691168149914176,NA,NA,NA,NA
"Aa",0.819,0.949671813286916,NA,NA,NA,NA
"Aa",6015,6053.29532608987,NA,NA,NA,NA
"Aa / Aa",NA,-2.46301076401897e-05,-1.04530563521055e-05,NA,NA,NA
"Aa / Aa",NA,467.072095699968,NA,-205.639554156763,NA,NA
