"","a","d","aa","ad","dd","NA"
"1. / 2.",0.12,0.37,0.57,0.12,0.06,0.12
"2. / 1.",0.1,0.39,0.57,0.11,0.08,0.13
"1. * 2.",0.11,0.03,0.98,0.07,0,0
"1. + 2.",0.07,0.02,0.97,0.06,0,0.01
"1. - 2.",0.08,0.04,0.88,0.1,0,0.08
"2. - 1.",0.08,0.04,0.88,0.1,0,0.08
