"","a","d","aa","ad","dd","NA"
"1. / 2.",0.100917431192661,0.275229357798165,0.504587155963303,0.0519877675840979,0.54434250764526,0.0519877675840979
"2. / 1.",0.0764525993883792,0.018348623853211,0.568807339449541,0.0672782874617737,0.596330275229358,0.055045871559633
"1. * 2.",0.0948012232415902,0.440366972477064,0.00917431192660551,0.100917431192661,0.853211009174312,0
"1. + 2.",0.0672782874617737,0.53822629969419,0.0122324159021407,0.0948012232415902,0.608562691131499,0.018348623853211
"1. - 2.",0.0978593272171254,0.321100917431193,0.229357798165138,0.0795107033639144,0.504587155963303,0.0611620795107034
"2. - 1.",0.0978593272171254,0.321100917431193,0.229357798165138,0.0795107033639144,0.504587155963303,0.0611620795107034
