"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0776699029126214,0.563106796116505,0.0679611650485437,0.0388349514563107,0.660194174757282,0
"2. / 1.",0.058252427184466,0.660194174757282,0.660194174757282,0.0388349514563107,0.0388349514563107,0
"1. * 2.",0.0679611650485437,0.00970873786407767,0.718446601941748,0.058252427184466,0.728155339805825,0.0194174757281553
"1. + 2.",0.0485436893203883,0.0194174757281553,0.524271844660194,0.0388349514563107,0.640776699029126,0.0388349514563107
"1. - 2.",0.0776699029126214,0.359223300970874,0.359223300970874,0.0679611650485437,0.456310679611651,0.00970873786407767
"2. - 1.",0.0776699029126214,0.359223300970874,0.359223300970874,0.0679611650485437,0.456310679611651,0.00970873786407767
