"","a","d","aa","ad","dd","NA"
"1. / 2.",0.905,0.496,0.482,0.308,0.058,0.01
"2. / 1.",0.913,0.545,0.157,0.249,0.22,0.012
"1. * 2.",0.909,0.781,0.061,0.356,0.105,0.013
"1. + 2.",0.737,0.637,0.073,0.078,0.082,0.024
"1. - 2.",0.739,0.65,0.067,0.082,0.069,0.019
"2. - 1.",0.739,0.65,0.067,0.082,0.069,0.019
