"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0755,0.7515,0.325,0.2275,0.557,0.083
"2. / 1.",0.0715,0.7615,0.252,0.218,0.5415,0.0815
"1. * 2.",0.0765,0.8435,0.2495,0.241,0.4665,0.0045
"1. + 2.",0.083,0.7655,0.2145,0.2135,0.2025,0.0145
"1. - 2.",0.0845,0.6745,0.22,0.2065,0.21,0.064
"2. - 1.",0.0845,0.6745,0.22,0.2065,0.21,0.064
