"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0484848484848485,0.524242424242424,0.481818181818182,0.36969696969697,0.806060606060606,0.0515151515151515
"2. / 1.",0.0515151515151515,0.487878787878788,0.327272727272727,0.375757575757576,0.587878787878788,0.0515151515151515
"1. * 2.",0.1,0.242424242424242,0.354545454545455,0.378787878787879,0.854545454545454,0
"1. + 2.",0.0757575757575758,0.106060606060606,0.26969696969697,0.354545454545455,0.76969696969697,0.0151515151515152
"1. - 2.",0.0666666666666667,0.148484848484848,0.266666666666667,0.33030303030303,0.724242424242424,0.0454545454545455
"2. - 1.",0.0666666666666667,0.148484848484848,0.266666666666667,0.33030303030303,0.724242424242424,0.0454545454545455
