"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"Ad1 / Ad2",105,400,481,99,90,103
"Ad2 / Ad1",103,398,464,110,84,107
"Ad1 * Ad2",74,954,27,70,291,6
"Ad1 + Ad2",109,897,67,99,67,23
"Ad1 - Ad2",117,717,110,116,101,93
"Ad2 - Ad1",117,717,110,116,101,93
