"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"Aa / Ad",717,345,333,49,47,67
"Ad / Aa",797,483,87,58,154,50
"Aa * Ad",826,651,84,95,63,24
"Aa + Ad",700,592,91,77,87,35
"Aa - Ad",698,602,85,63,79,36
"Ad - Aa",698,602,85,63,79,36
