"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.823529411764706,0.338235294117647,0.388235294117647,0.0558823529411765,0.0470588235294118,0.0323529411764706
"2. / 1.",0.673529411764706,0.102941176470588,0.632352941176471,0.0852941176470588,0.0205882352941176,0.132352941176471
"1. * 2.",0.820588235294118,0.0617647058823529,0.688235294117647,0.111764705882353,0.0117647058823529,0.0176470588235294
"1. + 2.",0.670588235294118,0.0764705882352941,0.638235294117647,0.0735294117647059,0.0323529411764706,0.0323529411764706
"1. - 2.",0.688235294117647,0.0647058823529412,0.691176470588235,0.0705882352941176,0.0411764705882353,0.0294117647058824
"2. - 1.",0.688235294117647,0.0647058823529412,0.691176470588235,0.0705882352941176,0.0411764705882353,0.0294117647058824
