cross,mean,SE,sex,environment,sire,dam
P1,,,U,1,1,1
P2,,,U,1,2,2
F1,,,U,1,1,2
BC1,,,U,1,1,3
rBC1,,,U,1,3,1
BC2,,,U,1,2,3
rBC2,,,U,1,3,2
