trait,beta,Aa,Ad,AaAa,AaAd,AdAd
Aa,21.535,21.93151837,NA,NA,NA,NA
Aa,2.55,2.629047635,NA,NA,NA,NA
Aa / Aa,NA,-10.03419368,NA,NA,NA,NA
Aa / Aa,NA,0.013125415,NA,NA,NA,NA
Aa * Aa,NA,469.9330927,NA,NA,NA,NA
Aa + Aa,NA,24.51645339,NA,NA,NA,NA
Aa - Aa,NA,19.34668813,NA,NA,NA,NA
Aa - Aa,NA,-19.34668813,NA,NA,NA,NA
