"","a","d","aa","ad","dd","NA"
"1. / 2.",0.637931034482759,0.0114942528735632,0.0201149425287356,0.646551724137931,0.0201149425287356,0.123563218390805
"2. / 1.",0.617816091954023,0.0373563218390805,0.0344827586206897,0.543103448275862,0.0172413793103448,0.109195402298851
"1. * 2.",0.772988505747126,0.0114942528735632,0.0316091954022989,0.75,0.0229885057471264,0.00862068965517241
"1. + 2.",0.669540229885057,0.0114942528735632,0.0488505747126437,0.71551724137931,0.0459770114942529,0.00574712643678161
"1. - 2.",0.672413793103448,0.0258620689655172,0.0402298850574713,0.718390804597701,0.0603448275862069,0.0459770114942529
"2. - 1.",0.672413793103448,0.0258620689655172,0.0402298850574713,0.718390804597701,0.0603448275862069,0.0459770114942529
