"","a","d","aa","ad","dd","NA"
"1. / 2.",0.717,0.345,0.333,0.049,0.047,0.067
"2. / 1.",0.797,0.483,0.087,0.058,0.154,0.05
"1. * 2.",0.826,0.651,0.084,0.095,0.063,0.024
"1. + 2.",0.7,0.592,0.091,0.077,0.087,0.035
"1. - 2.",0.698,0.602,0.085,0.063,0.079,0.036
"2. - 1.",0.698,0.602,0.085,0.063,0.079,0.036
