"","a","d","aa","ad","dd","NA"
"1. / 2.",0.076,0.435,0.4035,0.2105,0.1565,0.0825
"2. / 1.",0.081,0.28,0.5525,0.2135,0.145,0.0765
"1. * 2.",0.074,0.726,0.107,0.208,0.3145,0.025
"1. + 2.",0.094,0.678,0.1385,0.198,0.1715,0.03
"1. - 2.",0.097,0.575,0.218,0.2,0.147,0.069
"2. - 1.",0.097,0.575,0.218,0.2,0.147,0.069
