"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0742857142857143,0.262857142857143,0.234285714285714,0.797142857142857,0.234285714285714,0.06
"2. / 1.",0.0628571428571429,0.117142857142857,0.251428571428571,0.78,0.262857142857143,0.111428571428571
"1. * 2.",0.0571428571428571,0.0742857142857143,0.297142857142857,0.9,0.314285714285714,0.0228571428571429
"1. + 2.",0.08,0.0457142857142857,0.245714285714286,0.765714285714286,0.26,0.0314285714285714
"1. - 2.",0.0828571428571429,0.0314285714285714,0.257142857142857,0.734285714285714,0.271428571428571,0.0514285714285714
"2. - 1.",0.0828571428571429,0.0314285714285714,0.257142857142857,0.734285714285714,0.271428571428571,0.0514285714285714
