"","a","d","aa","ad","dd","NA"
"1. / 2.",0.053125,0.334375,0.546875,0.334375,0.090625,0.05625
"2. / 1.",0.05625,0.39375,0.3875,0.38125,0.21875,0.0375
"1. * 2.",0.04375,0.03125,0.815625,0.35,0.203125,0.01875
"1. + 2.",0.090625,0.04375,0.74375,0.275,0.178125,0.04375
"1. - 2.",0.075,0.146875,0.653125,0.271875,0.11875,0.046875
"2. - 1.",0.075,0.146875,0.653125,0.271875,0.11875,0.046875
