"first element","second element","1/2","2/1","1*2","1+2","1-2","2-1","total"
"a","a",0.12,0.11,0,0.01,0.09,0.09,6000
"a","d",0.55,0.52,0.28,0.57,0.56,0.56,6000
"d","d",0.54,0.55,0.03,0.07,0.25,0.25,6000
"a","aa",0.44,0.23,0.22,0.54,0.53,0.53,2040
"a","ad",0.21,0.23,0.2,0.49,0.46,0.46,2088
"a","dd",0.47,0.29,0.2,0.52,0.55,0.55,1872
"d","aa",0.84,0.94,0.95,0.99,0.83,0.83,1956
"d","ad",0.63,0.57,0.26,0.56,0.6,0.6,2082
"d","dd",0.95,1,0.7,0.82,1,1,1962
"aa","aa",0.43,0.43,0.02,0.03,0.12,0.12,600
"aa","ad",0.34,0.34,0.17,0.5,0.51,0.51,714
"aa","dd",0.99,0.99,0.53,0.66,1,1,606
"ad","aa",0.34,0.33,0.18,0.47,0.47,0.47,696
"ad","ad",0.19,0.2,0,0.01,0.12,0.12,702
"ad","dd",0.43,0.35,0.15,0.56,0.56,0.56,702
"dd","aa",0.99,1,0.52,0.78,1,1,618
"dd","ad",0.36,0.4,0.15,0.45,0.43,0.43,714
"dd","dd",0.42,0.41,0,0.02,0.17,0.17,648
