,(sire x dam),M,Aa,Ad,AaAa,AaAd,AdAd
1,P1,1,1,0,1,0,0
2,P2,1,-1,0,1,0,0
3,F1,1,0,1,0,0,1
4,rF1,1,0,1,0,0,1
5,BC1,1,0.5,0.5,0.25,0.25,0.25
6,rBC1,1,0.5,0.5,0.25,0.25,0.25
7,BC2,1,-0.5,0.5,0.25,-0.25,0.25
8,rBC2,1,-0.5,0.5,0.25,-0.25,0.25
