,(sire x dam),M,Aa,Ad,AaAa,AaAd,AdAd
1,P1,1,1,0,1,0,0
2,P2,1,-1,0,1,0,0
3,F1,1,0,1,0,0,1
4,rF1,1,0,1,0,0,1
5,F2a,1,0,0.5,0,0,0.25
6,F2b,1,0,0.5,0,0,0.25
7,rF2b,1,0,0.5,0,0,0.25
8,BC1a,1,0.5,0.5,0.25,0.25,0.25
9,rBC1a,1,0.5,0.5,0.25,0.25,0.25
10,BC1b,1,0.5,0.5,0.25,0.25,0.25
11,rBC1b,1,0.5,0.5,0.25,0.25,0.25
12,BC2a,1,-0.5,0.5,0.25,-0.25,0.25
13,rBC2a,1,-0.5,0.5,0.25,-0.25,0.25
14,BC2b,1,-0.5,0.5,0.25,-0.25,0.25
15,rBC2b,1,-0.5,0.5,0.25,-0.25,0.25
