"trait","beta","Aa","Ad","AaAa","AaAd","AdAd"
"Aa",21.535,23.9334265267514,NA,NA,NA,NA
"Aa",2.55,2.62830709891427,NA,NA,NA,NA
"Aa / Aa",NA,-11.2080979698383,NA,4.00477012897077,4.95350965808225,NA
"Aa / Aa",NA,0.0131670119287728,NA,-0.00118387555667491,-0.00424566240889966,NA
"Aa * Aa",NA,490.25538969497,NA,NA,NA,NA
"Aa + Aa",NA,26.5497759076321,NA,NA,NA,NA
"Aa - Aa",NA,21.3099211372311,NA,NA,NA,NA
"Aa - Aa",NA,-21.3099211372311,NA,NA,NA,NA
"Aa",31.5,29.655724949857,NA,NA,NA,NA
"Aa",4.585,4.54412202255871,NA,NA,NA,NA
"Aa / Aa",NA,-10.4867086855047,NA,5.15300051584979,3.40893925824742,NA
"Aa / Aa",NA,0.0197499577877025,NA,NA,NA,NA
"Aa * Aa",NA,952.990269377904,NA,75.892373686528,NA,NA
"Aa + Aa",NA,34.2295504209436,NA,NA,NA,NA
"Aa - Aa",NA,25.0775350738596,NA,NA,NA,NA
"Aa - Aa",NA,-25.0775350738596,NA,NA,NA,NA
"Aa",1.15,1.13249594381247,NA,NA,NA,NA
"Aa",18.6,19.2842201281942,NA,NA,NA,NA
"Aa / Aa",NA,-0.445208078051993,NA,0.200150844405461,0.205821618352239,NA
"Aa / Aa",NA,0.395808997900445,NA,NA,NA,NA
"Aa * Aa",NA,958.971451308959,NA,NA,NA,NA
"Aa + Aa",NA,20.5594979121881,NA,-1.49817244955098,NA,NA
"Aa - Aa",NA,-17.9980355529868,NA,NA,NA,NA
"Aa - Aa",NA,17.9980355529868,NA,NA,NA,NA
"Aa",531.7,557.342834283016,NA,23.8089534167617,NA,NA
"Aa",30.39286,30.7939720608617,NA,NA,NA,NA
"Aa / Aa",NA,0.65799335621304,NA,NA,NA,NA
"Aa / Aa",NA,-0.00355991905680461,NA,NA,NA,NA
"Aa * Aa",NA,75636.7362439036,NA,20765.8568239158,NA,NA
"Aa + Aa",NA,588.348987213917,NA,24.7307917415491,NA,NA
"Aa - Aa",NA,526.317830551789,NA,22.8476446300786,NA,NA
"Aa - Aa",NA,-526.317830551789,NA,-22.8476446300786,NA,NA
"Aa",311.5,313.532486981429,NA,NA,NA,NA
"Aa",0.85,0.977382406122563,NA,-0.415128508238257,NA,NA
"Aa / Aa",NA,26.1375451071865,7.87514895613426,NA,NA,NA
"Aa / Aa",NA,-0.0562616769152087,-0.0972103678940003,0.011914261731584,0.0686643046384242,0.0622745769245044
