"trait","beta","Aa","Ad","AaAa","AaAd","AdAd"
"Aa * Aa",NA,3737.55751614462,NA,NA,NA,NA
"Aa + Aa",NA,314.496296923549,NA,NA,NA,NA
"Aa - Aa",NA,312.567951122013,NA,NA,NA,NA
"Aa - Aa",NA,-312.567951122013,NA,NA,NA,NA
"Aa",1.19,1.25817738432919,NA,NA,NA,NA
"Aa",0.335,0.304834169673853,NA,NA,NA,NA
"Aa / Aa",NA,0.214208674600463,NA,NA,NA,NA
"Aa / Aa",NA,-0.0902264136647622,NA,NA,NA,NA
"Aa * Aa",NA,6.39711683700186,NA,NA,NA,NA
"Aa + Aa",NA,1.56651531652815,NA,NA,NA,NA
"Aa - Aa",NA,0.953737368263454,NA,NA,NA,NA
"Aa - Aa",NA,-0.953737368263454,NA,NA,NA,NA
"Aa",0.551,0.608438343405938,NA,NA,NA,NA
"Aa",0.8516866825,0.849763866994344,NA,NA,NA,NA
"Aa / Aa",NA,19.4313894539253,656.682013919386,188.533228211402,-260.28521376324,-436.83163214691
"Aa / Aa",NA,0.0810104307890314,NA,-0.00465033638044743,NA,NA
"Aa * Aa",NA,9.00498224863119,NA,0.664803163266157,NA,NA
"Aa + Aa",NA,1.45789024985601,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa",0.1005,0.120985285429747,-0.13575677705893,NA,NA,0.153244614394367
"Aa",29.715,30.1334708096915,NA,NA,NA,NA
"Aa / Aa",NA,-0.00855891467996422,NA,0.00442832178599023,NA,NA
"Aa / Aa",NA,15.8029124506249,NA,NA,NA,-6.8258933163022
"Aa * Aa",NA,55.2339414762534,NA,4.80019982740435,NA,NA
"Aa + Aa",NA,30.2485956079075,NA,NA,NA,NA
"Aa - Aa",NA,-30.0180176397289,NA,NA,NA,NA
"Aa - Aa",NA,30.0180176397289,NA,NA,NA,NA
"Aa",5.65,6.14783495359148,NA,NA,NA,NA
"Aa",0.825,0.824249084104252,NA,NA,NA,NA
"Aa / Aa",NA,153.371018732752,3773.58418868042,1016.64293487485,-1571.80647039428,-2507.07297485433
"Aa / Aa",NA,0.00976368830455296,NA,-0.000917417907835117,NA,NA
"Aa * Aa",NA,69.8456390347228,NA,5.72096585153735,NA,NA
"Aa + Aa",NA,6.97308410262566,NA,NA,NA,NA
"Aa - Aa",NA,5.32255381759301,NA,NA,NA,NA
"Aa - Aa",NA,-5.32255381759301,NA,NA,NA,NA
"Aa",6.52,6.2832402072193,NA,NA,NA,NA
"Aa",9.45,9.58224276025501,NA,NA,NA,NA
"Aa / Aa",NA,-0.724702488561969,-0.400212397988563,NA,NA,NA
"Aa / Aa",NA,0.127494619714548,0.042864863114684,NA,NA,NA
"Aa * Aa",NA,644.15610266593,NA,NA,NA,NA
"Aa + Aa",NA,15.8468057990084,NA,NA,NA,NA
"Aa - Aa",NA,-3.23108762791499,NA,NA,NA,NA
"Aa - Aa",NA,3.23108762791499,NA,NA,NA,NA
"Aa",0.0714999999999999,0.0603511374235709,NA,-0.0638234219371205,0.244377080898586,NA
"Aa",1.65,1.50845441848636,NA,NA,NA,NA
"Aa / Aa",NA,-0.0131919213819495,NA,NA,NA,NA
"Aa / Aa",NA,0.53866437768519,NA,NA,NA,NA
"Aa * Aa",NA,4.13050863523099,NA,NA,NA,NA
"Aa + Aa",NA,1.5975181476565,NA,NA,NA,NA
"Aa - Aa",NA,-1.42878400760628,NA,NA,NA,NA
"Aa - Aa",NA,1.42878400760628,NA,NA,NA,NA
"Aa",1.85,1.74969495741527,NA,NA,NA,NA
"Aa",1.7,1.69094220361188,NA,NA,NA,NA
"Aa / Aa",NA,-10.6990962336711,NA,5.16748260508431,7.06581601192612,NA
"Aa / Aa",NA,0.0687584957691784,NA,NA,NA,NA
"Aa * Aa",NA,41.2505660185251,NA,NA,NA,NA
"Aa + Aa",NA,3.44693013598592,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa",0.8778066665,0.876406112259354,NA,NA,NA,NA
"Aa",0.125,NA,NA,NA,NA,NA
"Aa / Aa",NA,0.0709163790191522,NA,NA,NA,NA
"Aa / Aa",NA,14.4973075947585,-1235.64153219503,-543.899321069866,90.6219260110673,817.403976463755
"Aa * Aa",NA,10.9149660652539,NA,NA,NA,NA
"Aa + Aa",NA,0.816032981289041,NA,NA,NA,NA
"Aa - Aa",NA,0.936139784979643,NA,NA,NA,NA
"Aa - Aa",NA,-0.936139784979643,NA,NA,NA,NA
"Aa",0.819,0.9342180126221,NA,NA,NA,NA
"Aa",6015,5986.77452183153,NA,NA,NA,NA
"Aa / Aa",NA,-2.42343164391991e-05,NA,NA,NA,NA
"Aa / Aa",NA,482.06352641355,NA,NA,NA,NA
"Aa * Aa",NA,33998.0972300886,NA,7166.20303019033,-5141.12167118041,NA
"Aa + Aa",NA,5987.70865670355,NA,NA,NA,NA
"Aa - Aa",NA,-5985.84040317348,NA,NA,NA,NA
"Aa - Aa",NA,5985.84040317348,NA,NA,NA,NA
"Aa",16.465,15.2843640991252,NA,NA,NA,NA
"Aa",10.685,11.9951834208694,NA,NA,NA,NA
"Aa / Aa",NA,-0.133378092160882,NA,NA,NA,NA
"Aa / Aa",NA,0.0411296474246158,NA,NA,NA,NA
"Aa * Aa",NA,1514.21660220188,-229.938192248211,NA,NA,NA
"Aa + Aa",NA,27.4154750919618,NA,NA,NA,NA
"Aa - Aa",NA,3.35891388745908,NA,NA,NA,NA
"Aa - Aa",NA,-3.35891388745908,NA,NA,NA,NA
"Aa",1.315,1.32409542758609,NA,NA,0.0661492434149638,NA
"Aa",2.435,2.57630159352217,NA,NA,NA,NA
"Aa / Aa",NA,0.0741029302199888,NA,-0.0101159016268585,NA,NA
"Aa / Aa",NA,-12.4066698530242,NA,9.45650322221244,NA,NA
"Aa * Aa",NA,23.720988387299,NA,3.63179381919984,NA,NA
"Aa + Aa",NA,3.89586212952568,NA,NA,NA,NA
"Aa - Aa",NA,-1.25870359194146,NA,NA,NA,NA
"Aa - Aa",NA,1.25870359194146,NA,NA,NA,NA
"Aa",2.45,2.60919664640917,-3.70098628956942,NA,NA,NA
"Aa",10.685,10.2843164156471,NA,NA,NA,NA
"Aa / Aa",NA,-0.237257086221692,-0.293481769495092,NA,NA,NA
"Aa / Aa",NA,0.179262258078228,0.209106282565124,NA,NA,NA
"Aa * Aa",NA,580.667614040077,NA,NA,NA,NA
"Aa + Aa",NA,12.9534270265438,NA,NA,NA,NA
"Aa - Aa",NA,-8.00280698836982,-8.31639307941937,NA,NA,NA
"Aa - Aa",NA,8.00280698836982,8.31639307941937,NA,NA,NA
"Aa",27.75,28.1262600030391,NA,NA,-10.7680635809966,NA
"Aa",1.2557302385,1.26039998972578,NA,NA,NA,NA
"Aa / Aa",NA,226.852292330146,-3694.54818474018,-904.207085994106,-1635.21211287346,2464.37375840502
"Aa / Aa",NA,0.0125244252205751,NA,-0.00286605693231867,-0.000837402776054054,NA
"Aa * Aa",NA,131.146723086041,NA,32.311727552248,NA,NA
"Aa + Aa",NA,29.3880234482515,NA,NA,-10.7800352551377,NA
"Aa - Aa",NA,26.8645404502772,NA,NA,-10.756016501078,NA
"Aa - Aa",NA,-26.8645404502772,NA,NA,10.756016501078,NA
"Aa",1.85,1.8490941360108,NA,1.28074472727436,NA,2.65801431793479
"Aa",32.5,34.8887852285427,NA,NA,NA,NA
"Aa / Aa",NA,-0.0398277451472394,NA,NA,NA,NA
"Aa / Aa",NA,0.9840773315547,NA,NA,NA,NA
"Aa * Aa",NA,1167.38969146503,NA,374.391807895777,NA,NA
"Aa + Aa",NA,36.4998445289406,NA,NA,NA,NA
"Aa - Aa",NA,-33.2282028509023,NA,NA,NA,NA
"Aa - Aa",NA,33.2282028509023,NA,NA,NA,NA
"Aa",136.9,128.81888068921,NA,NA,NA,NA
"Aa",0.64,0.634820722740435,NA,NA,NA,NA
"Aa / Aa",NA,16.8847527838103,NA,NA,NA,NA
"Aa / Aa",NA,-0.00137518776224205,NA,NA,NA,NA
"Aa * Aa",NA,684.647028822693,NA,NA,NA,NA
"Aa + Aa",NA,129.458915923621,NA,NA,NA,NA
"Aa - Aa",NA,128.179000074244,NA,NA,NA,NA
"Aa - Aa",NA,-128.179000074244,NA,NA,NA,NA
"Aa",0.2905,NA,NA,NA,NA,NA
"Aa",12.465,11.970948483861,NA,NA,NA,NA
"Aa / Aa",NA,-0.0418283351299116,NA,NA,NA,NA
"Aa / Aa",NA,0.584012147217797,NA,NA,NA,NA
"Aa * Aa",NA,246.550749951806,NA,NA,NA,NA
"Aa + Aa",NA,12.0711178882676,NA,NA,NA,-2.40163928133325
"Aa - Aa",NA,-11.8723863848856,NA,NA,NA,NA
"Aa - Aa",NA,11.8723863848856,NA,NA,NA,NA
"Aa",3.6875,3.66886917521427,NA,NA,NA,NA
"Aa",59.15,58.2176770435013,9.14268626544662,3.46106445928478,2.52082370562054,-6.32408378192847
"Aa / Aa",NA,0.0914543797478817,NA,NA,-0.654392947387536,NA
"Aa / Aa",NA,12.0296515930286,10.4043716819331,-4.81320260516888,-8.8720831901751,-6.86401375871315
"Aa * Aa",NA,448.412791964433,38.1706825584067,234.004461594319,NA,-30.4404091331423
"Aa + Aa",NA,61.8568920054651,9.8930447805779,3.9768319525462,2.52270177370121,-6.90619970689283
"Aa - Aa",NA,-54.5872106927285,NA,NA,-2.52677232447505,NA
"Aa - Aa",NA,54.5872106927285,NA,NA,2.52677232447505,NA
"Aa",7.05,7.34577535479662,3.53684795845234,2.94629423610357,NA,NA
"Aa",0.89285714,0.896779382311584,0.286371507257517,NA,NA,-0.259388730407998
"Aa / Aa",NA,-1.37314324447513,NA,1.24987933393444,NA,1.45482100262939
"Aa / Aa",NA,0.00874796271158199,NA,-0.00662150713006296,NA,-0.0126141239027
"Aa * Aa",NA,49.3080465783668,31.9837708937333,19.2986645631129,NA,-17.5830030650924
"Aa + Aa",NA,8.25846558560274,3.7609886023502,2.94264991613274,-1.01111163079586,NA
"Aa - Aa",NA,6.42331217097772,3.18258022949729,2.90231097876101,NA,NA
"Aa - Aa",NA,-6.42331217097772,-3.18258022949729,-2.90231097876101,NA,NA
"Aa",12.5,11.1033110037716,NA,NA,NA,NA
"Aa",0.17,0.1704964636363,NA,NA,NA,NA
"Aa / Aa",NA,-51.1257806141032,NA,17.9950660088028,NA,NA
"Aa / Aa",NA,0.000921361581692439,NA,-0.00017636769025715,NA,NA
"Aa * Aa",NA,28.2297420402853,NA,NA,NA,NA
"Aa + Aa",NA,11.2706209100862,NA,NA,NA,NA
"Aa - Aa",NA,10.9360336513035,NA,NA,NA,NA
"Aa - Aa",NA,-10.9360336513035,NA,NA,NA,NA
"Aa",29.8,29.5475022717966,NA,NA,NA,NA
"Aa",20.36,20.2543853885277,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa / Aa",NA,-0.0270119048529677,NA,NA,NA,NA
"Aa * Aa",NA,2838.99717539198,NA,480.412870360664,NA,NA
"Aa + Aa",NA,49.8197668921383,NA,NA,NA,-4.81904581858613
"Aa - Aa",NA,9.42966884222992,NA,NA,NA,NA
"Aa - Aa",NA,-9.42966884222992,NA,NA,NA,NA
"Aa",4.95,5.14290323446147,NA,NA,NA,NA
"Aa",1.625,1.61691110510096,NA,NA,NA,NA
"Aa / Aa",NA,-1.32125680022601,NA,0.605345046927921,NA,NA
"Aa / Aa",NA,0.0358255105507554,NA,NA,NA,NA
"Aa * Aa",NA,50.9647413058095,-9.13044515219864,NA,NA,NA
"Aa + Aa",NA,6.78930814453949,NA,NA,NA,NA
"Aa - Aa",NA,3.49754288588876,NA,NA,NA,NA
"Aa - Aa",NA,-3.49754288588876,NA,NA,NA,NA
"Aa",1.65,1.58033971446856,NA,NA,NA,NA
"Aa",8.65,8.53483315097981,NA,NA,NA,NA
"Aa / Aa",NA,4.23656773793845,135.206798813349,38.4996507675541,-53.6301403021122,-90.059521770917
"Aa / Aa",NA,0.379818073472439,NA,-0.0166026385962627,NA,NA
"Aa * Aa",NA,195.227288448155,NA,16.0163823026633,NA,NA
"Aa + Aa",NA,10.1004132037812,NA,NA,NA,NA
"Aa - Aa",NA,-6.92124457160772,NA,NA,NA,NA
"Aa - Aa",NA,6.92124457160772,NA,NA,NA,NA
"Aa",2.6,2.64988530035112,NA,NA,NA,NA
"Aa",34.13,33.4259544229745,NA,NA,NA,NA
"Aa / Aa",NA,0.00464999916451756,NA,NA,NA,NA
"Aa / Aa",NA,-1.63339301516365,NA,NA,NA,NA
"Aa * Aa",NA,600.426683657466,NA,45.1155440924775,NA,NA
"Aa + Aa",NA,36.0830179163951,NA,NA,NA,NA
"Aa - Aa",NA,-30.7698532335351,NA,NA,NA,NA
"Aa - Aa",NA,30.7698532335351,NA,NA,NA,NA
"Aa",76.5,76.905378208887,NA,NA,NA,NA
"Aa",0.255568333494831,0.256902309130602,NA,NA,NA,NA
"Aa / Aa",NA,25.7470698737899,-934.14157674864,-372.850956429091,204.225925396208,618.42816342476
"Aa / Aa",NA,-0.000317781874432249,0.0203179579424449,0.00733561320728211,-0.00593003310866646,-0.013524267312896
"Aa * Aa",NA,15.7555832691716,NA,19.6915637137677,NA,NA
"Aa + Aa",NA,77.1632702711741,NA,NA,NA,NA
"Aa - Aa",NA,76.6474871156561,NA,NA,NA,NA
"Aa - Aa",NA,-76.6474871156561,NA,NA,NA,NA
"Aa",0.036,NA,0.730178795251448,0.249141224781814,NA,-0.459956179204072
"Aa",1.545,1.33842270622285,NA,NA,NA,NA
"Aa / Aa",NA,-0.0431932040241667,NA,NA,NA,NA
"Aa / Aa",NA,0.636827170221584,NA,NA,NA,NA
"Aa * Aa",NA,2.92630455963599,NA,NA,NA,NA
"Aa + Aa",NA,1.36773269156479,NA,NA,NA,-0.279104060304329
"Aa - Aa",NA,-1.3195019273362,NA,NA,NA,NA
"Aa - Aa",NA,1.3195019273362,NA,NA,NA,NA
"Aa",0.0446238478374901,0.0447972000151852,NA,NA,NA,NA
"Aa",17.857145,17.8519729462695,NA,NA,NA,NA
"Aa / Aa",NA,0.00139285508413652,0.000797190725561297,-0.000713890271451836,-0.00110827699494459,-0.000492312776117621
"Aa / Aa",NA,1232.64434726626,6357.91120373142,721.317240130685,-3622.67114640408,-4269.00515108019
"Aa * Aa",NA,1.83425000794877,NA,0.802956346969231,NA,NA
"Aa + Aa",NA,17.8971422818092,NA,NA,NA,NA
"Aa - Aa",NA,-17.8068030793534,NA,NA,NA,NA
"Aa - Aa",NA,17.8068030793534,NA,NA,NA,NA
"Aa",76.5,77.6592981863751,NA,NA,-1.49134839291946,NA
"Aa",2.15,2.18029945428341,NA,NA,NA,NA
"Aa / Aa",NA,-60.8308357504019,-308.57426847931,-33.3397898884673,179.038510807849,206.611384070164
"Aa / Aa",NA,0.0130536146822693,NA,-0.034066960896604,-0.0401152434237094,NA
"Aa * Aa",NA,219.45927884981,NA,167.191505479255,NA,NA
"Aa + Aa",NA,79.8526091974675,NA,NA,-1.56228280006938,NA
"Aa - Aa",NA,75.4640451575556,NA,NA,-1.406964807932,NA
"Aa - Aa",NA,-75.4640451575556,NA,NA,1.406964807932,NA
"Aa",44.81,45.6502163003891,NA,NA,NA,NA
"Aa",35.515,34.1872069357422,NA,NA,NA,NA
"Aa / Aa",NA,0.0965585916892235,0.0712166502498728,NA,NA,NA
"Aa / Aa",NA,-0.165576441333408,-0.135340609057821,NA,NA,NA
"Aa * Aa",NA,13384.1995523191,NA,NA,NA,NA
"Aa + Aa",NA,79.0462816021817,NA,NA,NA,NA
"Aa - Aa",NA,11.3076186662826,NA,NA,NA,NA
"Aa - Aa",NA,-11.3076186662826,NA,NA,NA,NA
"Aa",20.36,20.1008292835623,NA,NA,NA,NA
"Aa",26.5,25.8225975272446,NA,2.53897095587055,NA,NA
"Aa / Aa",NA,NA,NA,-0.0358715428903416,NA,NA
"Aa / Aa",NA,NA,NA,0.113509147870576,NA,NA
"Aa * Aa",NA,2582.27762983569,NA,622.408563845969,NA,NA
"Aa + Aa",NA,45.844684512128,NA,NA,NA,NA
"Aa - Aa",NA,-5.88679437131402,NA,-3.39283544506344,NA,NA
"Aa - Aa",NA,5.88679437131402,NA,3.39283544506344,NA,NA
"Aa",4095.5,4284.52776294403,NA,NA,NA,NA
"Aa",4.585,4.77582575841712,NA,NA,NA,NA
"Aa / Aa",NA,-759.052292555726,NA,481.710342790181,455.258862668297,NA
"Aa / Aa",NA,0.000165916888436391,NA,-4.88617343179523e-05,NA,NA
"Aa * Aa",NA,102078.353230631,NA,21728.9243539035,NA,NA
"Aa + Aa",NA,4289.2531438951,NA,NA,NA,NA
"Aa - Aa",NA,4279.80241272489,NA,NA,NA,NA
"Aa - Aa",NA,-4279.80241272489,NA,NA,NA,NA
"Aa",8.825,4.96852069265553,NA,NA,NA,NA
"Aa",14.1,14.1197444177131,NA,NA,NA,NA
"Aa / Aa",NA,21.8971369356976,NA,-54.9588141674529,-61.3707807370192,NA
"Aa / Aa",NA,0.0601672967008701,NA,NA,NA,NA
"Aa * Aa",NA,3329.11685450847,NA,NA,NA,NA
"Aa + Aa",NA,21.293614317314,NA,NA,NA,NA
"Aa - Aa",NA,-5.09853427825678,NA,NA,NA,NA
"Aa - Aa",NA,5.09853427825678,NA,NA,NA,NA
"Aa",30.415,30.2233369986083,NA,NA,NA,NA
"Aa",166.9,167.694743622042,NA,NA,NA,NA
"Aa / Aa",NA,0.0134505427738504,NA,NA,NA,NA
"Aa / Aa",NA,-7.74686099918722,NA,NA,NA,NA
"Aa * Aa",NA,63773.5011257385,NA,NA,NA,NA
"Aa + Aa",NA,197.739009367982,NA,NA,NA,NA
"Aa - Aa",NA,-137.657222849557,NA,NA,NA,NA
"Aa - Aa",NA,137.657222849557,NA,NA,NA,NA
"Aa",0.0425,0.0324983066010216,NA,NA,NA,NA
"Aa",9.95,9.8172223857517,NA,NA,NA,NA
"Aa / Aa",NA,-0.0120251370435715,NA,0.00308233397702334,0.0035483749477579,NA
"Aa / Aa",NA,13.1549082812271,NA,NA,NA,NA
"Aa * Aa",NA,7.27591382860277,NA,NA,NA,NA
"Aa + Aa",NA,9.85131065855299,NA,NA,NA,NA
"Aa - Aa",NA,-9.78304367064759,NA,NA,NA,NA
"Aa - Aa",NA,9.78304367064759,NA,NA,NA,NA
"Aa",0.6855,0.407703082805792,NA,NA,0.994251112443419,NA
"Aa",87.5,86.8901512455022,NA,NA,NA,NA
"Aa / Aa",NA,-0.13522052967857,NA,0.110295793861871,NA,NA
"Aa / Aa",NA,8.43713127853312,NA,NA,NA,NA
"Aa * Aa",NA,887.5495244443,NA,NA,NA,NA
"Aa + Aa",NA,87.5023533057384,NA,NA,NA,NA
"Aa - Aa",NA,-86.2370906227369,NA,NA,NA,NA
"Aa - Aa",NA,86.2370906227369,NA,NA,NA,NA
"Aa",5.6,3.92145168227671,NA,0.975368777996457,4.78439010003759,NA
"Aa",0.365142715065176,0.367695970016375,NA,NA,NA,NA
"Aa / Aa",NA,-59.6586843851081,NA,36.3033144928371,30.8763863448813,NA
"Aa / Aa",NA,0.00548514731572755,NA,-0.000953860591187668,NA,NA
"Aa * Aa",NA,24.0679127658516,NA,2.09709618738788,NA,NA
"Aa + Aa",NA,4.28556867743014,NA,0.964430778947137,4.80253027013672,NA
"Aa - Aa",NA,3.557318042013,NA,0.986173384999045,4.76619958505554,NA
"Aa - Aa",NA,-3.557318042013,NA,-0.986173384999045,-4.76619958505554,NA
"Aa",213.005,219.533176760373,NA,NA,-29.1378587395833,NA
"Aa",6.01,5.89267371220393,NA,NA,NA,NA
"Aa / Aa",NA,5.24783007196789,NA,-1.35564912888696,-3.18568330521044,NA
"Aa / Aa",NA,-0.0149561599397419,NA,0.00601061470406254,0.011538524813989,NA
"Aa * Aa",NA,6724.05243855721,NA,813.862458886654,NA,NA
"Aa + Aa",NA,224.958356723996,NA,NA,-26.7599617872962,NA
"Aa - Aa",NA,214.11830151972,NA,NA,-31.5199120236729,NA
"Aa - Aa",NA,-214.11830151972,NA,NA,31.5199120236729,NA
"Aa",3.08335,3.21718550206111,NA,NA,NA,NA
"Aa",0.092,0.0936957730978422,NA,NA,NA,NA
"Aa / Aa",NA,3.13129572052545,NA,NA,NA,NA
"Aa / Aa",NA,-0.122857377884073,NA,0.0590620417804075,NA,NA
"Aa * Aa",NA,3.25008661345396,NA,0.536772538774239,NA,NA
"Aa + Aa",NA,3.30939846723546,NA,NA,NA,NA
"Aa - Aa",NA,3.12505794755335,NA,NA,NA,NA
"Aa - Aa",NA,-3.12505794755335,NA,NA,NA,NA
"Aa",133.875,140.847805868939,NA,NA,NA,NA
"Aa",0.3335,0.340444844925162,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa * Aa",NA,1067.35127923298,NA,NA,NA,NA
"Aa + Aa",NA,141.153934068392,NA,NA,NA,NA
"Aa - Aa",NA,140.5417061731,NA,NA,NA,NA
"Aa - Aa",NA,-140.5417061731,NA,NA,NA,NA
"Aa",1.885,1.02153030536571,NA,NA,NA,NA
"Aa",10.05,9.62675434699791,NA,NA,NA,NA
"Aa / Aa",NA,-0.148483701764331,NA,NA,NA,NA
"Aa / Aa",NA,0.19617715981185,NA,NA,NA,NA
"Aa * Aa",NA,487.937698546358,NA,NA,NA,95.4117185962668
"Aa + Aa",NA,11.0748964356296,NA,NA,NA,2.15775116748432
"Aa - Aa",NA,-8.53648829074916,NA,NA,NA,NA
"Aa - Aa",NA,8.53648829074916,NA,NA,NA,NA
"Aa",16.465,15.2169135557165,NA,NA,NA,NA
"Aa",0.0189999999999999,NA,NA,NA,NA,NA
"Aa / Aa",NA,7.38298865772163,NA,NA,NA,NA
"Aa / Aa",NA,-0.00535763104284743,NA,NA,NA,NA
"Aa * Aa",NA,31.3320942666886,NA,NA,NA,NA
"Aa + Aa",NA,15.2516151079215,NA,NA,NA,NA
"Aa - Aa",NA,15.1822783359576,NA,NA,NA,NA
"Aa - Aa",NA,-15.1822783359576,NA,NA,NA,NA
"Aa",4.8,5.07348498335134,NA,NA,NA,NA
"Aa",5.46,5.6291042905182,4.43791489430281,3.59793316395277,NA,NA
"Aa / Aa",NA,-0.107206200200254,NA,NA,NA,NA
"Aa / Aa",NA,0.0209135705590749,NA,NA,NA,NA
"Aa * Aa",NA,1137.75765985488,NA,NA,NA,NA
"Aa + Aa",NA,10.2753938277165,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,NA
"Aa",1.72,1.76394535841275,NA,NA,NA,0.224881187452031
"Aa",0.285,0.279033736233575,NA,NA,NA,0.0552128567978138
"Aa / Aa",NA,0.649579702354768,NA,NA,NA,NA
"Aa / Aa",NA,-0.154550048345348,NA,0.0585935710094655,0.0463178174603684,NA
"Aa * Aa",NA,4.13861018385438,-1.70456331784724,NA,NA,1.81632954487002
"Aa + Aa",NA,2.0590358117973,NA,NA,NA,0.405881953602616
"Aa - Aa",NA,1.47748991791134,NA,NA,NA,NA
"Aa - Aa",NA,-1.47748991791134,NA,NA,NA,NA
"Aa",2.07,2.18041760258888,NA,NA,NA,NA
"Aa",18.6,19.3417305316691,NA,NA,NA,NA
"Aa / Aa",NA,-0.0284768782458656,-0.0996981564088238,-0.0338165293699064,NA,0.056218525633306
"Aa / Aa",NA,0.687108279482361,2.73328059995294,1.00491882937891,NA,-1.5671014313734
"Aa * Aa",NA,363.03414632608,NA,34.3089176332087,NA,NA
"Aa + Aa",NA,21.5856883036314,NA,NA,NA,NA
"Aa - Aa",NA,-17.0927481230477,NA,NA,NA,NA
"Aa - Aa",NA,17.0927481230477,NA,NA,NA,NA
"Aa",0.0154761904761905,0.0155134149992508,NA,NA,NA,NA
"Aa",14.085,14.1158497984796,NA,NA,NA,NA
"Aa / Aa",NA,0.000223059640435996,NA,-4.40169936591524e-05,NA,NA
"Aa / Aa",NA,4508.90365743147,-332463.419481606,-145005.997338929,29145.2911628781,221851.134506152
"Aa * Aa",NA,1.12655930504222,NA,0.222624800378427,NA,NA
"Aa + Aa",NA,14.1313659028978,NA,NA,NA,NA
"Aa - Aa",NA,-14.1003336938874,NA,NA,NA,NA
"Aa - Aa",NA,14.1003336938874,NA,NA,NA,NA
"Aa",14.1,14.1262822305464,NA,-0.64803804666868,NA,NA
"Aa",19.1666666635,19.6295692139421,NA,NA,NA,NA
"Aa / Aa",NA,0.579752233879372,NA,-0.471602492792707,NA,NA
"Aa / Aa",NA,1.02619714445962,NA,-2.19895821953595,-2.96050577922868,NA
"Aa * Aa",NA,422.053948957028,NA,260.712141672869,NA,NA
"Aa + Aa",NA,33.7387387021485,NA,NA,NA,NA
"Aa - Aa",NA,-5.49406407676187,NA,NA,NA,NA
"Aa - Aa",NA,5.49406407676187,NA,NA,NA,NA
"Aa",495,501.296199208488,NA,NA,NA,NA
"Aa",18.55,19.7323864709952,NA,NA,NA,NA
"Aa / Aa",NA,1.69997418486203,NA,NA,NA,NA
"Aa / Aa",NA,-0.00500870526554961,NA,NA,NA,NA
