"","a","d","aa","ad","dd","NA"
"1. / 2.",0.037037037037037,0.388888888888889,0.0648148148148148,0.037037037037037,0.611111111111111,0.157407407407407
"2. / 1.",0.0462962962962963,0.407407407407407,0.101851851851852,0.0555555555555556,0.574074074074074,0.157407407407407
"1. * 2.",0.138888888888889,0.296296296296296,0.157407407407407,0.0462962962962963,0.990740740740741,0
"1. + 2.",0.12037037037037,0.0462962962962963,0.0925925925925926,0.0833333333333333,0.935185185185185,0.0277777777777778
"1. - 2.",0.0277777777777778,0.12037037037037,0.12037037037037,0.0648148148148148,0.796296296296296,0.111111111111111
"2. - 1.",0.0277777777777778,0.12037037037037,0.12037037037037,0.0648148148148148,0.796296296296296,0.111111111111111
