"","a","d","aa","ad","dd","NA"
"1. / 2.",0.89,0.14,0.437,0.286,0.137,0.073
"2. / 1.",0.893,0.131,0.42,0.267,0.133,0.078
"1. * 2.",0.999,0.068,0.43,0.088,0.079,0
"1. + 2.",0.99,0.035,0.058,0.098,0.058,0.007
"1. - 2.",0.92,0.032,0.067,0.109,0.06,0.056
"2. - 1.",0.92,0.032,0.067,0.109,0.06,0.056
