"","a","d","aa","ad","dd","NA"
"1. / 2.",0.910919540229885,0.448275862068966,0.451149425287356,0.922413793103448,0.471264367816092,0.0028735632183908
"2. / 1.",0.899425287356322,0.431034482758621,0.410919540229885,0.959770114942529,0.439655172413793,0
"1. * 2.",0.933908045977011,0.295977011494253,0.307471264367816,0.925287356321839,0.316091954022989,0
"1. + 2.",0.698275862068966,0.0316091954022989,0.0775862068965517,0.830459770114943,0.0660919540229885,0.0028735632183908
"1. - 2.",0.721264367816092,0.0258620689655172,0.0517241379310345,0.830459770114943,0.0632183908045977,0.0172413793103448
"2. - 1.",0.721264367816092,0.0258620689655172,0.0517241379310345,0.830459770114943,0.0632183908045977,0.0172413793103448
