"","a","d","aa","ad","dd","NA"
"1. / 2.",0.09,0.42,0.83,0.07,0.41,0.08
"2. / 1.",0.07,0.4,0.84,0.07,0.39,0.1
"1. * 2.",0.04,0.47,0.99,0.09,0.49,0
"1. + 2.",0.03,0.06,0.99,0.09,0.06,0
"1. - 2.",0.04,0.05,0.93,0.08,0.05,0.06
"2. - 1.",0.04,0.05,0.93,0.08,0.05,0.06
