"","a","d","aa","ad","dd","NA"
"1. / 2.",0.064,0.748,0.142,0.066,0.426,0.147
"2. / 1.",0.065,0.756,0.142,0.063,0.403,0.145
"1. * 2.",0.072,0.961,0.131,0.093,0.475,0.003
"1. + 2.",0.079,0.938,0.106,0.078,0.1,0.008
"1. - 2.",0.079,0.761,0.125,0.077,0.131,0.099
"2. - 1.",0.079,0.761,0.125,0.077,0.131,0.099
