"","a","d","aa","ad","dd","NA"
"1. / 2.",0.058252427184466,0.58252427184466,0.83495145631068,0.029126213592233,0.961165048543689,0
"2. / 1.",0.058252427184466,0.660194174757282,0.805825242718447,0.029126213592233,0.456310679611651,0
"1. * 2.",0.0776699029126214,0.359223300970874,0.854368932038835,0.0388349514563107,0.689320388349515,0
"1. + 2.",0.0485436893203883,0.194174757281553,0.679611650485437,0.0776699029126214,0.660194174757282,0
"1. - 2.",0.0776699029126214,0.242718446601942,0.631067961165049,0.0485436893203883,0.660194174757282,0
"2. - 1.",0.0776699029126214,0.242718446601942,0.631067961165049,0.0485436893203883,0.660194174757282,0
