"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0598290598290598,0.452991452991453,0.47008547008547,0.854700854700855,0.47008547008547,0.11965811965812
"2. / 1.",0.0598290598290598,0.435897435897436,0.401709401709402,0.854700854700855,0.461538461538462,0.136752136752137
"1. * 2.",0.0512820512820513,0.504273504273504,0.452991452991453,1,0.504273504273504,0
"1. + 2.",0.0769230769230769,0.0512820512820513,0.0512820512820513,1,0.0512820512820513,0
"1. - 2.",0.0683760683760684,0.0512820512820513,0.0769230769230769,0.948717948717949,0.0427350427350427,0.0256410256410256
"2. - 1.",0.0683760683760684,0.0512820512820513,0.0769230769230769,0.948717948717949,0.0427350427350427,0.0256410256410256
