"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0948012232415902,0.660550458715596,0.143730886850153,0.073394495412844,0.81039755351682,0.0397553516819572
"2. / 1.",0.0795107033639144,0.623853211009174,0.125382262996942,0.0581039755351682,0.899082568807339,0.0489296636085627
"1. * 2.",0.0703363914373089,0.553516819571865,0.18960244648318,0.0703363914373089,0.865443425076453,0.00305810397553517
"1. + 2.",0.0917431192660551,0.593272171253823,0.155963302752294,0.0856269113149847,0.660550458715596,0.0152905198776758
"1. - 2.",0.0825688073394495,0.532110091743119,0.143730886850153,0.0703363914373089,0.63914373088685,0.055045871559633
"2. - 1.",0.0825688073394495,0.532110091743119,0.143730886850153,0.0703363914373089,0.63914373088685,0.055045871559633
