"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0504201680672269,0.596638655462185,0.554621848739496,0.966386554621849,0.848739495798319,0
"2. / 1.",0.0504201680672269,0.411764705882353,0.117647058823529,0.966386554621849,0.714285714285714,0
"1. * 2.",0.0840336134453782,0.092436974789916,0.100840336134454,0.974789915966387,0.873949579831933,0
"1. + 2.",0.0588235294117647,0.0840336134453782,0.0756302521008403,0.840336134453782,0.714285714285714,0.0168067226890756
"1. - 2.",0.092436974789916,0.092436974789916,0.0840336134453782,0.815126050420168,0.714285714285714,0.0252100840336134
"2. - 1.",0.092436974789916,0.092436974789916,0.0840336134453782,0.815126050420168,0.714285714285714,0.0252100840336134
