"","a","d","aa","ad","dd","NA"
"1. / 2.",0.941,0.837,0.114,0.412,0.488,0.001
"2. / 1.",0.925,0.699,0.385,0.376,0.229,0.004
"1. * 2.",0.927,0.829,0.087,0.457,0.11,0.003
"1. + 2.",0.742,0.649,0.092,0.095,0.114,0.021
"1. - 2.",0.755,0.671,0.101,0.105,0.112,0.012
"2. - 1.",0.755,0.671,0.101,0.105,0.112,0.012
