"","a","d","aa","ad","dd","NA"
"1. / 2.",0.947058823529412,0.414705882352941,0.911764705882353,0.520588235294118,0.405882352941176,0.00588235294117647
"2. / 1.",0.95,0.167647058823529,0.952941176470588,0.561764705882353,0.147058823529412,0.00882352941176471
"1. * 2.",0.947058823529412,0.0647058823529412,0.908823529411765,0.526470588235294,0.0382352941176471,0.00588235294117647
"1. + 2.",0.744117647058824,0.0705882352941176,0.758823529411765,0.0970588235294118,0.0617647058823529,0.0117647058823529
"1. - 2.",0.747058823529412,0.0735294117647059,0.755882352941176,0.0911764705882353,0.0441176470588235,0.0117647058823529
"2. - 1.",0.747058823529412,0.0735294117647059,0.755882352941176,0.0911764705882353,0.0441176470588235,0.0117647058823529
