"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0344827586206897,0.370689655172414,0.931034482758621,0.991379310344828,0.362068965517241,0
"2. / 1.",0.0431034482758621,0.603448275862069,0.982758620689655,0.982758620689655,0.603448275862069,0
"1. * 2.",0.129310344827586,0.0775862068965517,0.931034482758621,0.974137931034483,0.103448275862069,0
"1. + 2.",0.0948275862068965,0.0344827586206897,0.767241379310345,0.870689655172414,0.0517241379310345,0
"1. - 2.",0.0775862068965517,0.0517241379310345,0.75,0.810344827586207,0.0775862068965517,0.00862068965517241
"2. - 1.",0.0775862068965517,0.0517241379310345,0.75,0.810344827586207,0.0775862068965517,0.00862068965517241
