"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0828220858895705,0.852760736196319,0.276073619631902,0.0644171779141104,0.184049079754601,0.00306748466257669
"2. / 1.",0.0644171779141104,0.101226993865031,0.957055214723926,0.0460122699386503,0.0214723926380368,0
"1. * 2.",0.0766871165644172,0.365030674846626,0.506134969325153,0.0736196319018405,0.223926380368098,0.0705521472392638
"1. + 2.",0.0828220858895705,0.325153374233129,0.542944785276074,0.0674846625766871,0.220858895705521,0.0398773006134969
"1. - 2.",0.0674846625766871,0.50920245398773,0.647239263803681,0.0582822085889571,0.00613496932515337,0.00920245398773006
"2. - 1.",0.0674846625766871,0.50920245398773,0.647239263803681,0.0582822085889571,0.00613496932515337,0.00920245398773006
