"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0683760683760684,0.393162393162393,0.0854700854700855,0.914529914529915,0.632478632478632,0
"2. / 1.",0.0769230769230769,0.162393162393162,0.290598290598291,0.914529914529915,0.726495726495726,0
"1. * 2.",0.0683760683760684,0.0170940170940171,0,0.923076923076923,0.923076923076923,0.00854700854700855
"1. + 2.",0.0854700854700855,0.0427350427350427,0.0170940170940171,0.658119658119658,0.760683760683761,0
"1. - 2.",0.111111111111111,0.0683760683760684,0.0170940170940171,0.709401709401709,0.709401709401709,0.00854700854700855
"2. - 1.",0.111111111111111,0.0683760683760684,0.0170940170940171,0.709401709401709,0.709401709401709,0.00854700854700855
