"","a","d","aa","ad","dd","NA"
"1. / 2.",0.881,0.046,0.303,0.2,0.107,0.088
"2. / 1.",0.887,0.055,0.288,0.195,0.097,0.079
"1. * 2.",0.998,0.051,0.374,0.085,0.053,0.002
"1. + 2.",0.988,0.015,0.052,0.089,0.063,0.011
"1. - 2.",0.91,0.014,0.046,0.105,0.062,0.068
"2. - 1.",0.91,0.014,0.046,0.105,0.062,0.068
