"","a","d","aa","ad","dd","NA"
"1. / 2.",0.0683760683760684,0,0.35042735042735,0.811965811965812,0.333333333333333,0.145299145299145
"2. / 1.",0.0512820512820513,0.00854700854700855,0.290598290598291,0.803418803418803,0.264957264957265,0.153846153846154
"1. * 2.",0.0683760683760684,0.00854700854700855,0.384615384615385,1,0.418803418803419,0
"1. + 2.",0.094017094017094,0.00854700854700855,0.0512820512820513,0.991452991452991,0.0598290598290598,0.00854700854700855
"1. - 2.",0.0769230769230769,0.00854700854700855,0.0341880341880342,0.88034188034188,0.0341880341880342,0.102564102564103
"2. - 1.",0.0769230769230769,0.00854700854700855,0.0341880341880342,0.88034188034188,0.0341880341880342,0.102564102564103
