"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16","gen17","gen18","gen19","gen20","gen21","gen22","gen23","gen24","gen25","gen26","gen27","gen28","gen29","gen30","gen31","gen32","gen33","gen34","gen35","gen36","gen37","gen38","gen39","gen40","gen41","gen42","gen43","gen44","gen45","gen46","gen47","gen48","gen49","gen50","gen51","gen52","gen53","gen54","gen55","gen56","gen57","gen58","gen59","gen60","gen61","gen62","gen63","gen64","gen65","gen66","gen67","gen68","gen69","gen70","gen71","gen72","gen73","gen74","gen75","gen76","gen77","gen78","gen79","gen80","gen81","gen82","gen83","gen84","gen85","gen86","gen87","gen88","gen89","gen90","gen91","gen92","gen93","gen94","gen95","gen96","gen97","gen98","gen99","gen100"
"rep1",9.433749125,9.434936,9.450128,9.438813125,9.4472795,9.46073075,9.4517105,9.45155225,9.45535025,9.452739125,9.461759375,9.457170125,9.467139875,9.46769375,9.468485,9.4643705,9.47149175,9.475685375,9.473549,9.464449625,9.480116375,9.477584375,9.477742625,9.46737725,9.48415175,9.47149175,9.47623925,9.470463125,9.483677,9.47275775,9.47592275,9.4839935,9.467298125,9.47165,9.487237625,9.4934885,9.482806625,9.48383525,9.490402625,9.4934885,9.481065875,9.4839935,9.47813825,9.48351875,9.48826625,9.47528975,9.47972075,9.482015375,9.482411,9.483677,9.48763325,9.4770305,9.48858275,9.486842,9.488108,9.48067025,9.487712375,9.477426125,9.48383525,9.47782175,9.478375625,9.493567625,9.488978375,9.481065875,9.494200625,9.49238075,9.49079825,9.488187125,9.481778,9.47798,9.476951375,9.48731675,9.47940425,9.474815,9.481224125,9.4884245,9.4896905,9.481540625,9.482015375,9.4858925,9.47940425,9.4865255,9.490560875,9.4808285,9.474182,9.495308375,9.480591125,9.48573425,9.477584375,9.479483375,9.4960205,9.4941215,9.47718875,9.48763325,9.47117525,9.471017,9.47497325,9.478059125,9.483597875,9.4890575
"rep2",9.448466375,9.445697,9.449574125,9.443165,9.44047475,9.457803125,9.4479125,9.44633,9.463421,9.460018625,9.46706075,9.46357925,9.464766125,9.473786375,9.469988375,9.468485,9.481698875,9.481065875,9.473469875,9.479483375,9.483281375,9.483281375,9.4789295,9.47798,9.484547375,9.48415175,9.4846265,9.4719665,9.47307425,9.490007,9.48984875,9.48288575,9.486604625,9.479799875,9.484072625,9.487395875,9.4871585,9.4852595,9.4801955,9.48003725,9.477900875,9.4896905,9.487475,9.4846265,9.487395875,9.485338625,9.490086125,9.479166875,9.471729125,9.480591125,9.47687225,9.491985125,9.491826875,9.477584375,9.48161975,9.479958125,9.482411,9.483597875,9.480274625,9.478533875,9.47972075,9.477347,9.48225275,9.48668375,9.491273,9.479799875,9.476081,9.482806625,9.4871585,9.48668375,9.48668375,9.48383525,9.484389125,9.4814615,9.484547375,9.4808285,9.486762875,9.4896905,9.483044,9.47718875,9.481145,9.4941215,9.490402625,9.488108,9.47212475,9.481145,9.480907625,9.474261125,9.47307425,9.4789295,9.468247625,9.490560875,9.47813825,9.494675375,9.4795625,9.4688015,9.490086125,9.47655575,9.472836875,9.477742625
"rep3",9.446567375,9.439446125,9.444510125,9.449099375,9.449495,9.46041425,9.459069125,9.455745875,9.458436125,9.455429375,9.45313475,9.4884245,9.471570875,9.486604625,9.4833605,9.470304875,9.464449625,9.463183625,9.469355375,9.483044,9.464924375,9.464291375,9.4656365,9.481778,9.494517125,9.486209,9.48320225,9.47244125,9.475685375,9.47022575,9.479166875,9.48541775,9.487475,9.491668625,9.482490125,9.4770305,9.471254375,9.50472425,9.481857125,9.483756125,9.490560875,9.47750525,9.466506875,9.48700025,9.47908775,9.498156875,9.483914375,9.481224125,9.4877915,9.481698875,9.479166875,9.4947545,9.4738655,9.481382375,9.476476625,9.48763325,9.4795625,9.489769625,9.484072625,9.476318375,9.484863875,9.49048175,9.475210625,9.487554125,9.473628125,9.486446375,9.474735875,9.484705625,9.474261125,9.4871585,9.48256925,9.4915895,9.469830125,9.481778,9.488661875,9.487554125,9.489136625,9.48130325,9.48794975,9.473153375,9.4852595,9.480116375,9.4934885,9.473469875,9.49269725,9.487237625,9.482331875,9.473628125,9.48636725,9.484547375,9.49807775,9.481145,9.478375625,9.473549,9.495466625,9.4903235,9.47434025,9.468247625,9.487870625,9.483597875
"rep4",9.431375375,9.44585525,9.444431,9.443560625,9.46136375,9.456220625,9.463183625,9.46294625,9.462867125,9.469197125,9.465557375,9.477109625,9.47165,9.471887375,9.477347,9.486921125,9.472678625,9.485022125,9.482411,9.4808285,9.470304875,9.475843625,9.48700025,9.4770305,9.47370725,9.466981625,9.47972075,9.484547375,9.48826625,9.481540625,9.475448,9.4896905,9.47908775,9.475448,9.4795625,9.485576,9.478533875,9.478692125,9.481224125,9.487079375,9.475052375,9.49776125,9.483439625,9.4827275,9.483597875,9.47750525,9.48320225,9.477584375,9.482331875,9.482490125,9.483439625,9.48320225,9.483677,9.485496875,9.48320225,9.48035375,9.485655125,9.473944625,9.480749375,9.483677,9.482331875,9.4871585,9.489453125,9.4852595,9.488741,9.47750525,9.48320225,9.478217375,9.495783125,9.47908775,9.46737725,9.479483375,9.4789295,9.48478475,9.4833605,9.4814615,9.49048175,9.487237625,9.49064,9.480512,9.48446825,9.47560625,9.477742625,9.48383525,9.482806625,9.485180375,9.47022575,9.481224125,9.489374,9.488187125,9.48763325,9.4789295,9.486604625,9.481065875,9.483123125,9.484705625,9.485338625,9.482173625,9.48288575,9.4903235
"rep5",9.43794275,9.454559,9.445934375,9.450998375,9.46199675,9.46990925,9.46104725,9.46136375,9.461126375,9.469197125,9.470463125,9.47339075,9.46547825,9.474815,9.477742625,9.47623925,9.477584375,9.47244125,9.476951375,9.468247625,9.480274625,9.486604625,9.473628125,9.47434025,9.476634875,9.47718875,9.478613,9.481145,9.49048175,9.477426125,9.485655125,9.482648375,9.47845475,9.483044,9.486921125,9.479483375,9.473628125,9.478059125,9.4725995,9.489136625,9.4846265,9.476160125,9.480274625,9.485971625,9.469197125,9.477900875,9.47877125,9.491193875,9.477742625,9.48541775,9.484863875,9.477900875,9.470937875,9.489294875,9.488187125,9.488028875,9.480749375,9.4833605,9.476714,9.481698875,9.488028875,9.48193625,9.47782175,9.472836875,9.4763975,9.486842,9.47528975,9.48605075,9.479879,9.48035375,9.479166875,9.48320225,9.478059125,9.482331875,9.478692125,9.4827275,9.48668375,9.481698875,9.47687225,9.479246,9.480512,9.484230875,9.486762875,9.483914375,9.49016525,9.491668625,9.481065875,9.479325125,9.481698875,9.472916,9.485496875,9.493092875,9.473786375,9.47339075,9.4719665,9.481778,9.468247625,9.4833605,9.48605075,9.4763975
"rep6",9.44047475,9.4352525,9.448862,9.45503375,9.46073075,9.455587625,9.45724925,9.46262975,9.46990925,9.455825,9.476634875,9.468564125,9.473786375,9.482331875,9.47908775,9.482411,9.484072625,9.475210625,9.4808285,9.47560625,9.485496875,9.484072625,9.477267875,9.4763975,9.486842,9.48921575,9.487554125,9.486446375,9.48731675,9.47718875,9.4789295,9.48067025,9.485813375,9.4789295,9.484943,9.465399125,9.487395875,9.481382375,9.486209,9.48763325,9.485022125,9.483597875,9.475368875,9.485576,9.481145,9.488028875,9.487395875,9.470621375,9.480749375,9.486921125,9.489453125,9.484863875,9.46832675,9.4789295,9.4789295,9.48098675,9.495071,9.480907625,9.48035375,9.486209,9.4858925,9.487395875,9.49143125,9.486446375,9.47623925,9.480512,9.479879,9.478217375,9.4713335,9.490560875,9.482173625,9.48446825,9.479641625,9.4903235,9.4877915,9.48193625,9.48446825,9.493092875,9.481698875,9.481698875,9.48161975,9.48256925,9.480274625,9.49143125,9.470779625,9.4656365,9.493251125,9.4801955,9.48541775,9.494042375,9.4732325,9.472916,9.48067025,9.4833605,9.484230875,9.496574375,9.4707005,9.4820945,9.485180375,9.49649525
"rep7",9.44142425,9.446883875,9.44395625,9.438338375,9.445301375,9.4612055,9.457328375,9.45978125,9.46532,9.461126375,9.469355375,9.462550625,9.454559,9.4637375,9.457803125,9.482015375,9.46927625,9.473628125,9.465240875,9.4763975,9.473549,9.481224125,9.4757645,9.480274625,9.482490125,9.48130325,9.476714,9.470779625,9.47623925,9.4865255,9.472362125,9.4795625,9.463500125,9.482411,9.48351875,9.470937875,9.488345375,9.4814615,9.47877125,9.477584375,9.489611375,9.493172,9.481382375,9.48446825,9.48225275,9.4877915,9.483914375,9.480512,9.470779625,9.480116375,9.486446375,9.493172,9.4877915,9.476001875,9.4934885,9.487395875,9.486604625,9.485496875,9.49364675,9.4820945,9.479246,9.487395875,9.4801955,9.485655125,9.488820125,9.481382375,9.474815,9.4852595,9.48256925,9.48446825,9.48130325,9.491668625,9.48320225,9.4833605,9.486129875,9.485496875,9.481145,9.4827275,9.48130325,9.489927875,9.4903235,9.4782965,9.48763325,9.4934885,9.482331875,9.493567625,9.4776635,9.4814615,9.47655575,9.4776635,9.477584375,9.486288125,9.477900875,9.47623925,9.462708875,9.468485,9.480749375,9.47528975,9.47370725,9.482173625
"rep8",9.436597625,9.439604375,9.439604375,9.44269025,9.454954625,9.452739125,9.4631045,9.4529765,9.46642775,9.466190375,9.4580405,9.466586,9.476318375,9.478692125,9.4700675,9.46737725,9.48288575,9.47782175,9.475368875,9.47117525,9.46959275,9.473944625,9.480512,9.466032125,9.48130325,9.476476625,9.473311625,9.48003725,9.47402375,9.485576,9.474577625,9.479166875,9.479325125,9.481382375,9.47434025,9.469197125,9.478613,9.48098675,9.478375625,9.489453125,9.47560625,9.47560625,9.490086125,9.47244125,9.469355375,9.479166875,9.4884245,9.486209,9.472203875,9.483677,9.470384,9.482648375,9.482490125,9.48573425,9.482648375,9.49966025,9.4833605,9.48415175,9.486288125,9.474815,9.473944625,9.482648375,9.4827275,9.483281375,9.486288125,9.476714,9.475843625,9.477584375,9.482015375,9.47782175,9.475368875,9.481540625,9.479799875,9.4782965,9.484705625,9.49459625,9.48415175,9.480432875,9.489294875,9.474261125,9.48225275,9.482648375,9.4707005,9.487237625,9.4985525,9.487475,9.4725995,9.48889925,9.483281375,9.47307425,9.470779625,9.477426125,9.464449625,9.490007,9.49206425,9.48605075,9.484547375,9.484230875,9.479246,9.479246
"rep9",9.436202,9.4498115,9.443877125,9.443085875,9.461442875,9.4593065,9.458357,9.46073075,9.474419375,9.4605725,9.465399125,9.473786375,9.46706075,9.465715625,9.476951375,9.464607875,9.48225275,9.479325125,9.47845475,9.472836875,9.466981625,9.485576,9.47687225,9.48636725,9.476318375,9.47592275,9.482173625,9.489927875,9.490719125,9.486129875,9.49143125,9.474894125,9.489769625,9.48098675,9.493092875,9.483439625,9.489769625,9.482648375,9.4922225,9.4820945,9.47845475,9.481224125,9.48320225,9.48636725,9.489374,9.483281375,9.4884245,9.49238075,9.479483375,9.479008625,9.489769625,9.477426125,9.482411,9.488820125,9.489453125,9.482173625,9.4903235,9.489611375,9.487395875,9.47465675,9.473469875,9.48731675,9.484863875,9.496416125,9.47687225,9.48193625,9.476634875,9.47940425,9.487554125,9.482331875,9.48794975,9.50124275,9.474815,9.4738655,9.479641625,9.490086125,9.488661875,9.481778,9.485655125,9.48130325,9.479483375,9.48573425,9.474419375,9.48984875,9.483044,9.475210625,9.48130325,9.473469875,9.484863875,9.4744985,9.491193875,9.4751315,9.476081,9.492301625,9.4846265,9.481145,9.485813375,9.48668375,9.483044,9.482964875
"rep10",9.445143125,9.450761,9.43984175,9.451947875,9.452264375,9.4485455,9.455587625,9.451631375,9.459543875,9.457091,9.455745875,9.46326275,9.478217375,9.467456375,9.477584375,9.481778,9.476001875,9.47655575,9.4757645,9.4814615,9.493409375,9.47655575,9.483677,9.4871585,9.493884125,9.475448,9.49206425,9.483281375,9.4820945,9.477267875,9.48035375,9.48541775,9.491668625,9.483281375,9.473469875,9.474261125,9.480116375,9.48700025,9.4782965,9.463974875,9.48984875,9.47623925,9.481382375,9.48320225,9.473786375,9.476160125,9.474894125,9.4890575,9.48478475,9.495071,9.488741,9.49269725,9.475210625,9.487475,9.48763325,9.482173625,9.4707005,9.481698875,9.480512,9.480907625,9.482015375,9.482964875,9.489927875,9.49364675,9.48541775,9.47655575,9.477742625,9.487475,9.48288575,9.484705625,9.483677,9.481540625,9.48794975,9.4789295,9.4776635,9.48225275,9.47687225,9.477900875,9.484230875,9.475843625,9.484705625,9.4903235,9.4833605,9.482331875,9.48035375,9.48288575,9.481778,9.476001875,9.483281375,9.48731675,9.479641625,9.480274625,9.479958125,9.47845475,9.483281375,9.48510125,9.493805,9.48794975,9.486762875,9.48351875
