"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16","gen17","gen18","gen19","gen20","gen21","gen22","gen23","gen24","gen25","gen26","gen27","gen28","gen29","gen30","gen31","gen32","gen33","gen34","gen35","gen36","gen37","gen38","gen39","gen40","gen41","gen42","gen43","gen44","gen45","gen46","gen47","gen48","gen49","gen50","gen51","gen52","gen53","gen54","gen55","gen56","gen57","gen58","gen59","gen60","gen61","gen62","gen63","gen64","gen65","gen66","gen67","gen68","gen69","gen70","gen71","gen72","gen73","gen74","gen75","gen76","gen77","gen78","gen79","gen80","gen81","gen82","gen83","gen84","gen85","gen86","gen87","gen88","gen89","gen90","gen91","gen92","gen93","gen94","gen95","gen96","gen97","gen98","gen99","gen100"
"rep1",8.90827634494142,8.97973003141707,9.01381928598353,9.06592058271595,9.11718368460786,9.23574342249823,9.28981803529518,9.30955895607669,9.36377819900308,9.39513553889553,9.42868647258981,9.49343748801457,9.49875864884561,9.50328155340507,9.504261905351,9.55807460935021,9.56435503378979,9.58049129214312,9.56548428869771,9.6096397348377,9.63499459243887,9.59896693432975,9.55681015120149,9.60814801864976,9.60824817104465,9.60474656512237,9.57679191540939,9.61242971222884,9.58101548740573,9.59629206718021,9.56349125249526,9.58616654230932,9.62719062384273,9.59790556550329,9.65512407696711,9.63024800239202,9.6549606875711,9.64745876462637,9.57813502078509,9.61101529291067,9.62235505164966,9.56043289321912,9.59505598193834,9.57245339153584,9.55635712538023,9.58674759320045,9.5645181354637,9.56456980523996,9.58947315923481,9.57107221466744,9.56876961697447,9.50760985185446,9.49682938750454,9.50471464866419,9.51850889697819,9.54674375119204,9.56251496686464,9.55800166301668,9.54852624291183,9.52223656642997,9.53763811366504,9.52306702701482,9.49737427706429,9.51843990303968,9.59294590504737,9.57610253627973,9.55192523186721,9.50611988174875,9.57976229814874,9.59880155441169,9.56154930945306,9.6070205098295,9.6286747119444,9.6053800701849,9.57291563805023,9.59530416669006,9.51083473584213,9.59466163883135,9.60642444887429,9.6330714412491,9.64163863269742,9.63386812271314,9.649320180752,9.61809035725309,9.66346236195517,9.59867389655935,9.59530088793881,9.62888107188057,9.61816874735898,9.63579339809847,9.65622205931104,9.65270572328028,9.69123483075549,9.70574489858753,9.60601076734824,9.64692092312434,9.69003150286546,9.64311724523537,9.62355045700149,9.6461385859135
"rep2",8.86579261308894,8.92276681289712,9.06939638385938,9.09776126712684,9.13796741360542,9.19958757981901,9.28044478997565,9.31850892118575,9.39824361172009,9.38581551208303,9.39565241966224,9.44056969255033,9.47548219954042,9.50074128080921,9.49120942043242,9.54699931552365,9.57809306840523,9.60395105515258,9.57887837986968,9.67047715752961,9.60536435822885,9.62760855212961,9.66182344415483,9.63262389660746,9.65143898377042,9.64946734392389,9.58729579395741,9.61879890668861,9.61748825565085,9.62061749721165,9.65793097069093,9.61072559970664,9.64676593961679,9.64448231718168,9.68628097984359,9.67568665396032,9.67056795241855,9.66010161715844,9.65776430006642,9.67313749722976,9.63246330810376,9.64988028239462,9.6804268884327,9.64819717182132,9.70265812269738,9.63043359559025,9.62340851511321,9.59315182638396,9.6217564188925,9.59869208570941,9.63737067678469,9.6464383458707,9.6007517669774,9.56981618354362,9.59675182416772,9.61002793269314,9.60974543900341,9.61698582989643,9.64356480942605,9.68218147707768,9.61022115420782,9.59715588843878,9.64733299068707,9.63928826633237,9.6259100539932,9.61072525227043,9.63590091882709,9.62776663759482,9.57940106758883,9.58394794603441,9.59051821982607,9.64911137477935,9.61845907137305,9.56561494382929,9.59705990439516,9.58934260126097,9.64320718978329,9.63500738797573,9.6251980198445,9.67422470755276,9.6391479899826,9.6538392919109,9.6258364801395,9.62874740954838,9.62984670922025,9.67534124030683,9.66335991700508,9.63921191156519,9.62160141651108,9.65602875821608,9.61521845684992,9.64221949870125,9.66240769686864,9.62854010761919,9.62290802341869,9.60827106571321,9.65609947679477,9.63083635768624,9.59749098765997,9.59959177685004
"rep3",8.84400822192403,8.9341290665902,8.99597035029229,9.04673657720238,9.15388441759067,9.21628477523781,9.26310870373644,9.32906510796032,9.36417360270587,9.40357887531084,9.44677633128486,9.45595140885045,9.53008725633393,9.51934517848384,9.51959027345477,9.57488537006483,9.55245807902119,9.60736999693449,9.59443806597756,9.61475662159894,9.56280281448564,9.6130829379839,9.59627611385031,9.6586174860368,9.65609465719541,9.6660604086713,9.59992630737247,9.69578177947516,9.59032425202174,9.5933045345764,9.57847753423034,9.58732342166322,9.66101571618073,9.62655270760181,9.6560544397178,9.59276973758813,9.63032246849694,9.6288337077491,9.58523337283356,9.61396126289906,9.59713604941517,9.63550193593138,9.66243412646295,9.65110400767578,9.66956422053954,9.59403738032521,9.69666181176152,9.64685080247443,9.66150792526037,9.57773572376562,9.62429232118211,9.64833643320671,9.63753621767365,9.67074306297457,9.58403818883182,9.60436467427114,9.57670909006146,9.59104087084227,9.59350226386998,9.63577519830682,9.5771244190768,9.61069423354835,9.59872507325293,9.60465244926125,9.5880523977282,9.58479147686474,9.60025290251867,9.56981786307758,9.51317537479546,9.55798809966247,9.58482525597609,9.54622935459655,9.56144728680428,9.5792828810378,9.57066410693624,9.54763014656674,9.54156011965134,9.59205430137569,9.59062249988997,9.6007655743029,9.62495504799845,9.62907296094357,9.63293558744668,9.62265107070238,9.53069390229538,9.54267850171388,9.59166072153377,9.5952960399758,9.61446465561063,9.63655128920552,9.59960479978481,9.60222600350834,9.57138721582921,9.52220385077961,9.59670732909252,9.60576618496044,9.55796288690689,9.59042005156659,9.58284039150526,9.6257762408883
"rep4",8.86045936129597,8.91345764144256,9.02543142033017,9.10494501398297,9.20685630620182,9.21272351852502,9.23607677144682,9.31771475402768,9.39657421763807,9.42069824708662,9.4335835327497,9.44453591223015,9.445760544636,9.49573825652006,9.51525360192018,9.49369582669188,9.53522764173359,9.50091078166983,9.49593254755098,9.51097221057597,9.48226557631622,9.50197599383127,9.51770078198133,9.54602394317015,9.57062149745767,9.61691122168878,9.6302002295052,9.62782768497826,9.67207842159463,9.57314597435666,9.60099587811119,9.60446426708045,9.59309030026197,9.57195548037073,9.5843754737005,9.59397232103632,9.61798051993197,9.57942640590037,9.59638680680025,9.52248905511265,9.57844432242727,9.56820966739254,9.61587528602135,9.60035564084677,9.58744584343976,9.62562722777547,9.61154112260438,9.61200800995689,9.63007471785413,9.61653683710719,9.60698727416725,9.6181582439868,9.58987084188485,9.60997052804172,9.62795692768493,9.59192118503381,9.67693487688847,9.63650369293955,9.66281110885186,9.6382163854091,9.61177188480436,9.65371098123469,9.64971085151012,9.6885840699454,9.65520044684364,9.73193094995779,9.69550115450512,9.61962399473763,9.6062744363472,9.65186186945457,9.56169957564032,9.60086577815142,9.60478038840766,9.63090890554475,9.57178703325269,9.62754683947228,9.57560421114381,9.5859018655477,9.5817068510662,9.53803361450253,9.59846067830654,9.6325707503419,9.59086163780932,9.60195957437782,9.61583320888916,9.62735895984828,9.58598823487631,9.59416477404537,9.6162046237691,9.58568281353107,9.60350145173519,9.61306236486294,9.62921140496243,9.55991197711116,9.60608703200228,9.54561734201311,9.57508279122386,9.58387434223807,9.64025584392059,9.67650244859009
"rep5",8.87159427410731,8.92993928586582,9.02118919912228,9.06004470919757,9.11898742337047,9.21079301420016,9.25537406268344,9.31095418086696,9.36927655857165,9.33502160837035,9.37567825356679,9.41675041342457,9.43557041598364,9.49373196762865,9.44522511339943,9.51108041387683,9.51115923824895,9.52508292364397,9.51932783364991,9.49978276189526,9.51691528361618,9.49825924480248,9.54287154208647,9.54441254344135,9.56948180240108,9.59015896323972,9.6244028962249,9.60177226199022,9.62580034223982,9.63221568248739,9.56572174012687,9.61125361863662,9.61627592229111,9.64682479983712,9.6301166348973,9.6280942817836,9.60562037171891,9.61630298715143,9.63888483998482,9.61988597155741,9.60911601367124,9.62178314226212,9.57908025850644,9.64811052253506,9.56556884574682,9.62001799526017,9.60242030646555,9.58109135687215,9.59169064037579,9.63983723864587,9.58395670421895,9.63464959035037,9.59455202812966,9.58834384240813,9.62349964423146,9.62638973914867,9.63017792723518,9.59512433503397,9.58730862873666,9.66165926199306,9.58786363497447,9.57698299629445,9.5819837932259,9.61673626179218,9.61429367037045,9.65584844753293,9.64161774412726,9.58605098902113,9.61787152012964,9.61262623212016,9.58239057670913,9.54046686240898,9.57277092050011,9.60045911574974,9.5724748600158,9.61053265663907,9.63286915441594,9.65268009474221,9.63183162813021,9.63160454291483,9.65330792146467,9.63538026831895,9.64867782047698,9.65093332293032,9.66866289706633,9.67766158296261,9.70386035883709,9.6331545203231,9.62653206472839,9.66150355956007,9.6380711549967,9.68982002847734,9.62665149481508,9.59153394174318,9.51732028020761,9.55796510963557,9.59773485046904,9.59560567412696,9.59174499806283,9.5743310854728
"rep6",8.87718191896581,8.8888315557222,8.97801709251946,9.07546264919828,9.10695794461988,9.1631782700198,9.26264650129555,9.26669195931619,9.30167548125046,9.35887057272481,9.43353752998806,9.45186896102719,9.50508749161335,9.51122046474484,9.57834215160107,9.59845223156938,9.62392723043773,9.60357450654417,9.59749379510313,9.57536641456363,9.56576734467022,9.60938904836801,9.56675742380108,9.55828674159961,9.56881996866503,9.57387906373862,9.5753977564809,9.64877771920866,9.60882338316381,9.65335106045224,9.63934821851821,9.68287959271024,9.62173134636519,9.68739632176773,9.66701324041131,9.6935309447226,9.61517317228212,9.60431898994723,9.597337931037,9.60617135923997,9.60933981840132,9.63580499556794,9.62905896957279,9.61430077509289,9.59501891216502,9.6367489193822,9.6431252487744,9.61116164548583,9.61961403424307,9.6312846911017,9.66202087288049,9.62743231582213,9.656718274047,9.60094537233379,9.58981582887041,9.58994877115089,9.54687215516482,9.56955725684617,9.56244691704378,9.61477805885157,9.57697100837376,9.59547692618279,9.6407709596258,9.59467910810055,9.59101103532897,9.59335352872835,9.60442189481147,9.61365066511086,9.6156397388939,9.57841124686807,9.57816368863514,9.54983784566656,9.56423465197795,9.54109764141003,9.52636725256817,9.4995913792516,9.53265535521783,9.556307463489,9.59511024870755,9.62841412996362,9.62877084647964,9.64906323784752,9.6310570711809,9.61175398070832,9.59864647860178,9.6107049921191,9.60210573147287,9.60238180200156,9.53488711047173,9.53942935703888,9.56488583299109,9.56291842492252,9.55918465954361,9.54342225124499,9.5713865965707,9.55118391812046,9.59204986609336,9.52410000859922,9.53259124456956,9.56606568055752
"rep7",8.8641267158889,8.86970533212894,9.02360665511516,9.11579344731998,9.16038222346163,9.16678904284136,9.191389081638,9.24743349357217,9.25721966127663,9.32938635889796,9.38286772887881,9.38749856794341,9.41123830134924,9.47248486858947,9.4650175382153,9.48767504276672,9.51395680260699,9.56924785005231,9.64308665421005,9.62358845280635,9.60406694546875,9.59345411284799,9.58732696219403,9.58340040204529,9.59599585211163,9.5896176052539,9.61419653630878,9.58278907320273,9.61611555818293,9.59165078185215,9.6293586513437,9.61970848237528,9.68640996238926,9.63521405904488,9.60282719464388,9.60486068858261,9.61588698166097,9.59510180398792,9.59231029454169,9.58799140638099,9.58491506544048,9.54351000356313,9.61088739591222,9.59703701059592,9.59984698116201,9.60932447699456,9.59367099919486,9.66362889977723,9.60757185460476,9.57382545013802,9.58522788395258,9.59697789054449,9.62879991983723,9.65379014336737,9.66104062236548,9.6232371632823,9.65087104980758,9.66633382809764,9.69627814061948,9.63530740841012,9.64386570162721,9.68190533168444,9.69994704395654,9.62297187063881,9.61392599921518,9.65755968538933,9.68898132881148,9.64946149877632,9.67684390591821,9.6666117796943,9.66577048961695,9.6707068609777,9.63622662862572,9.68033017556487,9.5959098583239,9.57694042270833,9.59368443609912,9.61431921429654,9.61846861126299,9.65931345559802,9.66056487769451,9.63973829823888,9.61673487505345,9.62534769178454,9.60942324236339,9.60581735271332,9.61934465975925,9.62913616831675,9.65278308068224,9.68102335146918,9.68095429225029,9.72367852918323,9.67178797063898,9.6542389815747,9.71410519413429,9.68658438908658,9.65359967454062,9.67980524536754,9.62223280950182,9.59178588011949
"rep8",8.83864548094198,8.86008265546985,8.98084719728205,9.00988213989071,9.06390432935948,9.18138019965724,9.24973482499641,9.27427366359447,9.27206138439497,9.33322164895155,9.33832700936296,9.35236451570933,9.43913656679089,9.44673340137038,9.46729266320494,9.50229759433816,9.53015385911825,9.51213074644806,9.54735463648176,9.58038005675697,9.58851323776495,9.54670997460486,9.54072301133536,9.543426403063,9.51682141153049,9.54664020282181,9.52603486152093,9.48565824882226,9.54568047977474,9.4588293193115,9.53655845462665,9.56737031877972,9.59219423438712,9.53595166273432,9.52166128233818,9.52517574278322,9.52696922464933,9.57484288462345,9.57418782286647,9.60742159588575,9.63068902049545,9.57845660401033,9.59955357027889,9.62431882733096,9.58875812344364,9.60100250363063,9.64305444235267,9.60271979490878,9.62004938287215,9.6729751818409,9.65964276035202,9.6234551690647,9.60779927919171,9.5880555780148,9.60428241065466,9.61176210632346,9.60794436857954,9.59049715868724,9.6123068200778,9.5659015581561,9.55525308759585,9.57039420280081,9.55350823350792,9.59285869129216,9.61648746194713,9.60278118831329,9.60746641788628,9.61308702202479,9.66559102058647,9.68303541111091,9.67835833400513,9.66797556215406,9.65517016688678,9.59370107032645,9.6364909555346,9.64364251398008,9.65588239708621,9.68233074304312,9.6627361604647,9.59603056630352,9.62250227152288,9.63048243276191,9.66633970738593,9.68297274076517,9.7015712667518,9.66751473020266,9.65096001678576,9.69750241367317,9.60446383962805,9.59882128528264,9.63219047706927,9.59727855971938,9.58400083679178,9.65050018380808,9.62077340085054,9.6218097294231,9.6142480488417,9.56980459221473,9.59997024930391,9.55788825000815
"rep9",8.86561476747457,8.92289656123937,9.06991611673547,9.09336257660938,9.1693545207827,9.25356850610183,9.27143623137935,9.33096054503394,9.33271051023676,9.36723086847882,9.43599641222798,9.41153562857169,9.44761881528256,9.45084702414171,9.44121100816259,9.44666088435897,9.45796550715335,9.48252255830888,9.39049758400495,9.45111709502475,9.50312839809176,9.5057924545092,9.47755014769261,9.51319599329078,9.57300510194312,9.57527606463911,9.54462735134095,9.60884205406693,9.54959163190982,9.55022330747158,9.61410860913196,9.58513771495291,9.58644219436231,9.59411045313408,9.58556586537323,9.59767473802624,9.62461591896509,9.58717917234767,9.63924252677158,9.62053672415524,9.63732070317959,9.64980301970579,9.65780003301951,9.64736026384615,9.67472582069999,9.69645527870575,9.71680068326965,9.75822251636669,9.74280487708615,9.63787485792462,9.6720744599009,9.64877134099332,9.64246893747581,9.64466231958611,9.64388259736697,9.64515400207845,9.62064965576368,9.64743112551284,9.61690676215449,9.60284219406527,9.62498016702238,9.63133869194087,9.67282592110453,9.64587351700703,9.59822916818195,9.64149934828223,9.60300938925681,9.60905530504753,9.65265003694849,9.5696873696656,9.63514902833731,9.67468109883857,9.73487723659496,9.63874264753812,9.62055842827853,9.62052325117488,9.61103344614568,9.62130310418082,9.63160766758437,9.63282200684062,9.55721231815497,9.58324289868548,9.57842326934048,9.57185645267183,9.5883457043482,9.60842581899897,9.60053381304491,9.58445526865255,9.5944978613173,9.56238782081782,9.61222756306174,9.61469555448539,9.60745735141883,9.64062404147385,9.60929396772646,9.59961368118318,9.63348479128897,9.60509632301209,9.60045412105964,9.60137584823248
"rep10",8.8393198080629,8.92825530858722,9.01209575155645,9.04614448128484,9.17107302149559,9.19240599157537,9.23242221640299,9.35122038275177,9.30805044837238,9.40529912673344,9.38795986352242,9.40631306616192,9.45528860887557,9.50991230400399,9.47573075828169,9.49429727883829,9.51449105249851,9.51814699877174,9.51332808576482,9.49374655214084,9.49577471431649,9.47765906354692,9.48654700371534,9.54031867261076,9.52033317522063,9.58051096214439,9.55814179296721,9.60143227862775,9.58769303248884,9.55439215408222,9.60483013387642,9.64648536710569,9.60891095927174,9.68024364112545,9.62969284617521,9.6490721377426,9.70566612570371,9.63224537006686,9.60604604615218,9.64696158545345,9.57867468090653,9.5968693732343,9.56724923752019,9.58105465594964,9.54591749601233,9.5896824873608,9.5959545501793,9.60255166675125,9.56764551736944,9.59241345421214,9.57313974647803,9.63195077630036,9.61370070314121,9.59144775135564,9.59654942348748,9.58870858957652,9.5499068830254,9.60613383410625,9.57452491068821,9.59707154559573,9.63874696827703,9.62525347541505,9.61497328454774,9.59051033854919,9.6342431880015,9.61251613546902,9.58781198309635,9.6358835745185,9.65943286068399,9.6628718082185,9.66266157809854,9.65387549392421,9.62053051043181,9.66622436754417,9.68246473753675,9.6312465920456,9.64185043105946,9.61822880516002,9.60502943178272,9.61647398579695,9.6433722855015,9.59809621388435,9.62564061419712,9.66168341320401,9.65170062054297,9.68197141877851,9.61136025683168,9.57925151464491,9.58887742040411,9.58008516875855,9.60917813116933,9.59303794603855,9.53597463176165,9.57141054550107,9.59254655918395,9.63238128365763,9.62477021037844,9.57813582103278,9.59227757193753,9.60274855610349
