"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16","gen17","gen18","gen19","gen20","gen21","gen22","gen23","gen24","gen25","gen26","gen27","gen28","gen29","gen30","gen31","gen32","gen33","gen34","gen35","gen36","gen37","gen38","gen39","gen40","gen41","gen42","gen43","gen44","gen45","gen46","gen47","gen48","gen49","gen50","gen51","gen52","gen53","gen54","gen55","gen56","gen57","gen58","gen59","gen60","gen61","gen62","gen63","gen64","gen65","gen66","gen67","gen68","gen69","gen70","gen71","gen72","gen73","gen74","gen75","gen76","gen77","gen78","gen79","gen80","gen81","gen82","gen83","gen84","gen85","gen86","gen87","gen88","gen89","gen90","gen91","gen92","gen93","gen94","gen95","gen96","gen97","gen98","gen99","gen100"
"rep1",8.4631605,8.486798,8.4915255,8.4858525,8.535964,8.5274545,8.558656,8.596476,8.675898,8.747756,8.8753985,8.984131,9.050316,9.0871905,9.146757,9.1949775,9.2384705,9.282909,9.3160015,9.3405845,9.3689495,9.390696,9.4067695,9.3992055,9.434189,9.4483715,9.462554,9.451208,9.4275705,9.449317,9.4824095,9.4786275,9.489028,9.4937555,9.515502,9.555213,9.570341,9.5788505,9.570341,9.572232,9.577905,9.577905,9.591142,9.5977605,9.608161,9.6072155,9.615725,9.617616,9.621398,9.62518,9.628962,9.632744,9.6336895,9.6412535,9.6412535,9.6412535,9.634635,9.6431445,9.6431445,9.647872,9.645981,9.6469265,9.64409,9.6393625,9.6393625,9.640308,9.6393625,9.6412535,9.632744,9.6223435,9.6147795,9.6185615,9.6299075,9.634635,9.6412535,9.6469265,9.6450355,9.6431445,9.6431445,9.636526,9.6393625,9.640308,9.653545,9.6525995,9.645981,9.6450355,9.64409,9.649763,9.6469265,9.6450355,9.6488175,9.647872,9.6469265,9.651654,9.6525995,9.645981,9.64409,9.6488175,9.6525995,9.649763
"rep2",8.4801795,8.484907,8.4915255,8.492471,8.496253,8.424395,8.518945,8.520836,8.655097,8.662661,8.734519,8.8205595,8.919837,9.0115505,9.0890815,9.1269015,9.1571575,9.195923,9.2384705,9.243198,9.2630535,9.269672,9.2989825,9.3349115,9.3519305,9.373677,9.415279,9.415279,9.428516,9.415279,9.456881,9.437971,9.424734,9.439862,9.4805185,9.5126655,9.5372485,9.5353575,9.5523765,9.5504855,9.5391395,9.534412,9.543867,9.528739,9.5296845,9.5315755,9.5296845,9.5240115,9.534412,9.5334665,9.555213,9.538194,9.553322,9.5523765,9.5599405,9.5618315,9.56845,9.564668,9.576014,9.596815,9.5977605,9.596815,9.596815,9.5977605,9.5883055,9.60627,9.617616,9.6128885,9.619507,9.6147795,9.6128885,9.619507,9.6280165,9.627071,9.638417,9.6355805,9.6355805,9.627071,9.634635,9.640308,9.632744,9.634635,9.6393625,9.6317985,9.628962,9.623289,9.6223435,9.6128885,9.610052,9.600597,9.5901965,9.5826325,9.577905,9.576014,9.5731775,9.5675045,9.5750685,9.5901965,9.5977605,9.604379
"rep3",8.4915255,8.4801795,8.4801795,8.4745065,8.5047625,8.4726155,8.5179995,8.5652745,8.6049855,8.624841,8.706154,8.821505,8.942529,8.991695,9.0626075,9.1287925,9.2006505,9.2346885,9.262108,9.3122195,9.324511,9.345312,9.36044,9.385023,9.4143335,9.4445895,9.447426,9.4275705,9.4313525,9.428516,9.422843,9.4067695,9.428516,9.443644,9.470118,9.4880825,9.513611,9.51172,9.536303,9.5353575,9.541976,9.5315755,9.521175,9.543867,9.536303,9.5240115,9.536303,9.526848,9.5429215,9.54954,9.5315755,9.5504855,9.5485945,9.541976,9.5523765,9.589251,9.593033,9.6034335,9.598706,9.6053245,9.5996515,9.6091065,9.6147795,9.613834,9.6223435,9.6280165,9.6280165,9.623289,9.632744,9.630853,9.6317985,9.6336895,9.6374715,9.64409,9.642199,9.64409,9.645981,9.640308,9.636526,9.6374715,9.630853,9.6317985,9.6393625,9.640308,9.645981,9.6469265,9.640308,9.6355805,9.632744,9.6280165,9.632744,9.6393625,9.634635,9.6412535,9.6469265,9.636526,9.6450355,9.655436,9.6544905,9.649763
"rep4",8.4820705,8.4953075,8.467888,8.5009805,8.5482555,8.588912,8.6579335,8.7543745,8.832851,8.9170005,9.0191145,9.0455885,9.1117735,9.182686,9.2233425,9.262108,9.290473,9.3065465,9.3765135,9.3670585,9.4010965,9.4521535,9.460663,9.439862,9.4729545,9.4748455,9.49281,9.5145565,9.532521,9.532521,9.541976,9.5353575,9.5429215,9.5448125,9.545758,9.564668,9.5467035,9.551431,9.5485945,9.545758,9.5467035,9.551431,9.534412,9.536303,9.5353575,9.545758,9.5429215,9.54954,9.528739,9.5126655,9.5353575,9.553322,9.5656135,9.5542675,9.574123,9.5788505,9.5788505,9.5769595,9.58736,9.572232,9.564668,9.555213,9.570341,9.576014,9.5580495,9.538194,9.541976,9.5561585,9.560886,9.553322,9.558995,9.5580495,9.5656135,9.574123,9.576014,9.5883055,9.593033,9.591142,9.5864145,9.5750685,9.5675045,9.5769595,9.570341,9.564668,9.564668,9.5769595,9.5788505,9.5769595,9.5788505,9.566559,9.572232,9.5788505,9.58736,9.56845,9.58736,9.581687,9.591142,9.591142,9.5920875,9.5939785
"rep5",8.4896345,8.464106,8.511381,8.4915255,8.5123265,8.513272,8.5009805,8.5047625,8.484907,8.54731,8.552983,8.6201135,8.658879,8.7222275,8.7846305,8.859325,8.9945315,9.0512615,9.1533755,9.188359,9.24698,9.290473,9.315056,9.3330205,9.3727315,9.371786,9.4048785,9.396369,9.420952,9.439862,9.4521535,9.487137,9.500374,9.507938,9.5126655,9.540085,9.543867,9.5523765,9.5656135,9.5750685,9.5845235,9.5864145,9.593033,9.5920875,9.598706,9.5920875,9.598706,9.600597,9.602488,9.6053245,9.5977605,9.6128885,9.610052,9.6166705,9.615725,9.6147795,9.610052,9.6166705,9.6242345,9.6166705,9.6280165,9.6185615,9.619507,9.630853,9.634635,9.638417,9.6412535,9.6488175,9.6507085,9.655436,9.657327,9.6563815,9.649763,9.6393625,9.640308,9.6431445,9.642199,9.6431445,9.64409,9.640308,9.642199,9.6450355,9.6412535,9.64409,9.647872,9.6488175,9.6544905,9.655436,9.6582725,9.661109,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663
"rep6",8.483016,8.5293455,8.4877435,8.541637,8.5217815,8.498144,8.454651,8.530291,8.5596015,8.573784,8.6560425,8.742083,8.815832,8.934965,9.0361335,9.071117,9.1193375,9.1855225,9.237525,9.296146,9.333966,9.356658,9.4067695,9.445535,9.4748455,9.489028,9.4805185,9.504156,9.51172,9.5259025,9.526848,9.545758,9.5259025,9.540085,9.555213,9.591142,9.5958695,9.594924,9.6147795,9.627071,9.6317985,9.627071,9.628962,9.6355805,9.64409,9.6393625,9.642199,9.638417,9.6412535,9.6431445,9.649763,9.647872,9.642199,9.6469265,9.651654,9.651654,9.651654,9.653545,9.653545,9.6507085,9.645981,9.647872,9.6469265,9.64409,9.640308,9.630853,9.632744,9.6261255,9.634635,9.632744,9.630853,9.6261255,9.6053245,9.6147795,9.608161,9.611943,9.62518,9.628962,9.6261255,9.6280165,9.6317985,9.632744,9.6431445,9.6412535,9.645981,9.6469265,9.6488175,9.647872,9.649763,9.6507085,9.651654,9.649763,9.649763,9.659218,9.659218,9.6582725,9.655436,9.6563815,9.651654,9.6507085
"rep7",8.477343,8.4990895,8.5217815,8.515163,8.505708,8.501926,8.552983,8.571893,8.6030945,8.689135,8.787467,8.9066,8.9472565,9.016278,9.1344655,9.2195605,9.2460345,9.288582,9.3368025,9.3765135,9.4086605,9.4143335,9.386914,9.3916415,9.3973145,9.4370255,9.43608,9.449317,9.441753,9.4313525,9.458772,9.468227,9.477682,9.4729545,9.4880825,9.523066,9.526848,9.534412,9.53063,9.536303,9.528739,9.5372485,9.541976,9.553322,9.5580495,9.5523765,9.5542675,9.557104,9.5599405,9.5788505,9.5769595,9.576014,9.5731775,9.577905,9.5901965,9.5883055,9.593033,9.5958695,9.6015425,9.600597,9.608161,9.60627,9.613834,9.6091065,9.610052,9.6147795,9.619507,9.6091065,9.6109975,9.598706,9.596815,9.596815,9.5920875,9.593033,9.5901965,9.591142,9.6053245,9.619507,9.619507,9.6147795,9.634635,9.6280165,9.6336895,9.64409,9.647872,9.6450355,9.6488175,9.6507085,9.6563815,9.655436,9.651654,9.649763,9.6507085,9.6525995,9.651654,9.6450355,9.653545,9.6488175,9.6507085,9.6544905
"rep8",8.4745065,8.49058,8.498144,8.518945,8.568111,8.5482555,8.558656,8.605931,8.6673885,8.725064,8.823396,8.931183,9.037079,9.093809,9.1647215,9.216724,9.2365795,9.2687265,9.288582,9.333966,9.3538215,9.385023,9.4162245,9.434189,9.4653905,9.464445,9.4672815,9.4672815,9.4880825,9.5126655,9.5107745,9.5277935,9.5164475,9.534412,9.521175,9.5183385,9.513611,9.5183385,9.5145565,9.532521,9.532521,9.545758,9.5599405,9.5864145,9.5712865,9.5637225,9.56845,9.581687,9.5901965,9.608161,9.6166705,9.615725,9.610052,9.6223435,9.6204525,9.6242345,9.623289,9.628962,9.638417,9.642199,9.6393625,9.640308,9.636526,9.6374715,9.638417,9.6355805,9.6374715,9.640308,9.6374715,9.642199,9.6507085,9.653545,9.651654,9.6488175,9.651654,9.649763,9.6488175,9.6507085,9.6544905,9.6544905,9.6544905,9.651654,9.6544905,9.651654,9.655436,9.651654,9.655436,9.6563815,9.6544905,9.659218,9.6582725,9.6601635,9.6582725,9.659218,9.6563815,9.655436,9.6582725,9.655436,9.657327,9.6582725
"rep9",8.5161085,8.4990895,8.465997,8.488689,8.5047625,8.5217815,8.5406915,8.594585,8.634296,8.7543745,8.806377,8.931183,8.9888585,9.1061005,9.1930865,9.2535985,9.337748,9.3651675,9.3992055,9.420952,9.434189,9.462554,9.4918645,9.4956465,9.51172,9.5202295,9.526848,9.540085,9.5675045,9.5712865,9.5788505,9.5883055,9.5807415,9.5883055,9.5845235,9.600597,9.596815,9.591142,9.5939785,9.5920875,9.5958695,9.5807415,9.585469,9.5883055,9.58736,9.5920875,9.604379,9.6109975,9.615725,9.6128885,9.619507,9.615725,9.6166705,9.615725,9.619507,9.628962,9.6299075,9.6374715,9.632744,9.6355805,9.62518,9.6242345,9.6166705,9.619507,9.615725,9.628962,9.6317985,9.640308,9.642199,9.6507085,9.6582725,9.6620545,9.6620545,9.6620545,9.659218,9.661109,9.6620545,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663,9.663
"rep10",8.4915255,8.4896345,8.462215,8.503817,8.498144,8.520836,8.596476,8.5671655,8.6503695,8.651315,8.7619385,8.836633,8.917946,8.9926405,9.1061005,9.169449,9.237525,9.343421,9.3481485,9.3670585,9.3859685,9.37935,9.4029875,9.426625,9.4332435,9.4445895,9.4597175,9.460663,9.458772,9.4445895,9.464445,9.4861915,9.4975375,9.5126655,9.5296845,9.5391395,9.5523765,9.5750685,9.572232,9.576014,9.5788505,9.58736,9.585469,9.5977605,9.598706,9.593033,9.5920875,9.60627,9.610052,9.6204525,9.619507,9.611943,9.5958695,9.6034335,9.6053245,9.627071,9.628962,9.6223435,9.617616,9.6204525,9.6223435,9.6261255,9.6317985,9.6280165,9.6317985,9.627071,9.627071,9.627071,9.634635,9.627071,9.634635,9.6336895,9.6431445,9.645981,9.649763,9.6488175,9.645981,9.647872,9.649763,9.6469265,9.6563815,9.655436,9.659218,9.657327,9.6582725,9.655436,9.655436,9.655436,9.655436,9.6525995,9.6525995,9.651654,9.647872,9.6488175,9.651654,9.6563815,9.6525995,9.6544905,9.6507085,9.653545
"rep11",8.4839615,8.486798,8.507599,8.4971985,8.4934165,8.5284,8.5652745,8.5955305,8.6541515,8.7921945,8.883908,9.0096595,9.088136,9.1477025,9.182686,9.248871,9.313165,9.324511,9.337748,9.3878595,9.407715,9.4218975,9.453099,9.468227,9.4994285,9.519284,9.528739,9.5372485,9.547649,9.558995,9.553322,9.551431,9.558995,9.5731775,9.589251,9.5864145,9.594924,9.5977605,9.596815,9.5977605,9.591142,9.594924,9.5864145,9.591142,9.5939785,9.598706,9.593033,9.58736,9.5996515,9.60627,9.6204525,9.6223435,9.62518,9.627071,9.634635,9.632744,9.6336895,9.634635,9.640308,9.6412535,9.6412535,9.638417,9.640308,9.642199,9.64409,9.6355805,9.638417,9.6412535,9.632744,9.628962,9.6261255,9.632744,9.634635,9.6336895,9.6469265,9.6412535,9.6355805,9.62518,9.6299075,9.62518,9.630853,9.6355805,9.6393625,9.642199,9.6431445,9.642199,9.6544905,9.6544905,9.653545,9.6525995,9.651654,9.653545,9.6563815,9.657327,9.663,9.663,9.663,9.663,9.663,9.663
"rep12",8.4896345,8.4631605,8.4631605,8.496253,8.494362,8.517054,8.501926,8.4990895,8.503817,8.518945,8.5161085,8.524618,8.465997,8.545419,8.5709475,8.6125495,8.6333505,8.6919715,8.7695025,8.8545975,8.9812945,9.065444,9.1382475,9.1855225,9.2498165,9.2848,9.3178925,9.3424755,9.390696,9.4086605,9.4540445,9.479573,9.494701,9.485246,9.475791,9.5088835,9.4994285,9.521175,9.5183385,9.5107745,9.523066,9.532521,9.5637225,9.5958695,9.5807415,9.58736,9.5977605,9.6109975,9.6128885,9.6053245,9.6015425,9.610052,9.6072155,9.6091065,9.610052,9.604379,9.608161,9.6109975,9.604379,9.6072155,9.5901965,9.600597,9.600597,9.598706,9.593033,9.610052,9.6053245,9.6015425,9.6072155,9.617616,9.621398,9.6431445,9.642199,9.642199,9.642199,9.6431445,9.642199,9.6374715,9.632744,9.6336895,9.638417,9.634635,9.632744,9.645981,9.6469265,9.6488175,9.642199,9.636526,9.630853,9.628962,9.6317985,9.6355805,9.6450355,9.6431445,9.6374715,9.634635,9.6374715,9.6355805,9.628962,9.6261255
"rep13",8.5388005,8.4574875,8.4801795,8.54731,8.5217815,8.5236725,8.5501465,8.587021,8.6428055,8.651315,8.719391,8.7657205,8.8980905,8.9718395,9.031406,9.1174465,9.175122,9.250762,9.296146,9.3235655,9.3632765,9.3727315,9.388805,9.428516,9.43608,9.4408075,9.4691725,9.4937555,9.509829,9.521175,9.5334665,9.5410305,9.5504855,9.5637225,9.5561585,9.562777,9.5750685,9.5750685,9.576014,9.5864145,9.579796,9.5731775,9.5769595,9.56845,9.56845,9.5542675,9.56845,9.576014,9.570341,9.574123,9.570341,9.560886,9.560886,9.581687,9.598706,9.596815,9.6015425,9.598706,9.58736,9.5920875,9.5864145,9.5920875,9.594924,9.5939785,9.598706,9.5977605,9.5901965,9.60627,9.600597,9.6015425,9.602488,9.6053245,9.6053245,9.6091065,9.627071,9.6223435,9.6204525,9.623289,9.623289,9.627071,9.619507,9.6109975,9.632744,9.627071,9.6317985,9.6317985,9.6355805,9.6317985,9.6299075,9.634635,9.6393625,9.636526,9.632744,9.6242345,9.6128885,9.608161,9.6128885,9.610052,9.600597,9.602488
"rep14",8.484907,8.5028715,8.520836,8.5161085,8.4877435,8.541637,8.5463645,8.5350185,8.5142175,8.5747295,8.67968,8.7165545,8.796922,8.8791805,8.942529,9.0739535,9.112719,9.212942,9.2498165,9.305601,9.3443665,9.366113,9.394478,9.4105515,9.43608,9.4445895,9.4597175,9.462554,9.4880825,9.4843005,9.4994285,9.538194,9.555213,9.5542675,9.54954,9.555213,9.560886,9.5580495,9.5599405,9.5656135,9.5618315,9.5580495,9.5637225,9.5750685,9.5883055,9.5939785,9.5958695,9.5807415,9.5788505,9.574123,9.579796,9.585469,9.581687,9.58736,9.5807415,9.5769595,9.5769595,9.58736,9.581687,9.583578,9.5977605,9.594924,9.5939785,9.5864145,9.596815,9.5939785,9.594924,9.5958695,9.5977605,9.5977605,9.6053245,9.608161,9.6072155,9.6034335,9.596815,9.5788505,9.5883055,9.591142,9.591142,9.610052,9.613834,9.6091065,9.6147795,9.611943,9.6109975,9.6185615,9.617616,9.615725,9.6128885,9.621398,9.627071,9.630853,9.636526,9.634635,9.636526,9.627071,9.627071,9.628962,9.6336895,9.627071
