"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16","gen17","gen18","gen19","gen20","gen21","gen22","gen23","gen24","gen25","gen26","gen27","gen28","gen29","gen30","gen31","gen32","gen33","gen34","gen35","gen36","gen37","gen38","gen39","gen40","gen41","gen42","gen43","gen44","gen45","gen46","gen47","gen48","gen49","gen50","gen51","gen52","gen53","gen54","gen55","gen56","gen57","gen58","gen59","gen60","gen61","gen62","gen63","gen64","gen65","gen66","gen67","gen68","gen69","gen70","gen71","gen72","gen73","gen74","gen75","gen76","gen77","gen78","gen79","gen80","gen81","gen82","gen83","gen84","gen85","gen86","gen87","gen88","gen89","gen90","gen91","gen92","gen93","gen94","gen95","gen96","gen97","gen98","gen99","gen100"
"rep1",8.4756411,8.4937947,8.5070317,8.4936056,8.4911473,8.4752629,8.4850961,8.4913364,8.4731828,8.5036279,8.4890672,8.4762084,8.494362,8.4917146,8.5002241,8.5032497,8.5098682,8.5119483,8.5457972,8.5773769,8.6246519,8.692917,8.7377337,8.8362548,8.9124621,8.9835637,9.0548544,9.1236868,9.1836315,9.233743,9.262108,9.2976588,9.3233764,9.3451229,9.3636547,9.3787827,9.3984491,9.4016638,9.4131989,9.4330544,9.4468587,9.4661469,9.4752237,9.4926209,9.4920536,9.5030214,9.5071816,9.5134219,9.5179603,9.519284,9.5319537,9.5408414,9.551431,9.5559694,9.5555912,9.5595623,9.5623988,9.562777,9.5631552,9.5682609,9.5714756,9.5735557,9.5693955,9.5739339,9.5824434,9.589251,9.5896292,9.596815,9.6055136,9.6028662,9.6051354,9.610052,9.608161,9.6130776,9.6161032,9.6092956,9.6075937,9.6130776,9.6130776,9.6149686,9.6096738,9.6004079,9.6021098,9.6017316,9.6004079,9.6038117,9.6040008,9.6066482,9.6077828,9.6098629,9.6109975,9.6164814,9.6164814,9.6151577,9.6155359,9.615725,9.6130776,9.6145904,9.6178051,9.6183724
"rep2",8.4756411,8.486798,8.479234,8.4883108,8.4826378,8.4815032,8.49058,8.4864198,8.5006023,8.4939838,8.4956857,8.5297237,8.5179995,8.5144066,8.552983,8.5951523,8.6668212,8.6959426,8.776121,8.853652,8.9559551,9.0325406,9.097591,9.161885,9.2116183,9.2341212,9.2687265,9.296146,9.3294276,9.36044,9.3687604,9.3871031,9.4045003,9.4166027,9.4343781,9.4464805,9.4548009,9.4642559,9.4769256,9.4878934,9.5015086,9.5115309,9.5238224,9.5357357,9.5450016,9.5482163,9.5576713,9.5540784,9.5620206,9.5661808,9.5692064,9.5637225,9.564668,9.5610751,9.5635334,9.5663699,9.5659917,9.5739339,9.5771486,9.5799851,9.5796069,9.579796,9.5828216,9.5843344,9.5852799,9.5881164,9.5896292,9.5920875,9.5926548,9.5907638,9.5970041,9.6017316,9.6007861,9.5990842,9.6077828,9.6117539,9.621398,9.6185615,9.6178051,9.6170487,9.6168596,9.6191288,9.6229108,9.628962,9.6316094,9.6295293,9.6295293,9.630853,9.6266928,9.6230999,9.6230999,9.6221544,9.6295293,9.6280165,9.6257473,9.6219653,9.6187506,9.6215871,9.6248018,9.6236672
"rep3",8.4843397,8.479234,8.4801795,8.4690226,8.4593785,8.4843397,8.4813141,8.4718591,8.4779103,8.4786667,8.4692117,8.4805577,8.501926,8.4987113,8.4869871,8.4894454,8.4949293,8.5244289,8.5344512,8.5461754,8.5940177,8.6193571,8.6732506,8.7662878,8.8591359,8.9347759,9.0145761,9.0788701,9.1650997,9.2235316,9.2607843,9.2921749,9.3262129,9.3498504,9.3776481,9.3927761,9.4200065,9.4336217,9.4483715,9.4574483,9.4691725,9.4799512,9.4884607,9.498483,9.5007522,9.5090726,9.5202295,9.5285499,9.5347902,9.5327101,9.5347902,9.5361139,9.5372485,9.5402741,9.5502964,9.5519983,9.5502964,9.5605078,9.5588059,9.5637225,9.5658026,9.566559,9.5762031,9.5737448,9.5775268,9.5788505,9.5824434,9.581687,9.5814979,9.5841453,9.5830107,9.5820652,9.5903856,9.5890619,9.5881164,9.5869818,9.5869818,9.5828216,9.585469,9.5901965,9.5922766,9.5922766,9.5932221,9.5852799,9.5888728,9.5866036,9.5918984,9.5956804,9.5934112,9.5945458,9.5971932,9.594924,9.5937894,9.5964368,9.5966259,9.5958695,9.5941676,9.5913311,9.5888728,9.5901965
"rep4",8.4900127,8.4894454,8.5108137,8.5007914,8.5202687,8.5066535,8.522727,8.5297237,8.5711366,8.5828608,8.6543406,8.7116379,8.766666,8.8449534,8.9079237,9.0002045,9.074899,9.1342764,9.1853334,9.2212624,9.2666464,9.3012517,9.3192162,9.3485267,9.3763244,9.37935,9.3971254,9.4082823,9.4196283,9.4476151,9.4491279,9.4449677,9.4553682,9.4727654,9.4774929,9.4810858,9.4820313,9.479573,9.4873261,9.4994285,9.5145565,9.5183385,9.5164475,9.5234442,9.5168257,9.5213641,9.5189058,9.5293063,9.5346011,9.5296845,9.5298736,9.5336556,9.5389504,9.5482163,9.5565367,9.5605078,9.5652353,9.56845,9.5673154,9.574123,9.5726102,9.5678827,9.5690173,9.5729884,9.5746903,9.5818761,9.5833889,9.5850908,9.5856581,9.5860363,9.5843344,9.5811197,9.5794178,9.5771486,9.5724211,9.5771486,9.5771486,9.5803633,9.5794178,9.5845235,9.5956804,9.6038117,9.604379,9.6098629,9.6077828,9.6140231,9.6108084,9.6130776,9.6136449,9.617616,9.6227217,9.6242345,9.6317985,9.6335004,9.634635,9.638417,9.6416317,9.6389843,9.6395516,9.640308
"rep5",8.4869871,8.465997,8.4707245,8.4903909,8.4718591,8.4907691,8.486798,8.4750738,8.4750738,8.4873653,8.4752629,8.477343,8.4864198,8.4803686,8.4763975,8.4862307,8.4869871,8.4796122,8.4879326,8.4837724,8.4883108,8.4818814,8.4790449,8.4883108,8.5017369,8.5041952,8.5333166,8.5724603,8.6197353,8.6681449,8.7541854,8.8148865,8.8869336,8.9580352,9.0177908,9.0788701,9.1329527,9.1796604,9.2231534,9.269672,9.2876365,9.3220527,9.3579817,9.3721642,9.3942889,9.4033657,9.4230321,9.4392947,9.4610412,9.4771147,9.4863806,9.4952683,9.5030214,9.5024541,9.5109636,9.521175,9.5317646,9.5451907,9.5538893,9.5565367,9.5574822,9.5593732,9.5542675,9.5631552,9.5548348,9.5593732,9.5546457,9.5588059,9.5659917,9.5707192,9.5726102,9.5707192,9.5807415,9.5796069,9.5875491,9.5852799,9.594924,9.5966259,9.600597,9.5988951,9.5953022,9.5975714,9.6007861,9.6022989,9.6000297,9.6004079,9.5964368,9.5962477,9.5928439,9.5934112,9.593033,9.5962477,9.5939785,9.5918984,9.5964368,9.5983278,9.5934112,9.5924657,9.5926548,9.5996515
"rep6",8.4818814,8.479234,8.4758302,8.4758302,8.5166758,8.4888781,8.4752629,8.47167,8.4932274,8.5009805,8.5036279,8.5055189,8.5238616,8.5433389,8.594585,8.6297576,8.706154,8.7640186,8.8398477,8.9175678,8.9733523,9.0323515,9.1015621,9.1558338,9.2085927,9.2471691,9.2808289,9.313165,9.3517414,9.3627092,9.4026093,9.4173591,9.4374037,9.4519644,9.4718199,9.4858133,9.4894062,9.4935664,9.4918645,9.494701,9.4986721,9.5132328,9.5141783,9.5221205,9.5293063,9.543867,9.5442452,9.5450016,9.5436779,9.543867,9.5406523,9.5404632,9.5357357,9.5319537,9.5323319,9.5404632,9.5442452,9.5461362,9.5523765,9.5599405,9.5692064,9.5690173,9.5682609,9.5737448,9.5714756,9.5752576,9.5799851,9.5799851,9.5792287,9.5869818,9.5856581,9.5847126,9.5820652,9.5883055,9.5913311,9.5953022,9.5988951,9.5992733,9.5964368,9.596815,9.5941676,9.5977605,9.6028662,9.6053245,9.6032444,9.602488,9.6055136,9.6045681,9.6055136,9.6049463,9.6032444,9.6017316,9.5996515,9.5994624,9.6038117,9.6051354,9.6083501,9.6049463,9.6045681,9.5983278
"rep7",8.4809359,8.4973876,8.4881217,8.4884999,8.4779103,8.4796122,8.4837724,8.4985222,8.5193232,8.5004132,8.5268872,8.5819153,8.6167097,8.6541515,8.7277114,8.8016495,8.8729402,8.936856,9.0287586,9.0892706,9.1473243,9.2216406,9.2539767,9.2936877,9.3294276,9.3489049,9.3670585,9.3895614,9.4109297,9.4270032,9.4440222,9.4593393,9.4710635,9.4807076,9.4905408,9.4990503,9.5047233,9.5090726,9.5103963,9.5111527,9.5238224,9.5319537,9.5355466,9.5410305,9.5415978,9.5429215,9.5489727,9.5516201,9.5565367,9.5612642,9.5658026,9.5678827,9.5669372,9.5697737,9.5771486,9.5745012,9.581687,9.5824434,9.5796069,9.5824434,9.5890619,9.5867927,9.5833889,9.5858472,9.5839562,9.583578,9.5847126,9.5894401,9.5922766,9.5981387,9.6009752,9.5990842,9.598706,9.5917093,9.593033,9.5867927,9.5866036,9.5856581,9.5879273,9.5871709,9.5924657,9.5998406,9.6036226,9.6072155,9.6117539,9.6155359,9.6153468,9.6123212,9.613834,9.611943,9.610052,9.608161,9.6066482,9.608161,9.610052,9.6106193,9.6128885,9.6128885,9.6134558,9.6115648
"rep8",8.4890672,8.4898236,8.4748847,8.500035,8.4877435,8.4739392,8.4992786,8.4843397,8.483016,8.488689,8.4762084,8.4875544,8.4909582,8.5023042,8.4824487,8.4941729,8.5111919,8.5098682,8.5346403,8.5631944,8.6068765,8.6543406,8.7352754,8.81205,8.8946867,8.972785,9.0518288,9.1040204,9.1626414,9.1991377,9.2430089,9.2861237,9.3222418,9.3543888,9.3878595,9.4027984,9.4220866,9.4302179,9.4415639,9.4616085,9.464445,9.4619867,9.4716308,9.4780602,9.4878934,9.49281,9.502265,9.5183385,9.5259025,9.5321428,9.5391395,9.5406523,9.5474599,9.5554021,9.5554021,9.560886,9.5642898,9.5678827,9.5714756,9.5792287,9.5811197,9.5775268,9.5856581,9.5886837,9.5913311,9.5932221,9.5956804,9.5953022,9.5945458,9.598706,9.6036226,9.6040008,9.6047572,9.6017316,9.6026771,9.6040008,9.6055136,9.6098629,9.6074046,9.604379,9.6028662,9.6021098,9.6057027,9.6045681,9.6019207,9.6055136,9.6096738,9.6106193,9.6140231,9.6174269,9.6208307,9.6189397,9.6229108,9.6196961,9.6193179,9.617616,9.6215871,9.6283947,9.6259364,9.6240454
"rep9",8.4824487,8.5117592,8.4729937,8.4775321,8.4656188,8.4879326,8.4883108,8.4902018,8.5053298,8.511381,8.5100573,8.5382332,8.5705693,8.6221936,8.6753307,8.7384901,8.8368221,8.8848535,8.9684357,9.0480468,9.1178247,9.1824969,9.2314738,9.2600279,9.3010626,9.3366134,9.3534433,9.3846448,9.3929652,9.4033657,9.4232212,9.4375928,9.4461023,9.4608521,9.4790057,9.4958356,9.5177712,9.5156911,9.5213641,9.5277935,9.5243897,9.5223096,9.5215532,9.5323319,9.5383831,9.5391395,9.5387613,9.5421651,9.5493509,9.5595623,9.5616424,9.5565367,9.5567258,9.5506746,9.553322,9.5550239,9.5546457,9.5588059,9.5531329,9.5586168,9.5605078,9.5641007,9.5675045,9.5726102,9.5631552,9.5631552,9.5648571,9.5712865,9.5735557,9.5813088,9.5807415,9.5807415,9.5826325,9.5875491,9.5928439,9.5979496,9.5975714,9.594924,9.5953022,9.5928439,9.5879273,9.5900074,9.5883055,9.5901965,9.5937894,9.5960586,9.5962477,9.5934112,9.5973823,9.594924,9.6030553,9.6002188,9.6030553,9.6051354,9.6022989,9.6079719,9.6102411,9.6064591,9.6060809,9.6060809
"rep10",8.4786667,8.4850961,8.5047625,8.4852852,8.4934165,8.4947402,8.473561,8.5074099,8.5195123,8.534073,8.5734058,8.6100912,8.6707923,8.7279005,8.8167775,8.9132185,8.980349,9.0495596,9.129738,9.1809841,9.212942,9.2607843,9.2889602,9.3205399,9.3267802,9.3517414,9.3748116,9.3836993,9.4139553,9.4207629,9.4364582,9.4487497,9.4561246,9.4672815,9.4744673,9.4850569,9.4981048,9.506047,9.5143674,9.5185276,9.515502,9.5145565,9.5175821,9.5164475,9.5181494,9.5240115,9.5279826,9.5391395,9.5340338,9.5402741,9.5472708,9.5487836,9.5610751,9.5707192,9.5754467,9.5784723,9.5828216,9.5894401,9.5890619,9.5934112,9.5888728,9.5947349,9.5928439,9.5962477,9.5979496,9.5971932,9.6019207,9.6034335,9.6106193,9.610052,9.6064591,9.5998406,9.602488,9.6070264,9.6109975,9.6117539,9.6132667,9.610052,9.6151577,9.6109975,9.6145904,9.6144013,9.6132667,9.613834,9.6183724,9.6238563,9.6255582,9.6274492,9.6240454,9.6206416,9.623289,9.6248018,9.6244236,9.6229108,9.6249909,9.6212089,9.6285838,9.6253691,9.62518,9.6223435
