"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.862,0.099,0.174,0.083,0.065,0.106
"2. / 1.",0.868,0.09,0.187,0.089,0.069,0.104
"1. * 2.",0.997,0.084,0.319,0.073,0.07,0.001
"1. + 2.",0.989,0.038,0.074,0.097,0.081,0.009
"1. - 2.",0.916,0.041,0.077,0.116,0.083,0.057
"2. - 1.",0.916,0.041,0.077,0.116,0.083,0.057
