"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.0388349514563107,0.543689320388349,0.058252427184466,0.0485436893203883,0.524271844660194,0
"2. / 1.",0.029126213592233,0.601941747572815,0.611650485436893,0.0485436893203883,0.0485436893203883,0
"1. * 2.",0.0388349514563107,0.00970873786407767,0.640776699029126,0.0485436893203883,0.650485436893204,0.0776699029126214
"1. + 2.",0.0485436893203883,0.0194174757281553,0.456310679611651,0.0388349514563107,0.592233009708738,0.0776699029126214
"1. - 2.",0.087378640776699,0.320388349514563,0.378640776699029,0.0776699029126214,0.41747572815534,0.0194174757281553
"2. - 1.",0.087378640776699,0.320388349514563,0.378640776699029,0.0776699029126214,0.41747572815534,0.0194174757281553
