"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.0825688073394495,0.269113149847095,0.409785932721713,0.0642201834862385,0.44954128440367,0.100917431192661
"2. / 1.",0.0489296636085627,0.0305810397553517,0.522935779816514,0.0642201834862385,0.519877675840979,0.103975535168196
"1. * 2.",0.0856269113149847,0.412844036697248,0.00917431192660551,0.0611620795107034,0.785932721712538,0.00917431192660551
"1. + 2.",0.0825688073394495,0.501529051987768,0.0244648318042813,0.0672782874617737,0.53822629969419,0.0275229357798165
"1. - 2.",0.0948012232415902,0.324159021406728,0.204892966360856,0.0611620795107034,0.470948012232416,0.0795107033639144
"2. - 1.",0.0948012232415902,0.324159021406728,0.204892966360856,0.0611620795107034,0.470948012232416,0.0795107033639144
