"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.0297029702970297,0.554455445544555,0.673267326732673,0.0297029702970297,0.0297029702970297,0
"2. / 1.",0.0396039603960396,0.584158415841584,0.0396039603960396,0.099009900990099,0.564356435643564,0.0099009900990099
"1. * 2.",0.0693069306930693,0.0198019801980198,0.683168316831683,0.0594059405940594,0.633663366336634,0.0198019801980198
"1. + 2.",0.0594059405940594,0.0198019801980198,0.623762376237624,0.0297029702970297,0.495049504950495,0.0792079207920792
"1. - 2.",0.0594059405940594,0.366336633663366,0.445544554455446,0.0594059405940594,0.326732673267327,0.0099009900990099
"2. - 1.",0.0594059405940594,0.366336633663366,0.445544554455446,0.0594059405940594,0.326732673267327,0.0099009900990099
