"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.0336134453781513,0.201680672268908,0.168067226890756,0.823529411764706,0.521008403361345,0.0336134453781513
"2. / 1.",0.0588235294117647,0.394957983193277,0.0504201680672269,0.789915966386555,0.478991596638655,0.0336134453781513
"1. * 2.",0.0420168067226891,0.100840336134454,0.0252100840336134,0.840336134453782,0.756302521008403,0.00840336134453781
"1. + 2.",0.0672268907563025,0.0672268907563025,0.0168067226890756,0.672268907563025,0.638655462184874,0.0252100840336134
"1. - 2.",0.0504201680672269,0.0504201680672269,0.0336134453781513,0.647058823529412,0.672268907563025,0.0336134453781513
"2. - 1.",0.0504201680672269,0.0504201680672269,0.0336134453781513,0.647058823529412,0.672268907563025,0.0336134453781513
